clue,cell,rank,idx,n_cond,A,D,ratio,A_p10,A_p90,vol_med,expo_med,A_minus_0050,ratio_minus_0050,label,cand_order,luck_q,標記,luck_tag
1,F09+F17,1,133,2,0.13955180347349655,-0.27774221192042714,0.5024508248442913,0.09301569172424022,0.18939818567940314,0.1611970941486155,0.9184668989547038,0.031661164647037665,0.1847236303675992,Q,1.0,0.0026982899577463926,探索，非結論,與試很多次的運氣分不開
2,F11+F13,2,144,2,0.12081048581180825,-0.26544560536148054,0.45512332233675534,0.06982193058706489,0.17311487685875993,0.1542640396187403,0.9184668989547038,0.01291984698534937,0.13739612786006328,Q,2.0,0.00010819960736619457,探索，非結論,與試很多次的運氣分不開
3,F09+F13,3,129,2,0.13239945425324,-0.2922102690691337,0.4530965139418689,0.07913472455110528,0.1821519574804681,0.18957192419777094,0.9184668989547038,0.024508815426781128,0.13536931946517683,Q,3.0,0.00010819960736619457,探索，非結論,與試很多次的運氣分不開
4,F06+F11,9,97,2,0.10984286546991426,-0.28011573307336357,0.39213386647277654,0.07051434652930191,0.1529525752937854,0.1566368526734152,0.9184668989547038,0.0019522266434553737,0.07440667199608447,Q,7.0,1.7398145494187825e-07,探索，非結論,與試很多次的運氣分不開
5,F04+F18,10,79,2,0.14403212317943415,-0.36837971125082036,0.3909882080377829,0.06569820306270835,0.2303446909365233,0.22319333776915695,0.9419409051399226,0.03614148435297526,0.07326101356109083,Q,8.0,1.7398145494187825e-07,探索，非結論,與試很多次的運氣分不開
