=== researchExplore 2026-09-25 22:47（台北）out=backtest/resultsExplore stage=all reps=200 s0=1000 perturb=None leak=False procs=1
[切點] 日曆 2015-01-05～2022-12-30（1958 根）；探索窗 [523, 1957] ＝ 2017-03-02～2022-12-30（1435 根）
[面板] gate3 2099 檔｜量測日 72 個（2017-01-03～2022-12-01）｜120,756 列、eligible 31,106｜139s
[0050 同窗] 年化 +10.7891%｜回落 -33.9570%｜比值 0.3177
[特徵] 31,106 股-月｜覆蓋率 F01 96.2% F02 96.3% F03 96.4% F04 94.6% F05 100.0% F06 100.0% F07 100.0% F08 99.1% F09 99.0% F10 100.0% F11 100.0% F12 100.0% F13 100.0% F14 100.0% F15 96.5% F16 90.4% F17 100.0% F18 100.0%｜236s
[S0 候選母體] P7 ALL 28,856 列＋尾段（CUT 收盤計值）2,245 列 ＝ 31,101
[候選] 171 格｜每月平均 k 37.5～43.6｜訊號列 2,699～3,139｜245s
[參照 W1ref 門檻B] 1,777＋尾段 148 ＝ 1,925 列（⛔ 不排名、不計 N）
[引擎輸入] tradable 1,296 檔｜官方下市日 ≤ CUT 389 筆｜312s
[引擎] 待跑 173 組（已完成 0）
  F04+F15  年化中位 +11.5517% 回落中位 -43.0696%｜860s
  F04+F16  年化中位 +7.1038% 回落中位 -38.9870%｜868s
  F04+F17  年化中位 +11.0925% 回落中位 -33.1475%｜877s
  F04+F18  年化中位 +14.4032% 回落中位 -36.8380%｜886s
  F05+F06  年化中位 +12.8063% 回落中位 -45.4137%｜895s
  F05+F07  年化中位 +9.3599% 回落中位 -47.9753%｜904s
  F05+F08  年化中位 +2.4116% 回落中位 -53.1140%｜914s
  F05+F09  年化中位 +10.4803% 回落中位 -32.6670%｜923s
  F05+F10  年化中位 +12.8158% 回落中位 -43.0665%｜932s
  F05+F11  年化中位 +4.0474% 回落中位 -28.7799%｜941s
  F05+F12  年化中位 +8.9175% 回落中位 -43.9293%｜950s
  F05+F13  年化中位 +5.3981% 回落中位 -41.4668%｜959s
  F05+F14  年化中位 +10.2002% 回落中位 -42.2884%｜967s
  F05+F15  年化中位 +1.0610% 回落中位 -44.8164%｜974s
  F05+F16  年化中位 -1.5563% 回落中位 -44.2774%｜980s
  F05+F17  年化中位 +2.4334% 回落中位 -40.8258%｜986s
  F05+F18  年化中位 +9.1950% 回落中位 -38.7219%｜993s
  F06+F07  年化中位 +8.9294% 回落中位 -55.7534%｜999s
  F06+F08  年化中位 +10.3697% 回落中位 -53.5984%｜1004s
  F06+F09  年化中位 +10.2010% 回落中位 -47.3991%｜1010s
  F06+F10  年化中位 +6.9634% 回落中位 -55.3551%｜1015s
  F06+F11  年化中位 +10.9843% 回落中位 -28.0116%｜1020s
  F06+F12  年化中位 +6.3185% 回落中位 -48.2105%｜1026s
  F06+F13  年化中位 +10.7324% 回落中位 -37.4486%｜1031s
  F06+F14  年化中位 +7.6526% 回落中位 -44.5448%｜1037s
  F06+F15  年化中位 +13.4628% 回落中位 -39.1635%｜1042s
  F06+F16  年化中位 +2.9966% 回落中位 -42.0247%｜1048s
  F06+F17  年化中位 +8.8679% 回落中位 -35.9195%｜1053s
  F06+F18  年化中位 +13.1301% 回落中位 -42.4261%｜1058s
  F07+F08  年化中位 +7.8571% 回落中位 -53.9825%｜1064s
  F07+F09  年化中位 +11.6922% 回落中位 -47.6982%｜1071s
  F07+F10  年化中位 +7.6664% 回落中位 -55.8523%｜1077s
  F07+F11  年化中位 +10.2179% 回落中位 -25.8914%｜1083s
  F07+F12  年化中位 +9.6365% 回落中位 -51.6902%｜1090s
  F07+F13  年化中位 +13.7055% 回落中位 -36.3189%｜1095s
