cell,sig_rows,months,selected,dropped_entry_open,avg_eligible,avg_valid,avg_k,min_valid
F01,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F02,3030,72,3030,0,432.02777777777777,416.2361111111111,42.083333333333336,252
F03,3033,72,3034,1,432.02777777777777,416.47222222222223,42.138888888888886,253
F04,2975,70,2975,0,432.02777777777777,408.75,41.31944444444444,0
F05,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F06,3136,72,3139,3,432.02777777777777,432.02777777777777,43.59722222222222,270
F07,3136,72,3139,3,432.02777777777777,432.0138888888889,43.59722222222222,270
F08,3112,72,3113,1,432.02777777777777,428.02777777777777,43.236111111111114,268
F09,3113,72,3113,0,432.02777777777777,427.77777777777777,43.236111111111114,268
F10,3138,72,3139,1,432.02777777777777,432.02777777777777,43.59722222222222,270
F11,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F12,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F13,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F14,3139,72,3139,0,432.02777777777777,432.02777777777777,43.59722222222222,270
F15,3035,72,3035,0,432.02777777777777,416.8888888888889,42.15277777777778,265
F16,2839,72,2840,1,432.02777777777777,390.34722222222223,39.44444444444444,243
F17,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F18,3139,72,3139,0,432.02777777777777,432.0138888888889,43.59722222222222,270
F01+F02,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F03,3025,72,3025,0,432.02777777777777,415.4861111111111,42.013888888888886,252
F01+F04,2968,70,2968,0,432.02777777777777,407.7083333333333,41.22222222222222,0
F01+F05,3026,72,3026,0,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F06,3025,72,3026,1,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F07,3025,72,3026,1,432.02777777777777,415.7083333333333,42.02777777777778,252
F01+F08,3004,72,3004,0,432.02777777777777,412.02777777777777,41.72222222222222,251
F01+F09,3002,72,3003,1,432.02777777777777,411.8333333333333,41.708333333333336,251
F01+F10,3025,72,3026,1,432.02777777777777,415.7083333333333,42.02777777777778,252
