cell,seed,cagr,mdd,tr,expo,vol,trades,eq_sha
F01,102000,0.05602229907304568,-0.46732344375559265,0.3761211305485721,0.9184668989547038,0.2689392352917833,96,510528ac7ef560e0
F01,102001,0.020848462510302035,-0.4417291293140533,0.12846343510140312,0.9171777904942137,0.2589122755608151,96,af8065f6cfe1503f
F01,102002,0.07569035884269826,-0.5046114922852418,0.5331932665069523,0.9133098399206496,0.26987919651706654,95,413a1287e29e20cf
F01,102003,0.03505730966868792,-0.4417514939864172,0.22362575488012393,0.918234295867822,0.28492672677287784,96,47642514b33bfd5d
F01,102004,0.05486341033472608,-0.43092564487269447,0.36729940036209463,0.9178053977569287,0.2757864475368025,96,8f5e37be1f551583
F01,102005,0.1393989463933203,-0.4303738409295907,1.1476244339435162,0.9184668989547038,0.28059232114604704,96,c437fb3e8e7a9f0d
F01,102006,-0.04531389236767147,-0.47394803500584043,-0.23784961404702853,0.9184668989547038,0.26900712126405335,96,2382a258cd3971a2
F01,102007,-0.00240193589116644,-0.5276560686524149,-0.013986669355703807,0.9182050882618955,0.28764269898079003,96,5e8212401118f075
F01,102008,0.00210296325923931,-0.4781598028681745,0.012380433735855512,0.9184668989547038,0.27246565147502055,96,42579e9257556842
F01,102009,0.11232570598002711,-0.46185779323901544,0.8654657333038953,0.918148045838048,0.28480055366521523,96,bd4b45eaaab21e50
F01,102010,0.0183236671637661,-0.6019804770123764,0.11221430487555617,0.9182047737086587,0.28150053372159256,96,505e04ebdb38e178
F01,102011,-0.00798424176282142,-0.4951941106351032,-0.0458673158016647,0.9182893018124434,0.2773555326376392,96,4d5473dfbe676e11
F01,102012,0.05338575913300647,-0.3876739843572601,0.3561192447603272,0.911424607556764,0.2684214090265935,95,d96d35b0e652c0eb
F01,102013,0.047918025828465716,-0.5257654714716555,0.3154064414211035,0.9097255177488351,0.2805126917454874,95,665952297db85248
F01,102014,-0.043120449080659484,-0.5081480322371699,-0.22753587930143238,0.9184668989547038,0.26890270191346854,96,4bb33566a5334f32
F01,102015,0.043388813017978256,-0.5791304450692107,0.28245427033145476,0.9111538300616063,0.2774378115912849,95,3add242797f82787
F01,102016,-0.01789046080068024,-0.5940472587255046,-0.10033756683004547,0.9113298494846013,0.27224755908584325,95,17ef96c1d845e25b
F01,102017,0.023265359215774106,-0.5185315196914186,0.14420209009039464,0.9188608261664774,0.2664273818218628,96,ab0cf016ccb30b11
F01,102018,0.05737029166263885,-0.5359100607548188,0.38644169243480087,0.9182047862643682,0.2825210508033312,96,9c5d91b959f2d1cd
F01,102019,0.07411328811423012,-0.46826672126659463,0.520074274769621,0.9181874513244913,0.29442884597688684,96,bbbb3b9fcfc6e4a6
F01,102020,0.00927333003360542,-0.4793241348342696,0.055553130117413474,0.9184668989547038,0.2692792894291599,96,171a5e2301dcd805
F01,102021,-0.028473719796544006,-0.5701505078380691,-0.1556558000975773,0.9131552400220864,0.27373634504262107,95,3ce6882431171fa0
F01,102022,-0.04944304326503479,-0.5250832480922711,-0.2569554604066089,0.9184668989547038,0.24970256500028115,96,b8e69cdf50d08b5b
F01,102023,-0.017348221191653246,-0.6042453487191686,-0.09742430806846081,0.9183222024670948,0.2733751386518084,96,b05058a3da3a2319
F01,102024,0.06498862519279536,-0.46035414903968597,0.44598367965743146,0.9115810290828104,0.2708916257420829,95,49f0e647695b8dfc
F01,102025,0.10949687474200243,-0.6010868785331875,0.8378493799276694,0.9189332768322033,0.28624555145205066,96,e91d7e633eba8240
F01,102026,0.02451968041999386,-0.5763316336693237,0.15244161233525477,0.9182879748204509,0.2951387349823452,96,f943cab44374ba0a
F01,102027,0.13975225663649082,-0.47950867592318436,1.1515279109596936,0.9184668989547038,0.28952566569325067,96,54879cf8c366c5f1
F01,102028,0.07414962893108679,-0.47607898759116274,0.520375527440595,0.9175655569614324,0.2743795182567115,96,c79486573268ef9f
F01,102029,0.06167893639399247,-0.4617606788454023,0.41986120164791885,0.9184668989547038,0.271885629405302,96,c5904140ae2247e3
F01,102030,-0.04635669451865054,-0.536004964522947,-0.24271274352461358,0.9176539187751682,0.2697045531803039,96,f4193897adbcb52f
F01,102031,0.1612031606028732,-0.46282004525300213,1.3998088694827722,0.9181551824701937,0.2803275997203788,96,1c4518f68a8e3d87
F01,102032,0.005886653079402615,-0.5120439065790462,0.034975631181177746,0.9184668989547038,0.2683292575052515,96,cea627590ec46dd0
F01,102033,0.05999435166884104,-0.5238955371256672,0.4067162794000334,0.9117947068649471,0.28471281337260734,95,57e3cdde81b1b135
F01,102034,0.23297047139613625,-0.3621967104292195,2.4097521744478754,0.9132427587984147,0.28984328896781564,95,fc5c06d2b0e59448
F01,102035,-0.018021958968998497,-0.5404672568989919,-0.10104288319201149,0.9182515097033475,0.2858275738215838,96,0db435e0dc975f95
F01,102036,0.0839585808010801,-0.4451103641522397,0.6035197505252441,0.9184668989547038,0.27334784270942597,96,7e2b7c72025367dd
F01,102037,-0.027334030338737603,-0.465792641719699,-0.149837786925879,0.9181676523213131,0.2561487134123537,96,d51f63603e4e26f7
F01,102038,0.159973482833367,-0.4265072167106744,1.3849622096580982,0.9111083742388871,0.28221902371689783,95,7717886d7c14ab72
F01,102039,0.06116836290430783,-0.4267342842353687,0.41586645204788875,0.9184668989547038,0.262155513781233,96,855f11b8936e5d27
F01,102040,0.0479953435666256,-0.3937213904002721,0.31597500027945813,0.9131731903153426,0.2824234326845329,95,fa1bfbeb0ac5b674
F01,102041,-0.09024013959813593,-0.5810493523002394,-0.4253171560386064,0.9189226766440888,0.2706963108759629,96,74e3939b0a62d29a
F01,102042,0.19008457475342055,-0.43408763330960604,1.7712143837101957,0.9184668989547038,0.2764520651360291,96,bb91e9b454be3233
F01,102043,0.0352710308965456,-0.4481496327697016,0.22510634713581434,0.9184668989547038,0.2756589725153645,96,a16f5dc0d9234fec
F01,102044,0.14818435823464693,-0.4022187942930383,1.2464495381226302,0.9180063146728425,0.2608009571103655,96,8a7973ace32e3309
F01,102045,0.07372715000487551,-0.4796687551935783,0.5168763808921952,0.9184668989547038,0.2707338196838782,96,a06b322d66cd3430
F01,102046,-0.08935772520888163,-0.5889279683394198,-0.4220446312694479,0.9179353003942016,0.27210504015842785,96,834054caf690b7f4
F01,102047,0.05193640352055784,-0.4739462149108568,0.3452269303684996,0.9184668989547038,0.2702976662931168,96,6817edb2e7966efe
F01,102048,-0.003960400307478129,-0.40717037403158357,-0.02297465535663812,0.9188992187455476,0.24811161460061065,96,0d4eeadfdb9ab942
