date,investor,buy,sell,net
2019-04-10,三大法人合計*,4224508276,5559087194,-1334578918
2019-04-10,外資及陸資(不含自營商),3275669774,4046161079,-770491305
2019-04-10,外資及陸資合計,3275669774,4046161079,-770491305
2019-04-10,外資自營商,0,0,0
2019-04-10,投信,335247600,605354850,-270107250
2019-04-10,自營商(自行買賣),258158152,329938681,-71780529
2019-04-10,自營商(避險),355432750,577632584,-222199834
2019-04-10,自營商合計,613590902,907571265,-293980363
