date,investor,buy,sell,net
2022-03-31,三大法人合計*,13357604545,15427170273,-2069565728
2022-03-31,外資及陸資(不含自營商),11258031915,12601458510,-1343426595
2022-03-31,外資及陸資合計,11258031915,12601458510,-1343426595
2022-03-31,外資自營商,0,0,0
2022-03-31,投信,914400900,1600211234,-685810334
2022-03-31,自營商(自行買賣),519640396,473422707,46217689
2022-03-31,自營商(避險),665531334,752077822,-86546488
2022-03-31,自營商合計,1185171730,1225500529,-40328799
