N,cagr_n_seeds,cagr_diff_median,cagr_diff_mean,cagr_ci_lo,cagr_ci_hi,cagr_detectable,mdd_n_seeds,mdd_diff_median,mdd_diff_mean,mdd_ci_lo,mdd_ci_hi,mdd_detectable
5,200,0.014080485587397162,0.020004845810087546,0.003515211527121361,0.03649448009305373,True,200,-0.014096163118962779,-0.014859628058814427,-0.025604862523098917,-0.004114393594529937,True
8,200,0.01800280917836239,0.010760889395153047,-0.0023832955740691903,0.023905074364375285,False,200,-0.0073472253170826785,-0.00840095608679059,-0.017079045080325178,0.0002771329067439987,False
10,200,0.00726759516498432,0.013599996154955196,0.0021782416648613474,0.025021750645049044,True,200,-0.0020321125032895515,-0.00013855274261132116,-0.006767712604774787,0.006490607119552144,False
20,200,0.005346400733235779,0.003024014524728518,-0.003934381664408441,0.009982410713865478,False,200,-0.006750780221297659,-0.005456715956211638,-0.010624530626867666,-0.0002889012855556098,True
