stock_id,first_seen,last_seen
2233,2026-09-11,2026-09-11
2301,2026-09-11,2026-09-11
2302,2026-09-11,2026-09-11
2303,2026-09-11,2026-09-11
2305,2026-09-11,2026-09-11
2308,2026-09-11,2026-09-11
2312,2026-09-11,2026-09-11
2313,2026-09-11,2026-09-11
2316,2026-09-11,2026-09-11
2317,2026-09-11,2026-09-11
2323,2026-09-11,2026-09-11
2324,2026-09-11,2026-09-11
2327,2026-09-11,2026-09-11
2328,2026-09-11,2026-09-11
2329,2026-09-11,2026-09-11
2330,2026-09-11,2026-09-11
2332,2026-09-11,2026-09-11
2337,2026-09-11,2026-09-11
2338,2026-09-11,2026-09-11
2340,2026-09-11,2026-09-11
2342,2026-09-11,2026-09-11
2344,2026-09-11,2026-09-11
2345,2026-09-11,2026-09-11
2347,2026-09-11,2026-09-11
2351,2026-09-11,2026-09-11
2352,2026-09-11,2026-09-11
2353,2026-09-11,2026-09-11
2354,2026-09-11,2026-09-11
2355,2026-09-11,2026-09-11
2356,2026-09-11,2026-09-11
2357,2026-09-11,2026-09-11
2359,2026-09-11,2026-09-11
2360,2026-09-11,2026-09-11
2362,2026-09-11,2026-09-11
2363,2026-09-11,2026-09-11
2364,2026-09-11,2026-09-11
2367,2026-09-11,2026-09-11
2368,2026-09-11,2026-09-11
2369,2026-09-11,2026-09-11
2371,2026-09-11,2026-09-11
2374,2026-09-11,2026-09-11
2375,2026-09-11,2026-09-11
2376,2026-09-11,2026-09-11
2377,2026-09-11,2026-09-11
2379,2026-09-11,2026-09-11
2382,2026-09-11,2026-09-11
2383,2026-09-11,2026-09-11
2385,2026-09-11,2026-09-11
2388,2026-09-11,2026-09-11
2392,2026-09-11,2026-09-11
2393,2026-09-11,2026-09-11
2395,2026-09-11,2026-09-11
2399,2026-09-11,2026-09-11
2401,2026-09-11,2026-09-11
2402,2026-09-11,2026-09-11
2404,2026-09-11,2026-09-11
2406,2026-09-11,2026-09-11
2408,2026-09-11,2026-09-11
2409,2026-09-11,2026-09-11
2412,2026-09-11,2026-09-11
2413,2026-09-11,2026-09-11
2421,2026-09-11,2026-09-11
2426,2026-09-11,2026-09-11
2428,2026-09-11,2026-09-11
2434,2026-09-11,2026-09-11
2436,2026-09-11,2026-09-11
2439,2026-09-11,2026-09-11
2441,2026-09-11,2026-09-11
2449,2026-09-11,2026-09-11
2451,2026-09-11,2026-09-11
2454,2026-09-11,2026-09-11
2455,2026-09-11,2026-09-11
2458,2026-09-11,2026-09-11
2464,2026-09-11,2026-09-11
2465,2026-09-11,2026-09-11
2466,2026-09-11,2026-09-11
2467,2026-09-11,2026-09-11
2472,2026-09-11,2026-09-11
2474,2026-09-11,2026-09-11
2476,2026-09-11,2026-09-11
2478,2026-09-11,2026-09-11
2481,2026-09-11,2026-09-11
2484,2026-09-11,2026-09-11
2485,2026-09-11,2026-09-11
2486,2026-09-11,2026-09-11
2489,2026-09-11,2026-09-11
2491,2026-09-11,2026-09-11
2492,2026-09-11,2026-09-11
2493,2026-09-11,2026-09-11
2498,2026-09-11,2026-09-11
2515,2026-09-11,2026-09-11
2520,2026-09-11,2026-09-11
2539,2026-09-11,2026-09-11
2542,2026-09-11,2026-09-11
2548,2026-09-11,2026-09-11
2603,2026-09-11,2026-09-11
2605,2026-09-11,2026-09-11
2606,2026-09-11,2026-09-11
2609,2026-09-11,2026-09-11
2610,2026-09-11,2026-09-11
2612,2026-09-11,2026-09-11
2615,2026-09-11,2026-09-11
2617,2026-09-11,2026-09-11
2618,2026-09-11,2026-09-11
2630,2026-09-11,2026-09-11
2633,2026-09-11,2026-09-11
2634,2026-09-11,2026-09-11
2636,2026-09-11,2026-09-11
2637,2026-09-11,2026-09-11
2641,2026-09-11,2026-09-11
2645,2026-09-11,2026-09-11
2646,2026-09-11,2026-09-11
2723,2026-09-11,2026-09-11
2727,2026-09-11,2026-09-11
2801,2026-09-11,2026-09-11
2812,2026-09-11,2026-09-11
2834,2026-09-11,2026-09-11
2845,2026-09-11,2026-09-11
2851,2026-09-11,2026-09-11
2855,2026-09-11,2026-09-11
2880,2026-09-11,2026-09-11
2881,2026-09-11,2026-09-11
2882,2026-09-11,2026-09-11
2883,2026-09-11,2026-09-11
2884,2026-09-11,2026-09-11
2885,2026-09-11,2026-09-11
2886,2026-09-11,2026-09-11
2887,2026-09-11,2026-09-11
2889,2026-09-11,2026-09-11
2890,2026-09-11,2026-09-11
2891,2026-09-11,2026-09-11
2892,2026-09-11,2026-09-11
2897,2026-09-11,2026-09-11
2912,2026-09-11,2026-09-11
2915,2026-09-11,2026-09-11
3003,2026-09-11,2026-09-11
3005,2026-09-11,2026-09-11
3006,2026-09-11,2026-09-11
3008,2026-09-11,2026-09-11
3010,2026-09-11,2026-09-11
3013,2026-09-11,2026-09-11
3014,2026-09-11,2026-09-11
3016,2026-09-11,2026-09-11
3017,2026-09-11,2026-09-11
3019,2026-09-11,2026-09-11
3022,2026-09-11,2026-09-11
3023,2026-09-11,2026-09-11
3026,2026-09-11,2026-09-11
3029,2026-09-11,2026-09-11
3030,2026-09-11,2026-09-11
3033,2026-09-11,2026-09-11
3034,2026-09-11,2026-09-11
3035,2026-09-11,2026-09-11
3036,2026-09-11,2026-09-11
3037,2026-09-11,2026-09-11
3042,2026-09-11,2026-09-11
3044,2026-09-11,2026-09-11
3045,2026-09-11,2026-09-11
3048,2026-09-11,2026-09-11
3049,2026-09-11,2026-09-11
3055,2026-09-11,2026-09-11
3059,2026-09-11,2026-09-11
3081,2026-09-11,2026-09-11
3088,2026-09-11,2026-09-11
3090,2026-09-11,2026-09-11
3094,2026-09-11,2026-09-11
3105,2026-09-11,2026-09-11
3131,2026-09-11,2026-09-11
3135,2026-09-11,2026-09-11
3141,2026-09-11,2026-09-11
3147,2026-09-11,2026-09-11
3149,2026-09-11,2026-09-11
3152,2026-09-11,2026-09-11
3162,2026-09-11,2026-09-11
3163,2026-09-11,2026-09-11
3167,2026-09-11,2026-09-11
3189,2026-09-11,2026-09-11
3209,2026-09-11,2026-09-11
3211,2026-09-11,2026-09-11
3217,2026-09-11,2026-09-11
3219,2026-09-11,2026-09-11
3221,2026-09-11,2026-09-11
3227,2026-09-11,2026-09-11
3229,2026-09-11,2026-09-11
3231,2026-09-11,2026-09-11
3234,2026-09-11,2026-09-11
3236,2026-09-11,2026-09-11
3260,2026-09-11,2026-09-11
3264,2026-09-11,2026-09-11
3265,2026-09-11,2026-09-11
3289,2026-09-11,2026-09-11
3293,2026-09-11,2026-09-11
3305,2026-09-11,2026-09-11
3312,2026-09-11,2026-09-11
3324,2026-09-11,2026-09-11
3339,2026-09-11,2026-09-11
3357,2026-09-11,2026-09-11
3362,2026-09-11,2026-09-11
3363,2026-09-11,2026-09-11
3374,2026-09-11,2026-09-11
3376,2026-09-11,2026-09-11
3380,2026-09-11,2026-09-11
3388,2026-09-11,2026-09-11
3406,2026-09-11,2026-09-11
3413,2026-09-11,2026-09-11
3416,2026-09-11,2026-09-11
3441,2026-09-11,2026-09-11
3443,2026-09-11,2026-09-11
3450,2026-09-11,2026-09-11
3455,2026-09-11,2026-09-11
3479,2026-09-11,2026-09-11
3481,2026-09-11,2026-09-11
3490,2026-09-11,2026-09-11
3491,2026-09-11,2026-09-11
3498,2026-09-11,2026-09-11
3504,2026-09-11,2026-09-11
3515,2026-09-11,2026-09-11
3526,2026-09-11,2026-09-11
3529,2026-09-11,2026-09-11
3532,2026-09-11,2026-09-11
3533,2026-09-11,2026-09-11
3535,2026-09-11,2026-09-11
3543,2026-09-11,2026-09-11
3563,2026-09-11,2026-09-11
3576,2026-09-11,2026-09-11
3583,2026-09-11,2026-09-11
3587,2026-09-11,2026-09-11
3592,2026-09-11,2026-09-11
3596,2026-09-11,2026-09-11
3605,2026-09-11,2026-09-11
3617,2026-09-11,2026-09-11
3624,2026-09-11,2026-09-11
3645,2026-09-11,2026-09-11
3653,2026-09-11,2026-09-11
3661,2026-09-11,2026-09-11
3665,2026-09-11,2026-09-11
3673,2026-09-11,2026-09-11
3675,2026-09-11,2026-09-11
3680,2026-09-11,2026-09-11
3689,2026-09-11,2026-09-11
3693,2026-09-11,2026-09-11
3702,2026-09-11,2026-09-11
3704,2026-09-11,2026-09-11
3706,2026-09-11,2026-09-11
3707,2026-09-11,2026-09-11
3711,2026-09-11,2026-09-11
3714,2026-09-11,2026-09-11
3715,2026-09-11,2026-09-11
4123,2026-09-11,2026-09-11
4147,2026-09-11,2026-09-11
4303,2026-09-11,2026-09-11
4510,2026-09-11,2026-09-11
4526,2026-09-11,2026-09-11
4540,2026-09-11,2026-09-11
4541,2026-09-11,2026-09-11
4542,2026-09-11,2026-09-11
4551,2026-09-11,2026-09-11
4566,2026-09-11,2026-09-11
4576,2026-09-11,2026-09-11
4577,2026-09-11,2026-09-11
4585,2026-09-11,2026-09-11
4707,2026-09-11,2026-09-11
4722,2026-09-11,2026-09-11
4736,2026-09-11,2026-09-11
4739,2026-09-11,2026-09-11
4743,2026-09-11,2026-09-11
4749,2026-09-11,2026-09-11
4760,2026-09-11,2026-09-11
4763,2026-09-11,2026-09-11
4764,2026-09-11,2026-09-11
4766,2026-09-11,2026-09-11
4768,2026-09-11,2026-09-11
4770,2026-09-11,2026-09-11
4772,2026-09-11,2026-09-11
4904,2026-09-11,2026-09-11
4906,2026-09-11,2026-09-11
4908,2026-09-11,2026-09-11
4912,2026-09-11,2026-09-11
4915,2026-09-11,2026-09-11
4916,2026-09-11,2026-09-11
4919,2026-09-11,2026-09-11
4927,2026-09-11,2026-09-11
4931,2026-09-11,2026-09-11
4938,2026-09-11,2026-09-11
4939,2026-09-11,2026-09-11
4949,2026-09-11,2026-09-11
4956,2026-09-11,2026-09-11
4958,2026-09-11,2026-09-11
4961,2026-09-11,2026-09-11
4966,2026-09-11,2026-09-11
4967,2026-09-11,2026-09-11
4971,2026-09-11,2026-09-11
4973,2026-09-11,2026-09-11
4976,2026-09-11,2026-09-11
4977,2026-09-11,2026-09-11
4979,2026-09-11,2026-09-11
4989,2026-09-11,2026-09-11
4991,2026-09-11,2026-09-11
5009,2026-09-11,2026-09-11
5234,2026-09-11,2026-09-11
5243,2026-09-11,2026-09-11
5269,2026-09-11,2026-09-11
5274,2026-09-11,2026-09-11
5284,2026-09-11,2026-09-11
5285,2026-09-11,2026-09-11
5289,2026-09-11,2026-09-11
5291,2026-09-11,2026-09-11
5292,2026-09-11,2026-09-11
5309,2026-09-11,2026-09-11
5314,2026-09-11,2026-09-11
5321,2026-09-11,2026-09-11
5328,2026-09-11,2026-09-11
5340,2026-09-11,2026-09-11
5347,2026-09-11,2026-09-11
5351,2026-09-11,2026-09-11
5386,2026-09-11,2026-09-11
5388,2026-09-11,2026-09-11
5392,2026-09-11,2026-09-11
5425,2026-09-11,2026-09-11
5434,2026-09-11,2026-09-11
5439,2026-09-11,2026-09-11
5443,2026-09-11,2026-09-11
5464,2026-09-11,2026-09-11
5469,2026-09-11,2026-09-11
5471,2026-09-11,2026-09-11
5475,2026-09-11,2026-09-11
5483,2026-09-11,2026-09-11
5498,2026-09-11,2026-09-11
5534,2026-09-11,2026-09-11
5536,2026-09-11,2026-09-11
5607,2026-09-11,2026-09-11
5608,2026-09-11,2026-09-11
5864,2026-09-11,2026-09-11
5871,2026-09-11,2026-09-11
5876,2026-09-11,2026-09-11
5880,2026-09-11,2026-09-11
5904,2026-09-11,2026-09-11
6005,2026-09-11,2026-09-11
6016,2026-09-11,2026-09-11
6023,2026-09-11,2026-09-11
6104,2026-09-11,2026-09-11
6108,2026-09-11,2026-09-11
6116,2026-09-11,2026-09-11
6121,2026-09-11,2026-09-11
6125,2026-09-11,2026-09-11
6127,2026-09-11,2026-09-11
6138,2026-09-11,2026-09-11
6139,2026-09-11,2026-09-11
6141,2026-09-11,2026-09-11
6147,2026-09-11,2026-09-11
6155,2026-09-11,2026-09-11
6166,2026-09-11,2026-09-11
6168,2026-09-11,2026-09-11
6173,2026-09-11,2026-09-11
6175,2026-09-11,2026-09-11
6176,2026-09-11,2026-09-11
6177,2026-09-11,2026-09-11
6179,2026-09-11,2026-09-11
6182,2026-09-11,2026-09-11
6187,2026-09-11,2026-09-11
6190,2026-09-11,2026-09-11
6191,2026-09-11,2026-09-11
6196,2026-09-11,2026-09-11
6197,2026-09-11,2026-09-11
6199,2026-09-11,2026-09-11
6202,2026-09-11,2026-09-11
6206,2026-09-11,2026-09-11
6207,2026-09-11,2026-09-11
6209,2026-09-11,2026-09-11
6213,2026-09-11,2026-09-11
6214,2026-09-11,2026-09-11
6215,2026-09-11,2026-09-11
6217,2026-09-11,2026-09-11
6218,2026-09-11,2026-09-11
6223,2026-09-11,2026-09-11
6224,2026-09-11,2026-09-11
6226,2026-09-11,2026-09-11
6227,2026-09-11,2026-09-11
6231,2026-09-11,2026-09-11
6239,2026-09-11,2026-09-11
6257,2026-09-11,2026-09-11
6265,2026-09-11,2026-09-11
6269,2026-09-11,2026-09-11
6271,2026-09-11,2026-09-11
6274,2026-09-11,2026-09-11
6278,2026-09-11,2026-09-11
6279,2026-09-11,2026-09-11
6282,2026-09-11,2026-09-11
6284,2026-09-11,2026-09-11
6285,2026-09-11,2026-09-11
6290,2026-09-11,2026-09-11
6291,2026-09-11,2026-09-11
6409,2026-09-11,2026-09-11
6414,2026-09-11,2026-09-11
6415,2026-09-11,2026-09-11
6416,2026-09-11,2026-09-11
6419,2026-09-11,2026-09-11
6426,2026-09-11,2026-09-11
6435,2026-09-11,2026-09-11
6438,2026-09-11,2026-09-11
6442,2026-09-11,2026-09-11
6443,2026-09-11,2026-09-11
6446,2026-09-11,2026-09-11
6449,2026-09-11,2026-09-11
6451,2026-09-11,2026-09-11
6456,2026-09-11,2026-09-11
6472,2026-09-11,2026-09-11
6477,2026-09-11,2026-09-11
6488,2026-09-11,2026-09-11
6491,2026-09-11,2026-09-11
6505,2026-09-11,2026-09-11
6510,2026-09-11,2026-09-11
6515,2026-09-11,2026-09-11
6517,2026-09-11,2026-09-11
6525,2026-09-11,2026-09-11
6526,2026-09-11,2026-09-11
6530,2026-09-11,2026-09-11
6531,2026-09-11,2026-09-11
6532,2026-09-11,2026-09-11
6533,2026-09-11,2026-09-11
6538,2026-09-11,2026-09-11
6547,2026-09-11,2026-09-11
6548,2026-09-11,2026-09-11
6579,2026-09-11,2026-09-11
6584,2026-09-11,2026-09-11
6588,2026-09-11,2026-09-11
6613,2026-09-11,2026-09-11
6617,2026-09-11,2026-09-11
6620,2026-09-11,2026-09-11
6640,2026-09-11,2026-09-11
6643,2026-09-11,2026-09-11
6658,2026-09-11,2026-09-11
6664,2026-09-11,2026-09-11
6667,2026-09-11,2026-09-11
6668,2026-09-11,2026-09-11
6669,2026-09-11,2026-09-11
6670,2026-09-11,2026-09-11
6672,2026-09-11,2026-09-11
6679,2026-09-11,2026-09-11
6683,2026-09-11,2026-09-11
6691,2026-09-11,2026-09-11
6693,2026-09-11,2026-09-11
6706,2026-09-11,2026-09-11
6715,2026-09-11,2026-09-11
6716,2026-09-11,2026-09-11
6719,2026-09-11,2026-09-11
6727,2026-09-11,2026-09-11
6739,2026-09-11,2026-09-11
6753,2026-09-11,2026-09-11
6761,2026-09-11,2026-09-11
6770,2026-09-11,2026-09-11
6781,2026-09-11,2026-09-11
6782,2026-09-11,2026-09-11
6788,2026-09-11,2026-09-11
6789,2026-09-11,2026-09-11
6805,2026-09-11,2026-09-11
6829,2026-09-11,2026-09-11
6830,2026-09-11,2026-09-11
6831,2026-09-11,2026-09-11
6834,2026-09-11,2026-09-11
6840,2026-09-11,2026-09-11
6861,2026-09-11,2026-09-11
6890,2026-09-11,2026-09-11
6903,2026-09-11,2026-09-11
6907,2026-09-11,2026-09-11
6913,2026-09-11,2026-09-11
6919,2026-09-11,2026-09-11
6933,2026-09-11,2026-09-11
6937,2026-09-11,2026-09-11
6944,2026-09-11,2026-09-11
6949,2026-09-11,2026-09-11
6962,2026-09-11,2026-09-11
7402,2026-09-11,2026-09-11
7610,2026-09-11,2026-09-11
7711,2026-09-11,2026-09-11
7712,2026-09-11,2026-09-11
7714,2026-09-11,2026-09-11
7717,2026-09-11,2026-09-11
7734,2026-09-11,2026-09-11
7744,2026-09-11,2026-09-11
7749,2026-09-11,2026-09-11
7750,2026-09-11,2026-09-11
7751,2026-09-11,2026-09-11
7769,2026-09-11,2026-09-11
7777,2026-09-11,2026-09-11
7788,2026-09-11,2026-09-11
7792,2026-09-11,2026-09-11
7795,2026-09-11,2026-09-11
7799,2026-09-11,2026-09-11
7822,2026-09-11,2026-09-11
7828,2026-09-11,2026-09-11
8016,2026-09-11,2026-09-11
8021,2026-09-11,2026-09-11
8027,2026-09-11,2026-09-11
8028,2026-09-11,2026-09-11
8033,2026-09-11,2026-09-11
8039,2026-09-11,2026-09-11
8040,2026-09-11,2026-09-11
8042,2026-09-11,2026-09-11
8043,2026-09-11,2026-09-11
8046,2026-09-11,2026-09-11
8050,2026-09-11,2026-09-11
8054,2026-09-11,2026-09-11
8064,2026-09-11,2026-09-11
8069,2026-09-11,2026-09-11
8070,2026-09-11,2026-09-11
8081,2026-09-11,2026-09-11
8086,2026-09-11,2026-09-11
8091,2026-09-11,2026-09-11
8096,2026-09-11,2026-09-11
8103,2026-09-11,2026-09-11
8105,2026-09-11,2026-09-11
8109,2026-09-11,2026-09-11
8110,2026-09-11,2026-09-11
8111,2026-09-11,2026-09-11
8112,2026-09-11,2026-09-11
8114,2026-09-11,2026-09-11
8131,2026-09-11,2026-09-11
8150,2026-09-11,2026-09-11
8155,2026-09-11,2026-09-11
8210,2026-09-11,2026-09-11
8227,2026-09-11,2026-09-11
8240,2026-09-11,2026-09-11
8261,2026-09-11,2026-09-11
8271,2026-09-11,2026-09-11
8299,2026-09-11,2026-09-11
8358,2026-09-11,2026-09-11
8383,2026-09-11,2026-09-11
8422,2026-09-11,2026-09-11
8431,2026-09-11,2026-09-11
8436,2026-09-11,2026-09-11
8454,2026-09-11,2026-09-11
8464,2026-09-11,2026-09-11
8926,2026-09-11,2026-09-11
8932,2026-09-11,2026-09-11
8996,2026-09-11,2026-09-11
9105,2026-09-11,2026-09-11
9904,2026-09-11,2026-09-11
9910,2026-09-11,2026-09-11
9914,2026-09-11,2026-09-11
9921,2026-09-11,2026-09-11
9933,2026-09-11,2026-09-11
9939,2026-09-11,2026-09-11
9941,2026-09-11,2026-09-11
9945,2026-09-11,2026-09-11
9958,2026-09-11,2026-09-11
