stock_id,first_seen,last_seen
1101,2026-09-11,2026-09-11
1102,2026-09-11,2026-09-11
1210,2026-09-11,2026-09-11
1215,2026-09-11,2026-09-11
1216,2026-09-11,2026-09-11
1229,2026-09-11,2026-09-11
1301,2026-09-11,2026-09-11
1303,2026-09-11,2026-09-11
1312,2026-09-11,2026-09-11
1314,2026-09-11,2026-09-11
1316,2026-09-11,2026-09-11
1319,2026-09-11,2026-09-11
1326,2026-09-11,2026-09-11
1402,2026-09-11,2026-09-11
1409,2026-09-11,2026-09-11
1476,2026-09-11,2026-09-11
1477,2026-09-11,2026-09-11
1503,2026-09-11,2026-09-11
1504,2026-09-11,2026-09-11
1513,2026-09-11,2026-09-11
1514,2026-09-11,2026-09-11
1515,2026-09-11,2026-09-11
1519,2026-09-11,2026-09-11
1536,2026-09-11,2026-09-11
1560,2026-09-11,2026-09-11
1563,2026-09-11,2026-09-11
1590,2026-09-11,2026-09-11
1597,2026-09-11,2026-09-11
1605,2026-09-11,2026-09-11
1608,2026-09-11,2026-09-11
1609,2026-09-11,2026-09-11
1707,2026-09-11,2026-09-11
1708,2026-09-11,2026-09-11
1709,2026-09-11,2026-09-11
1710,2026-09-11,2026-09-11
1711,2026-09-11,2026-09-11
1712,2026-09-11,2026-09-11
1714,2026-09-11,2026-09-11
1717,2026-09-11,2026-09-11
1718,2026-09-11,2026-09-11
1722,2026-09-11,2026-09-11
1723,2026-09-11,2026-09-11
1727,2026-09-11,2026-09-11
1773,2026-09-11,2026-09-11
1785,2026-09-11,2026-09-11
1795,2026-09-11,2026-09-11
1802,2026-09-11,2026-09-11
1808,2026-09-11,2026-09-11
1810,2026-09-11,2026-09-11
1815,2026-09-11,2026-09-11
1904,2026-09-11,2026-09-11
2002,2026-09-11,2026-09-11
2006,2026-09-11,2026-09-11
2009,2026-09-11,2026-09-11
2027,2026-09-11,2026-09-11
2030,2026-09-11,2026-09-11
2049,2026-09-11,2026-09-11
2059,2026-09-11,2026-09-11
2061,2026-09-11,2026-09-11
2101,2026-09-11,2026-09-11
2103,2026-09-11,2026-09-11
2105,2026-09-11,2026-09-11
2201,2026-09-11,2026-09-11
2207,2026-09-11,2026-09-11
2208,2026-09-11,2026-09-11
2221,2026-09-11,2026-09-11
