r,rep,eq_sha,n_trades,hold_mean,hold_med,hold_p10,hold_p90,hold_max,first_exit,own_n,own_sha,pref,tr,tr_prev,cagr,mdd,expo,slot,trades
0,0,38f88b1ad3e4d633954fc96d82985f0764056a2ab0bc6b5a0bab71883d48f4b7,754,8.66710875331565,7.0,3.0,19.0,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9890446  0.99405949],-0.5237094037068224,-0.5288061624565193,-0.07555894922790984,-0.6354115846579004,0.3132591932367283,0.32506747638326583,754
0,1,f999bb0b836d7182fde73e95e71cd52701ffb1219ae245622d13892ebee0e37c,760,8.828947368421053,7.0,3.0,18.0,45.0,528,5,9b8e893018bcd0dc7ab30a045e43d9b4447f721efc3ad3476083b26589d4c280,[0.98929906 0.99123835 0.99969055],-0.504572856676857,-0.5098743945346722,-0.07169362757561804,-0.5823591074282113,0.32126960931837917,0.33381956912028726,760
0,2,8084549b2a799a2794e25b8f4207fd1ea56ba23e8cdb38367392ce2abfa875d4,765,8.02483660130719,7.0,2.0,15.600000000000023,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.993408  ],-0.4289095196756031,-0.4350207266259716,-0.05761265669752391,-0.5893200512640069,0.29266820129279514,0.3020458633093525,765
0,3,60e14870375dab51219e1b10a07e69f8290e764023d61130db021e58b2f263aa,750,8.662666666666667,7.0,2.0,20.0,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.993408  ],-0.6374548549450195,-0.641334430050218,-0.10189670073173485,-0.7322419936059782,0.3123796871232754,0.3233010801080108,750
0,4,a279b41d68d7c2fc745527bbbabeb39943cdef27bb74bcfd357581e355c8399d,755,8.6,7.0,2.0,18.600000000000023,45.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99844063],-0.4899585782251499,-0.4954165026506381,-0.06883063586508986,-0.5550634308683252,0.31085218838476264,0.3213485663082437,755
0,5,04262e7c069f4806d832fa7c2eab1461a24e280998d945320dcf8ae47ff48ea2,760,8.340789473684211,7.0,2.0,18.0,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  1.00085847],-0.5061526615479208,-0.5114372940031056,-0.07200762445383502,-0.6252313381888317,0.30179822624424174,0.3139914452949122,760
0,6,07f01fc87179965f783839c03d6f38379867ce0a2d580dba7ab57d77000e21df,750,8.901333333333334,7.0,2.0,20.0,45.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.9989593 ],-0.34068398455074134,-0.3477392879657345,-0.04316325239555663,-0.5903238462205451,0.3218370479975642,0.3332208726945569,750
0,7,acc433d5869de11a7db3954d94e02517820a6f296a7010dcf29c58ac43e24f5f,755,8.649006622516556,7.0,2.4000000000000057,18.0,44.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99725697],-0.609566888128422,-0.6137448907902213,-0.09481910893994949,-0.6672469217168703,0.31239560388532517,0.3251689189189189,755
0,8,ed85d9a7b68e5614f7f0200fe609926efeb545de1d97b55135bf6137e75dd35a,743,8.761776581426648,7.0,2.0,21.0,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.98977585 0.99238298],-0.46683257806558964,-0.472537972511641,-0.0644466425071536,-0.5884386905834486,0.31215250167318553,0.32297267025089604,743
0,9,bab752b9645d1bbce1f9f5f874d60d1b560ab16a0b05118c6718a4d689daaeef,749,8.80373831775701,7.0,3.0,20.0,44.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99720303],-0.2684524829150675,-0.2762807315463436,-0.03256865014238197,-0.45758266041816376,0.31607525062826153,0.32925867507886436,749
0,10,e7270009c850dceee425ae5529435dca5aa54d1a937b37bbf6543a654e4787d5,758,8.476253298153035,7.0,2.0,18.0,49.0,526,3,f166ab585cbd062bc2e13d3a60e29ccceeec7376e310e9a39219fc717b3c10ba,[0.98929906 0.99123835 0.99969055],-0.5337607782145966,-0.5387499777738167,-0.07764514946084344,-0.6093551193127253,0.30605968691252594,0.31908783783783784,758
0,11,04d1c423aea552e2a7b3fc667e028724dfaaf163b2c527d8ef798e44d3ded44f,761,8.526938239159001,7.0,2.0,18.0,44.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99309753],-0.6490273123654087,-0.6527830512578583,-0.1049774732722899,-0.748138687876268,0.30922978107463234,0.3220872694556905,761
0,12,044a9d92c253da8f251ed6680a4b5a1168557f5fa0f9766435147e6f278e8ea7,755,8.725827814569536,7.0,2.0,19.600000000000023,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  1.00085847],-0.5149471995396091,-0.5201377221408359,-0.0737721906254949,-0.6395833934854463,0.3160390152935936,0.32769662921348314,755
0,13,004da5cb6737a978ab0f7187b0674d1bccbf72f0bf96f6a291f788541ed26097,760,8.330263157894738,7.0,2.0,17.100000000000023,45.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99697813],-0.57108912043588,-0.5756788715148895,-0.08576214383543201,-0.6382183404050705,0.3013962371583552,0.3121358135365307,760
0,14,2ad49755b741aed554033e72a2b11573a30189db225bfe275baeb53cc72983c7,748,8.95053475935829,7.0,2.0,21.0,49.0,525,2,ed11e3293b759bbddefa4ce8b834bcd5481b004e783a9083f47390f0d43745e5,[0.98929906 0.99123835 0.9989593 ],-0.4521106576504964,-0.4579735905347868,-0.06174356517388857,-0.585436047057409,0.32193382348411415,0.33455220522052204,748
0,15,ca7026c1101ea8fe04fb4bb353eb595cab9a590d29a969483db3217b9c89879f,737,9.39484396200814,7.0,3.0,22.0,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99652572],-0.5763507453846906,-0.5808841921125241,-0.08695667133727225,-0.7101106939868937,0.33520476513892655,0.3454108977221974,737
0,16,1f14b0f16450f57ad91ef87c8731c0a232f54cb7d795cbabc8aa2cd53bf6801d,744,9.188172043010752,7.0,3.0,21.0,45.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99720303],-0.14878682728787074,-0.15789561133618601,-0.016918671746614877,-0.43016489834831345,0.32986854260249754,0.34240107913669066,744
0,17,b5195c1d41a3fc3c9501ded6afaecd857ab40ea9a76a98ef5b247462fb20adb2,757,8.344782034346103,7.0,2.0,18.0,45.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.9905071  0.99456003],-0.5669810208784714,-0.5716147324986438,-0.08483857080463741,-0.6554272676292668,0.3011414639455161,0.31207903008531657,757
0,18,a98ee368f020b1ec8a8753b50fe3eb477ab7890cc6927840382d4b338a0949e8,751,8.748335552596538,7.0,2.0,19.0,49.0,524,1,dc617b92dad2fab2ee6fe6a919d4bd25f2258dd74ee9774413248cf8890940b3,[0.98929906 0.98977585 0.9988773 ],-0.47625284875880736,-0.4818574374206298,-0.06621151789252733,-0.5704977124326592,0.31560208253016897,0.3280897609382048,751
