臂,cagr_med,cagr_p10,cagr_p90,mdd_med,mdd_p10,mdd_p90,expo_med,trades_med,成本累計_本金倍數
E0,0.2820350701063953,0.20434354723573306,0.36820505943804477,-0.41432426935458594,-0.47524809022050024,-0.37023358981058885,0.8713977071219294,138.0,0.8073
E1,-0.10945015172522526,-0.13171305534060768,-0.0849933723856725,-0.7420179527255597,-0.7914994730600122,-0.6680687371764827,0.2987604248197095,755.0,4.41675
E1a,0.21177688117801707,0.13355914589880963,0.3161069062579554,-0.4493459649095486,-0.516870058727174,-0.3904658676068894,0.8012434259668773,298.0,1.7433
E1b,0.07160854851506904,0.019456051408360178,0.133832698850117,-0.5527382440548572,-0.6537709260130282,-0.46224506289224687,0.5705567548102082,472.0,2.7612
E1c,-0.00031828355087154536,-0.03431728316932818,0.037629136072278246,-0.46218630781038217,-0.5587104223141396,-0.37498840430206587,0.6799748038125438,346.0,2.0241000000000002
R1,-0.10181472728081725,-0.12140991807407607,-0.08503989796972398,-0.7073005674647481,-0.7586780135796493,-0.6705249736282037,0.3048120507110499,763.0,4.46355
