臂,平均,中位,p10,p90,最大,筆數
E0,120.0,120.0,120.0,120.0,120.0,27598.0
E1,8.39408390626449,7.0,2.0,18.0,67.0,150978.0
E1a,50.12100724734935,38.0,8.0,120.0,120.0,59608.0
E1b,23.023257293080054,9.0,7.0,53.0,120.0,94336.0
E1c,39.93174490725346,16.0,2.0,120.0,120.0,69167.0
R1,8.385143979057592,7.0,2.0,18.0,67.0,4573873.0
