stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b,w_mean
main,1,win,16,1016,526,2859,163,bfb25ed48866e300,0.4162808556191038,-0.37580823266772223,0.28953890485570766,523.0,2836.0,
main,1,win,17,1017,526,2859,163,bc4d8d1c77e59205,0.40637956863744784,-0.4121585822731802,0.28910903770173585,523.0,2836.0,
main,1,win,18,1018,526,2859,163,ff789dcbbda3a322,0.41519286271286715,-0.4032098934321422,0.2826020265931931,523.0,2836.0,
main,1,win,19,1019,526,2859,163,b3f5308c67e9e1cd,0.4111706242464659,-0.4169523791482192,0.2877275636695111,523.0,2836.0,
main,1,win,20,1020,526,2859,163,17cf92c9737a52fd,0.42623429596821305,-0.42150187348121776,0.28996759076003864,523.0,2836.0,
main,1,win,21,1021,526,2859,163,1e4df1af0ea69156,0.39474540000785274,-0.3925964321541274,0.28985572908786816,523.0,2836.0,
main,1,win,22,1022,526,2859,163,3db9e46622b8ed02,0.4041401710179584,-0.43297292327181025,0.2861440246210653,523.0,2836.0,
main,1,win,23,1023,526,2859,163,c17f3a3b6f042b88,0.37621187404901035,-0.43318684521823114,0.283152321971476,523.0,2836.0,
main,1,win,24,1024,526,2859,163,170c9c6b10cb176a,0.45144593352017015,-0.3612069657591807,0.2931092585149856,523.0,2836.0,
main,1,win,25,1025,526,2859,163,a641704eb40e866a,0.42163940325635685,-0.3732840193531702,0.2908934070538112,523.0,2836.0,
main,1,win,26,1026,526,2859,163,57e2a2e272ecdf32,0.41716405099539977,-0.38339115521215805,0.2902108525671629,523.0,2836.0,
main,1,win,27,1027,526,2859,163,85b304b55cb47f52,0.36884492239820954,-0.4155914412140868,0.28011608158244167,523.0,2836.0,
main,1,win,28,1028,526,2859,163,a78bc52b9fa1b92d,0.38800899933266275,-0.3972901402270864,0.28264969472592405,523.0,2836.0,
main,1,win,29,1029,526,2859,163,fc7e7b6a2397925d,0.3944955347131027,-0.3997622294643196,0.2909440382118004,523.0,2836.0,
main,1,win,30,1030,526,2859,163,363d55447885e8ba,0.39970872970098625,-0.41045166616743467,0.2883708930374796,523.0,2836.0,
main,1,win,31,1031,526,2859,163,104cb09afde2de25,0.4276018845529683,-0.3970581522528913,0.28965448125329046,523.0,2836.0,
main,1,win,32,1032,526,2859,163,f2fa7e5da0455049,0.37861778263271084,-0.3826947988012619,0.2852946960600182,523.0,2836.0,
