stage,cell,r,seed,cagr,mdd,vol,first,end,trades,eq_sha,w_mean,mode
repro,8,0,102000,0.27227998016307553,-0.33318954937362005,0.2197997332589037,523,2837,138,dac47549f79f483a,,win
repro,5,0,102000,0.27771838130045956,-0.31894241647200333,0.2014813756182673,523,2837,138,dac47549f79f483a,0.4131862044082887,win
repro,0,0,102000,0.29870900754219387,-0.4365922732834437,0.2728410162876898,523,2837,138,,,win
repro,8,1,102001,0.2921412521144333,-0.32642129933627023,0.21631784376498628,523,2837,138,7b49fbf5674072c1,,win
repro,5,1,102001,0.28386828223836,-0.31283081238905425,0.20057109195924716,523,2837,138,7b49fbf5674072c1,0.4213313609923362,win
repro,0,1,102001,0.33082465821743323,-0.3693403626630285,0.2669125823180484,523,2837,138,,,win
repro,8,2,102002,0.3194144375859693,-0.3696075196782039,0.2295983636169627,523,2837,138,a4948e2eda8613e5,,win
repro,5,2,102002,0.3028134132142397,-0.3522573070936614,0.20291849485944324,523,2837,138,a4948e2eda8613e5,0.41133354401988537,win
repro,0,2,102002,0.37163711047419157,-0.4177226366560117,0.2860475527790015,523,2837,138,,,win
repro,8,3,102003,0.23416165243467524,-0.4042938378571904,0.20843347886981653,523,2837,138,6569498263e963dd,,win
repro,5,3,102003,0.25192688985745226,-0.38802074872380626,0.19474304264967537,523,2837,138,6569498263e963dd,0.42936855599994783,win
repro,0,3,102003,0.2278608507203448,-0.49153882590816295,0.2547153701768356,523,2837,138,,,win
repro,8,4,102004,0.23572699163457345,-0.3707965258744244,0.20983872187955072,523,2837,138,58abc0a40b0e22ea,,win
repro,5,4,102004,0.24273681289621285,-0.3643180342463161,0.20039660202158913,523,2837,138,58abc0a40b0e22ea,0.4230241430655915,win
repro,0,4,102004,0.23111076030382316,-0.4581959255260564,0.26301159906453725,523,2837,138,,,win
repro,8,5,102005,0.2634685068259992,-0.35094417975739706,0.2124224674400586,523,2837,138,2fd1d27c15bd70ef,,win
repro,5,5,102005,0.27178257786497206,-0.3344827036216996,0.2003410255304461,523,2837,138,2fd1d27c15bd70ef,0.41527047412430845,win
repro,0,5,102005,0.28359845514955295,-0.4206631808096971,0.26905660141209903,523,2837,138,,,win
repro,8,6,102006,0.32288192694931217,-0.36393069907081266,0.23038386758571178,523,2837,138,9a82e5e8d3f080f1,,win
repro,5,6,102006,0.30799844435717594,-0.34098863665232126,0.20503288977171133,523,2837,138,9a82e5e8d3f080f1,0.4131245144131438,win
repro,0,6,102006,0.37661348181908894,-0.4163920295297883,0.28412700906684973,523,2837,138,,,win
repro,8,7,102007,0.2302663989386009,-0.32451554598054816,0.20685456445071937,523,2837,138,dfc32fe6f31fdfd6,,win
repro,5,7,102007,0.23829080032630356,-0.3102149772708561,0.1984705374473684,523,2837,138,dfc32fe6f31fdfd6,0.42197650797958236,win
repro,0,7,102007,0.21960340020440272,-0.3964017536053007,0.2589286873276413,523,2837,138,,,win
repro,8,8,102008,0.22508403597246418,-0.3466456691143729,0.20749788433609948,523,2837,138,3c0a7834af1e6cb5,,win
repro,5,8,102008,0.23873658678626675,-0.3317578535124361,0.19595658816841888,523,2837,138,3c0a7834af1e6cb5,0.42811887304720564,win
repro,0,8,102008,0.20820537788180538,-0.41167677822724635,0.25682643755982804,523,2837,138,,,win
repro,8,9,102009,0.2716558792425323,-0.34699860632512736,0.21154338957810567,523,2837,137,673e0e5311841a55,,win
repro,5,9,102009,0.2689674598674179,-0.3420231718282666,0.20027370032932054,523,2837,137,673e0e5311841a55,0.41878178842094504,win
repro,0,9,102009,0.2976582585402332,-0.38302038570313535,0.26816553901998746,523,2837,137,,,win
repro,8,10,102010,0.2822972883203896,-0.3405294881043181,0.21871704159824973,523,2837,138,9fb1c8455203967d,,win
repro,5,10,102010,0.27587041577967675,-0.32731146955262513,0.19983676314540327,523,2837,138,9fb1c8455203967d,0.4168102696313456,win
repro,0,10,102010,0.31520923438621584,-0.38378791618769725,0.26574036796258926,523,2837,138,,,win
repro,8,11,102011,0.26922966081828714,-0.35640653889623125,0.22267875812868504,523,2837,138,47b6a8470295277c,,win
repro,5,11,102011,0.27634245704369964,-0.3371306749125411,0.201222123511299,523,2837,138,47b6a8470295277c,0.42026140456666655,win
repro,0,11,102011,0.2935461385099989,-0.4033304234672244,0.2775777203183307,523,2837,138,,,win
repro,8,12,102012,0.2923011288473354,-0.3646705506462817,0.22239316232061188,523,2837,138,d00e130583cebd67,,win
repro,5,12,102012,0.2893108877398982,-0.34199322962657397,0.20009339618548633,523,2837,138,d00e130583cebd67,0.4138278156369737,win
repro,0,12,102012,0.3310738678323981,-0.4283565623760502,0.27330576501545134,523,2837,138,,,win
repro,8,13,102013,0.23731928072128805,-0.3686387764266169,0.21601411249228383,523,2837,138,514956df598840e9,,win
repro,5,13,102013,0.25435603137408336,-0.35078873124762056,0.19807048512822673,523,2837,138,514956df598840e9,0.41251764399283525,win
repro,0,13,102013,0.23437862856622527,-0.4442229334849359,0.27283665797449186,523,2837,138,,,win
repro,8,14,102014,0.24049219697003088,-0.3592769560176043,0.2163002327653366,523,2837,138,92cc56f9524fab9d,,win
repro,5,14,102014,0.24602771601069606,-0.33808368066740957,0.20116972438173938,523,2837,138,92cc56f9524fab9d,0.4156596489867919,win
repro,0,14,102014,0.24078172356618133,-0.40480239029828297,0.26997177209111334,523,2837,138,,,win
repro,8,15,102015,0.29173371871670817,-0.35564915722707136,0.22858920588608164,523,2837,138,6040c5b0fb68d57a,,win
repro,5,15,102015,0.2883801373963446,-0.324871357639857,0.2019840941992102,523,2837,138,6040c5b0fb68d57a,0.40993431695352417,win
repro,0,15,102015,0.33018880516943927,-0.4122538500300803,0.27957709448065726,523,2837,138,,,win
repro,8,16,102016,0.2910611408500894,-0.34665872084423777,0.2231509413709346,523,2837,138,0a916388604a31fd,,win
repro,5,16,102016,0.29159884860586716,-0.3272882381461043,0.2004846903822656,523,2837,138,0a916388604a31fd,0.4119947317180784,win
repro,0,16,102016,0.32913750163099986,-0.41852930168780206,0.2726590310642282,523,2837,138,,,win
repro,8,17,102017,0.2719111531141607,-0.3616805376328554,0.2266860279669203,523,2837,138,193120b797efbce9,,win
repro,5,17,102017,0.26917321297346164,-0.35383393867795054,0.20662891153579888,523,2837,138,193120b797efbce9,0.4092556440835614,win
repro,0,17,102017,0.29808838460738407,-0.4786261736338346,0.2866820929334264,523,2837,138,,,win
repro,8,18,102018,0.23000559874623394,-0.3323675918064885,0.20561230092454097,523,2837,138,49a7dc3327cf9709,,win
