stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
repro,3,orig,0,7000,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,1,7001,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,2,7002,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,3,7003,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,4,7004,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,5,7005,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,6,7006,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,7,7007,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,8,7008,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,9,7009,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,10,7010,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,11,7011,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,12,7012,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,13,7013,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,14,7014,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,15,7015,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,16,7016,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,17,7017,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,18,7018,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,19,7019,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,20,7020,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,21,7021,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,22,7022,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,23,7023,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,24,7024,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,25,7025,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,26,7026,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,27,7027,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,28,7028,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,29,7029,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,30,7030,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,31,7031,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,32,7032,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,33,7033,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,34,7034,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,35,7035,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,36,7036,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,37,7037,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,38,7038,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,39,7039,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,40,7040,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,41,7041,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,42,7042,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,43,7043,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,44,7044,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,45,7045,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,46,7046,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
repro,3,orig,47,7047,511,2850,296,97a9356daa82afe4,0.4044783372406753,-0.4016933288521341,0.32006471962049665,511,2850
