stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
repro,1,orig,0,1000,511,2849,164,0bf513710ee4ffb8,0.4572136096723969,-0.39128147719595613,0.2863869807963338,511,2849
repro,1,orig,1,1001,511,2849,164,fa44ca728cbce1ee,0.4210939052240501,-0.3952935002991724,0.28437173531746857,511,2849
repro,1,orig,2,1002,511,2849,164,e92ccff18ecc2731,0.45553155490361097,-0.41560225695173386,0.2901628699308995,511,2849
repro,1,orig,3,1003,511,2849,164,eec7f382066e2ca2,0.4380288416396967,-0.4065803553369841,0.2848565446010347,511,2849
repro,1,orig,4,1004,511,2849,164,4113d4efe9c8a666,0.4451348178846315,-0.403919033386151,0.28755811685234983,511,2849
repro,1,orig,5,1005,511,2849,164,dcbc61f8162282e2,0.431015618888692,-0.4003894479316424,0.28354777580243773,511,2849
repro,1,orig,6,1006,511,2849,164,47b9e1c29eb1ea4b,0.4628702257436139,-0.397253654017958,0.28269830355573705,511,2849
repro,1,orig,7,1007,511,2849,164,4f4a0c58599945f4,0.4623640819926622,-0.41687889306102743,0.29023740649061297,511,2849
repro,1,orig,8,1008,511,2849,164,dc11e13e85db3403,0.43146459664858483,-0.40848634607253165,0.28091534845641064,511,2849
repro,1,orig,9,1009,511,2849,164,e053921da6abf11d,0.40496776098873544,-0.401135234469558,0.28155740781396393,511,2849
repro,1,orig,10,1010,511,2849,164,15be6da5c75b4537,0.4746074310130166,-0.39748694063589574,0.2855567297202169,511,2849
repro,1,orig,11,1011,511,2849,164,2f51c1d23d40917f,0.426531938524769,-0.3911710191884897,0.282328141187767,511,2849
repro,1,orig,12,1012,511,2849,164,f40e269b36a58796,0.43435385257270975,-0.4041135519855234,0.28429891574796534,511,2849
repro,1,orig,13,1013,511,2849,164,d6b66a623fd5a589,0.43022839962035886,-0.41391976687247106,0.2823681719265014,511,2849
repro,1,orig,14,1014,511,2849,164,eb9dac0b5e4a892c,0.4280572948765542,-0.4024490228524658,0.286312228765905,511,2849
repro,1,orig,15,1015,511,2849,164,7e3b2efaecdda140,0.42934054607984806,-0.3971326426612125,0.28174069934060914,511,2849
repro,1,orig,16,1016,511,2849,164,55c2ec4c8dd32d01,0.4455403078679383,-0.3972558295350288,0.28195523671426037,511,2849
repro,1,orig,17,1017,511,2849,164,76da3b91cb7413ef,0.4773025096546033,-0.3941764397282435,0.286435699683482,511,2849
repro,1,orig,18,1018,511,2849,164,68aba44775a09abe,0.4405090288032578,-0.4072840273516585,0.28863366538105917,511,2849
repro,1,orig,19,1019,511,2849,164,dcd112fc56853ae5,0.4409611700199756,-0.4065669045998091,0.28627025678204554,511,2849
repro,1,orig,20,1020,511,2849,164,5d2c1e4deaa1b216,0.41686468002561305,-0.4173386454742965,0.2806269081447244,511,2849
repro,1,orig,21,1021,511,2849,164,4e37f9a6f3515a9d,0.44269434221712345,-0.4108576505006072,0.28174596434494154,511,2849
repro,1,orig,22,1022,511,2849,164,011c5b56133372da,0.451906648379812,-0.40660866141844115,0.2863843671203444,511,2849
repro,1,orig,23,1023,511,2849,164,7c5a5e645e0764f7,0.47255037825682655,-0.40239442155749316,0.2904388328505782,511,2849
repro,1,orig,24,1024,511,2849,164,14139dab3c146ff0,0.4611480420756613,-0.4102454993872082,0.2847041109235105,511,2849
repro,1,orig,25,1025,511,2849,164,a1c4f02f44122391,0.46079269024233316,-0.3971396387758891,0.28914160790128,511,2849
repro,1,orig,26,1026,511,2849,164,23bde1d7916e366d,0.44815174902241517,-0.39479924492811036,0.28443015537203803,511,2849
repro,1,orig,27,1027,511,2849,164,55543ed9c451eafa,0.3997195898164734,-0.39420202465817883,0.27967378945764343,511,2849
repro,1,orig,28,1028,511,2849,164,be5a1c84327c80b3,0.4470654840027062,-0.4031835642596751,0.28233001338234354,511,2849
repro,1,orig,29,1029,511,2849,164,b6503a40ba131e07,0.47165731923749576,-0.4113480542188996,0.28769840843758676,511,2849
repro,1,orig,30,1030,511,2849,164,e08bbb45b0bb7080,0.4566102123562792,-0.4123564468888834,0.28220735696195254,511,2849
repro,1,orig,31,1031,511,2849,164,c0448697e1893b0b,0.4458146066333655,-0.4027405794437311,0.2846487615697864,511,2849
