編號,層,族,格,原交件_年化,原交件_回落,原交件_錨年化,原交件_錨回落,原交件_標籤219,重現_年化,重現_回落,重現_年化波動,重現_逐位元_對出處檔,重現_出處檔,重現_差_對219_年化,重現_差_對219_回落,只換窗_年化,只換窗_回落,只換窗_比值,只換窗_年化波動,只換窗_標籤,只換資料_年化,只換資料_回落,只換資料_年化波動,主窗_年化,主窗_回落,主窗_比值,主窗_年化波動,主窗_年化÷波動,主窗_標籤,主窗_深淺註,主窗_條件一,主窗_條件二,主窗_年化差pp,主窗_回落差pp（負＝比0050深）,主窗_first,種子數,標籤變動,變動來源,錨_年化,錨_回落,錨_比值,錨_年化波動,錨_年化÷波動,錨_逐位元
1,主,PREREG10,AND｜regime=True｜N10｜H120,0.4446171561904553,-0.4031964232308375,0.248,-0.34,合格,0.4446171561904553,-0.40319642323083754,0.28480474943863343,True,results13/portfolio.csv,0.0,-5.551115123125783e-17,0.3895316515920184,-0.4095924165239526,0.9510226163311765,0.28164703707497196,合格,0.4700622912842368,-0.3896357471688337,0.28962206934957324,0.405277675071815,-0.3908384709555651,1.0369441730773006,0.28643436119547494,1.4149059260220402,合格,回落比 0050 深 5.13 點、報酬多 16.51 點,True,True,16.507557620810886,-5.126841819446392,526～526,200,無,—,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
2,主,P3乙,N≤8｜N8｜d=1.0｜relvol,0.4094689846338495,-0.4049919738089181,0.241,-0.34,合格,0.4094689846338495,-0.40499197380891816,0.3283433734004869,True,resultsp3/summary.csv（B_*_med）,0.0,-5.551115123125783e-17,0.2944869016603251,-0.4121838677462978,0.7144551854260923,0.3204358806567907,合格,0.365395518669398,-0.47794284636888146,0.326046913902131,0.22603905606589425,-0.4779428625167318,0.4729415873596838,0.3213992068854531,0.7032968695111147,不合格,,False,False,-1.4163042797811887,-13.83728097556306,526～526,200,合格 → 不合格,換資料,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
3,主,P1,AND｜N8｜d=1.0｜relvol,0.4044783372406753,-0.4016933288521341,0.241,-0.34,合格,0.4044783372406753,-0.4016933288521341,0.32006471962049665,True,resultsp1/portfolio.csv,0.0,0.0,0.2976075735851518,-0.3814804062864736,0.7801385567406119,0.3110216107691548,合格,0.35436651857729395,-0.44943463878380907,0.3161693860318009,0.2306575010644485,-0.4494346387838092,0.5132170090151892,0.31112251929018286,0.7413719250881838,不合格,,False,False,-0.9544597799257648,-10.9864586022708,526～526,200,合格 → 不合格,換資料,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
4,主,PREREG10,AND｜regime=True｜N10｜LD,0.2566186952247521,-0.3070879539491644,0.248,-0.34,合格,0.2566186952247521,-0.30708795394916444,0.2482184433000149,True,results13/portfolio.csv,0.0,-5.551115123125783e-17,0.20461335817169257,-0.3065359050835666,0.66750209283285,0.24450618687000664,不合格,0.28894264784463064,-0.31834039834932737,0.24999664582228948,0.23252129594286408,-0.3173951289783119,0.7325925154911644,0.24623927513337063,0.9442900439701324,不合格,,False,True,-0.7680802920842056,2.217492378278929,526～526,200,合格 → 不合格,換窗（含改用主窗 0050 錨）,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
5,主,P17,R_eq（判定格）,0.26793188272140567,-0.3270196253806906,0.24020209886370614,-0.3395700527611012,合格,0.26793188272140567,-0.3270196253806906,0.1996319433700121,True,resultsN219/table219.csv（P17 交件值）,0.0,0.0,0.26793188272140567,-0.3270196253806906,0.8193143833783687,0.1996319433700121,合格,,,,0.2678297058591341,-0.3270196253806906,0.8190019346617127,0.19967603080062352,1.341321263174357,合格,,True,True,2.762760699542799,1.2550427380410567,523～523,200,無,—,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
6,主,P1,AND｜N8｜d=2.0｜relvol,0.3458680410720658,-0.4325929341181826,0.241,-0.34,合格,0.3458680410720658,-0.43259293411818267,0.3190260024027463,True,resultsp1/portfolio.csv,0.0,-5.551115123125783e-17,0.23341968283985315,-0.4325725368918804,0.539608188067185,0.3088184093258565,不合格,0.2835987188737239,-0.44724125685588273,0.31621455146280203,0.17765829306621805,-0.44724125685588284,0.39723145023596496,0.3091204603712637,0.5747218830252928,不合格,,False,False,-6.254380579748808,-10.767120409478165,526～526,200,合格 → 不合格,換窗（含改用主窗 0050 錨）,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
7,主,PREREG10,AND｜regime=True｜N10｜H60,0.3193626811863502,-0.4135719271386452,0.248,-0.34,合格,0.31936268118635025,-0.4135719271386452,0.28253618680950265,True,results13/portfolio.csv,5.551115123125783e-17,0.0,0.23004517312821493,-0.4151037122328659,0.5541872220096254,0.2776934205564205,不合格,0.2620654817940633,-0.3445070927599406,0.27805959720525697,0.18554633798515452,-0.40876054752307234,0.4539242818552136,0.27511457847003806,0.67443295450576,不合格,,False,False,-5.465576087855162,-6.919049476197115,526～526,200,合格 → 不合格,換窗（含改用主窗 0050 錨）,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
8,主,P14,w=0.50（＝各半混 0050）,0.2625773543923834,-0.3415766621879117,0.24020209886370614,-0.3395700527611012,合格,0.2625773543923834,-0.3415766621879117,0.21520037848988244,True,resultsp14/w_summary.csv,0.0,0.0,0.2625773543923834,-0.3415766621879117,0.7687215886193407,0.21520037848988244,合格,,,,0.2622450097089257,-0.3415766621879117,0.7677486161646979,0.21520037833718342,1.2186084975093823,合格,回落比 0050 深 0.20 點、報酬多 2.20 點,True,True,2.2042910845219588,-0.2006609426810524,523～523,200,無,—,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
9,主,P1,AND｜N10｜d=inf｜relvol,0.3341523859890154,-0.4446988844436075,0.241,-0.34,合格,0.3341523859890154,-0.4446988844436075,0.30483124006946044,True,resultsp1/portfolio.csv,0.0,0.0,0.25655929842587955,-0.44469888444360745,0.5769281358708108,0.2990335204204429,另列,0.2926493103515868,-0.4340690765797761,0.30277151585670437,0.21145291793471754,-0.4340690765797761,0.4871411702507108,0.2995191863390433,0.7059745337828263,不合格,,False,False,-2.8749180928988594,-9.449902381867492,526～526,200,合格 → 不合格,換窗（含改用主窗 0050 錨）、換資料,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
10,主,P3乙,N≤8｜N8｜d=2.0｜relvol,0.3470918585888016,-0.4623739670310608,0.241,-0.34,合格,0.34709185858880165,-0.4623739670310608,0.3274538115434891,True,resultsp3/summary.csv（B_*_med）,5.551115123125783e-17,0.0,0.2283082217762631,-0.4623739930739903,0.4937739258611991,0.3184593049934698,不合格,0.29668662912968924,-0.4475328767733335,0.3260986030380142,0.17834185057327967,-0.4475328767733335,0.3984999981657354,0.31945601872462054,0.5582673047929487,不合格,,False,False,-6.186024829042647,-10.796282401223229,526～526,200,合格 → 不合格,換窗（含改用主窗 0050 錨）,0.24020209886370614,-0.3395700527611012,0.7073712681980713,0.20307889107243096,1.182801903217182,True
