key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2018-07-19_0050,2018-07-19,0050,元大台灣50,twse,83.10,83.80,83.05,83.30,13217661,1104868177,0.25,,,3471,
2018-07-19_0051,2018-07-19,0051,元大中型100,twse,33.67,33.75,33.67,33.67,9020,303943,0.0,,,6,
2018-07-19_0052,2018-07-19,0052,富邦科技,twse,51.90,52.20,51.90,52.00,102348,5331041,0.5,,,12,
2018-07-19_0053,2018-07-19,0053,元大電子,twse,36.43,36.43,36.43,36.43,1000,36430,0.07,up,,1,
2018-07-19_0054,2018-07-19,0054,元大台商50,twse,24.58,24.58,24.58,24.58,20000,491600,0.08,up,,1,
2018-07-19_0055,2018-07-19,0055,元大MSCI金融,twse,17.49,17.49,17.44,17.44,16000,279130,0.01,,,9,
2018-07-19_0056,2018-07-19,0056,元大高股息,twse,26.21,26.35,26.13,26.13,3176188,83391911,-0.08,,,1070,
2018-07-19_0057,2018-07-19,0057,富邦摩台,twse,50.55,50.85,50.55,50.65,12000,607900,0.1,,,4,
2018-07-19_0058,2018-07-19,0058,富邦發達,twse,48.90,49.38,48.90,49.32,15000,738790,0.61,,,7,
2018-07-19_0059,2018-07-19,0059,富邦金融,twse,43.24,43.32,43.24,43.32,2000,86560,0.23,,,2,
2018-07-19_0061,2018-07-19,0061,元大寶滬深,twse,16.77,16.77,16.53,16.54,2650152,44146013,-0.27,,,425,
2018-07-19_006201,2018-07-19,006201,元大富櫃50,tpex,14.05,14.16,14.05,14.10,8000,112950,0.05,,15446000,5,
2018-07-19_006203,2018-07-19,006203,元大MSCI台灣,twse,38.61,38.64,38.61,38.64,9000,347720,0.18,,,5,
2018-07-19_006204,2018-07-19,006204,永豐臺灣加權,twse,55.25,55.35,55.25,55.35,2000,110600,0.3,,,2,
2018-07-19_006205,2018-07-19,006205,富邦上証,twse,28.16,28.30,27.92,27.98,2803408,78589913,-0.18,,,394,
2018-07-19_006206,2018-07-19,006206,元大上證50,twse,28.22,28.25,27.90,27.94,1330452,37282916,-0.28,,,265,
2018-07-19_006207,2018-07-19,006207,復華滬深,twse,21.31,21.31,21.03,21.08,464000,9825510,-0.15,,,94,
2018-07-19_006208,2018-07-19,006208,富邦台50,twse,48.08,48.10,48.08,48.10,48036,2309422,-0.07,,,13,
2018-07-19_00625K,2018-07-19,00625K,富邦上証+R,twse,6.15,6.15,6.11,6.11,55000,338050,-0.11,,,3,
2018-07-19_00631L,2018-07-19,00631L,元大台灣50正2,twse,38.05,38.32,37.84,37.95,1482000,56492150,0.11,,,536,
2018-07-19_00632R,2018-07-19,00632R,元大台灣50反1,twse,12.34,12.39,12.29,12.36,46191446,569554478,-0.01,,,5589,
2018-07-19_00633L,2018-07-19,00633L,富邦上証正2,twse,35.46,35.99,35.27,35.30,19962300,709914820,-0.18,,,4064,
2018-07-19_00634R,2018-07-19,00634R,富邦上証反1,twse,7.82,7.89,7.79,7.88,738000,5799790,0.06,,,106,
2018-07-19_00635U,2018-07-19,00635U,期元大S&P黃金,twse,18.66,18.69,18.63,18.64,1220145,22750753,-0.05,,,224,
2018-07-19_00636,2018-07-19,00636,國泰中國A50,twse,18.35,18.43,18.22,18.25,2111405,38618570,-0.08,,,546,
2018-07-19_00636K,2018-07-19,00636K,國泰中國A50+U,twse,5.98,5.98,5.98,5.98,100,598,-0.06,down,,1,
2018-07-19_00637L,2018-07-19,00637L,元大滬深300正2,twse,13.42,13.63,13.37,13.37,73514418,990286170,-0.08,,,7242,
2018-07-19_00638R,2018-07-19,00638R,元大滬深300反1,twse,15.86,15.94,15.79,15.89,250000,3972940,0.06,,,123,
2018-07-19_00639,2018-07-19,00639,富邦深100,twse,9.82,9.91,9.70,9.73,2367000,23085430,-0.11,,,338,
2018-07-19_00640L,2018-07-19,00640L,富邦日本正2,twse,23.75,23.88,23.67,23.70,769000,18314120,0.0,,,86,
2018-07-19_00641R,2018-07-19,00641R,富邦日本反1,twse,14.43,14.48,14.39,14.48,606000,8743400,0.04,,,67,
2018-07-19_00642U,2018-07-19,00642U,期元大S&P石油,twse,21.50,21.51,21.46,21.48,490373,10537064,0.25,,,184,
2018-07-19_00643,2018-07-19,00643,群益深証中小,twse,13.41,13.49,13.33,13.36,177178,2375665,-0.11,,,77,
2018-07-19_00643K,2018-07-19,00643K,群益深証中小+R,twse,2.93,2.93,2.92,2.92,21000,61330,0.0,,,2,
2018-07-19_00645,2018-07-19,00645,富邦日本,twse,22.51,22.55,22.47,22.47,75075,1691100,-0.03,,,11,
2018-07-19_00646,2018-07-19,00646,元大S&P500,twse,25.90,25.97,25.85,25.96,142000,3676330,0.08,,,32,
2018-07-19_00647L,2018-07-19,00647L,元大S&P500正2,twse,33.61,33.76,33.61,33.73,864064,29152773,0.21,,,36,
2018-07-19_00648R,2018-07-19,00648R,元大S&P500反1,twse,13.15,13.16,13.12,13.15,173000,2272940,0.0,,,36,
2018-07-19_00649,2018-07-19,00649,FH香港,twse,20.93,20.93,20.90,20.90,18000,376680,-0.02,,,5,
2018-07-19_00650L,2018-07-19,00650L,復華香港正2,twse,32.00,32.22,31.67,31.67,94000,3007960,-0.4,,,30,
2018-07-19_00651R,2018-07-19,00651R,復華香港反1,twse,8.65,8.71,8.63,8.70,168000,1458010,0.06,,,55,
2018-07-19_00652,2018-07-19,00652,富邦印度,twse,23.64,23.64,23.45,23.55,57001,1345703,-0.15,,,16,
2018-07-19_00653L,2018-07-19,00653L,富邦印度正2,twse,30.72,30.72,30.37,30.52,86000,2634200,-0.26,,,30,
2018-07-19_00654R,2018-07-19,00654R,富邦印度反1,twse,14.26,14.36,14.26,14.34,114000,1629600,0.11,,,28,
2018-07-19_00655L,2018-07-19,00655L,國泰中國A50正2,twse,25.70,26.11,25.60,25.66,8379100,216096168,-0.12,,,1532,
2018-07-19_00656R,2018-07-19,00656R,國泰中國A50反1,twse,14.68,14.70,14.56,14.68,180000,2639360,0.04,,,39,
2018-07-19_00657,2018-07-19,00657,國泰日經225,twse,27.96,27.98,27.84,27.84,125000,3493370,-0.06,,,10,
2018-07-19_00657K,2018-07-19,00657K,國泰日經225+U,twse,9.16,9.16,9.16,9.16,100,916,-0.03,down,,1,
2018-07-19_00658L,2018-07-19,00658L,國泰日本正2,twse,37.04,37.22,36.79,36.79,43000,1592500,-0.17,,,11,
2018-07-19_00659R,2018-07-19,00659R,國泰日本反1,twse,12.39,12.45,12.37,12.43,88000,1091700,0.03,,,17,
2018-07-19_00660,2018-07-19,00660,元大歐洲50,twse,24.93,25.03,24.93,25.03,5000,124780,0.18,,,4,
2018-07-19_00661,2018-07-19,00661,元大日經225,twse,28.75,28.75,28.75,28.75,1000,28750,-0.01,down,,1,
2018-07-19_00662,2018-07-19,00662,富邦NASDAQ,twse,31.02,31.07,30.95,30.95,89014,2760327,-0.13,,,15,
