key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2015-04-14_006201,2015-04-14,006201,寶富櫃,tpex,12.88,13.00,12.88,12.92,47000,607860,0.06,,31446000,29,
2015-04-14_1256,2015-04-14,1256,F-鮮活,tpex,214.50,218.00,214.50,216.50,32000,6941500,,,24696000,29,
2015-04-14_1258,2015-04-14,1258,F-其祥,tpex,27.50,27.70,27.25,27.70,38000,1045950,0.50,,34000000,13,
2015-04-14_1259,2015-04-14,1259,安心,tpex,67.80,68.40,67.80,68.40,4000,272300,0.70,,32389500,4,
2015-04-14_1264,2015-04-14,1264,德麥,tpex,214.00,214.50,208.50,213.50,207000,43808500,1.50,,30632700,173,
2015-04-14_1333,2015-04-14,1333,恩得利,tpex,6.74,7.22,6.73,7.22,1020000,7171340,0.47,,102525625,279,
2015-04-14_1336,2015-04-14,1336,台翰,tpex,13.00,13.15,13.00,13.15,107000,1394200,0.15,,62753230,29,
2015-04-14_1565,2015-04-14,1565,精華,tpex,545.00,558.00,545.00,550.00,502000,276179000,5.00,,50416516,452,
2015-04-14_1566,2015-04-14,1566,捷邦,tpex,25.50,27.25,25.50,27.25,2674000,72033150,1.75,,66867028,888,
2015-04-14_1569,2015-04-14,1569,濱川,tpex,20.00,20.20,19.80,20.00,188000,3737600,0.00,,83784745,94,
2015-04-14_1570,2015-04-14,1570,力肯,tpex,16.55,17.40,16.45,17.00,535000,9047800,0.55,,51500839,239,
2015-04-14_1580,2015-04-14,1580,新麥,tpex,188.00,191.00,187.00,191.00,28000,5287000,3.00,,47580033,21,
2015-04-14_1584,2015-04-14,1584,精剛,tpex,15.10,15.10,15.10,15.10,374000,5647400,0.95,up,103470533,128,
2015-04-14_1586,2015-04-14,1586,和勤,tpex,30.50,31.50,30.50,30.85,167000,5189000,,,46643273,86,
2015-04-14_1591,2015-04-14,1591,F-駿吉,tpex,37.40,37.40,36.85,36.90,12000,444600,,,26919487,9,
2015-04-14_1593,2015-04-14,1593,祺驊,tpex,48.50,51.50,48.30,51.50,1085000,55470550,3.30,,30300560,484,
2015-04-14_1595,2015-04-14,1595,川寶,tpex,82.30,83.30,82.00,83.30,63000,5219300,1.20,,38687448,54,
2015-04-14_1597,2015-04-14,1597,直得,tpex,35.70,36.00,35.55,36.00,52000,1867550,0.25,,59233799,25,
2015-04-14_1599,2015-04-14,1599,宏佳騰,tpex,35.00,35.50,34.95,35.05,126000,4413750,0.05,,44980521,92,
2015-04-14_1742,2015-04-14,1742,台蠟,tpex,27.60,28.00,27.60,28.00,46000,1280400,0.10,,64690524,24,
2015-04-14_1752,2015-04-14,1752,南光,tpex,44.60,45.45,44.60,44.70,1231000,55466150,0.30,,89164076,764,
2015-04-14_1777,2015-04-14,1777,生泰,tpex,78.10,82.40,78.10,81.50,1038000,83986600,3.30,,30059550,699,
2015-04-14_1781,2015-04-14,1781,合世,tpex,34.40,34.90,34.25,34.25,273000,9408300,,,47407605,188,
2015-04-14_1784,2015-04-14,1784,訊聯,tpex,43.80,45.50,43.80,44.40,855000,38486500,0.65,,49688924,621,
2015-04-14_1785,2015-04-14,1785,光洋科,tpex,26.50,27.15,26.50,27.05,1187000,31965350,0.40,,408564346,467,
2015-04-14_1787,2015-04-14,1787,福盈科,tpex,25.90,25.90,25.55,25.80,435000,11169250,,,72004504,214,
