key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2026-03-18_0050,2026-03-18,0050,元大台灣50,twse,77.75,78.05,77.45,77.80,78000193,6064253100,1.15,,,65062,
2026-03-18_0051,2026-03-18,0051,元大中型100,twse,113.65,113.90,112.70,113.75,89150,10109879,2.3,,,1050,
2026-03-18_0052,2026-03-18,0052,富邦科技,twse,46.42,46.63,46.21,46.45,35483319,1647002749,0.77,,,18887,
2026-03-18_0053,2026-03-18,0053,元大電子,twse,174.00,175.05,173.55,173.85,65150,11348819,2.45,,,256,
2026-03-18_0055,2026-03-18,0055,元大MSCI金融,twse,32.77,32.96,32.65,32.71,107377,3517825,0.04,,,402,
2026-03-18_0056,2026-03-18,0056,元大高股息,twse,39.42,39.58,39.35,39.42,32295100,1273748334,0.29,,,18582,
2026-03-18_0057,2026-03-18,0057,富邦摩台,twse,230.00,230.85,229.60,230.25,24414,5614791,2.55,,,129,
2026-03-18_0061,2026-03-18,0061,元大寶滬深,twse,23.85,23.94,23.54,23.64,453966,10731727,-0.21,,,193,
2026-03-18_006201,2026-03-18,006201,元大富櫃50,tpex,33.00,34.05,33.00,34.00,358000,12073590,1.29,,16446000,132,
2026-03-18_006203,2026-03-18,006203,元大MSCI台灣,twse,141.70,141.80,140.65,141.80,11141,1572347,2.45,,,106,
2026-03-18_006204,2026-03-18,006204,永豐臺灣加權,twse,175.65,175.65,175.60,175.65,11431,2006820,2.5,,,90,
2026-03-18_006205,2026-03-18,006205,富邦上証,twse,40.96,40.96,40.27,40.36,1786728,72347491,-0.7,,,850,
2026-03-18_006206,2026-03-18,006206,元大上證50,twse,37.30,37.30,37.08,37.14,31854,1184522,-0.41,,,143,
2026-03-18_006207,2026-03-18,006207,復華滬深,twse,31.59,31.66,31.53,31.59,121207,3834363,-0.5,,,68,
2026-03-18_006208,2026-03-18,006208,富邦台50,twse,180.75,181.15,179.75,180.50,2987437,539125250,2.75,,,7062,
2026-03-18_00631L,2026-03-18,00631L,元大台灣50正2,twse,494.30,497.20,488.00,496.05,6630713,3274587269,16.35,,,13489,
2026-03-18_00632R,2026-03-18,00632R,元大台灣50反1,twse,13.78,13.88,13.74,13.75,88053241,1213590008,-0.24,,,11117,
2026-03-18_00633L,2026-03-18,00633L,富邦上証正2,twse,48.20,48.20,46.92,47.09,2234477,105884003,-1.2,,,708,
2026-03-18_00634R,2026-03-18,00634R,富邦上証反1,twse,3.23,3.27,3.23,3.27,521896,1694691,0.04,,,24,
2026-03-18_00635U,2026-03-18,00635U,期元大S&P黃金,twse,53.00,53.15,52.75,52.80,6934830,366899814,-0.65,,,7287,
2026-03-18_00636,2026-03-18,00636,國泰中國A50,twse,27.35,27.35,26.90,26.99,775095,20966663,-0.36,,,603,
2026-03-18_00636K,2026-03-18,00636K,國泰中國A50+U,twse,8.55,8.55,8.55,8.55,200,1710,-0.09,down,,2,
2026-03-18_00637L,2026-03-18,00637L,元大滬深300正2,twse,19.85,19.86,19.37,19.45,37427546,732685705,-0.51,,,4635,
2026-03-18_00638R,2026-03-18,00638R,元大滬深300反1,twse,6.98,7.05,6.98,7.05,107060,752320,0.1,,,21,
2026-03-18_00639,2026-03-18,00639,富邦深100,twse,15.90,15.90,15.72,15.75,650967,10280699,-0.21,,,263,
2026-03-18_00640L,2026-03-18,00640L,富邦日本正2,twse,88.45,90.25,88.45,90.05,597939,53544419,3.35,,,476,
2026-03-18_00641R,2026-03-18,00641R,富邦日本反1,twse,4.20,4.20,4.16,4.17,960401,4015866,-0.09,,,129,
2026-03-18_00642U,2026-03-18,00642U,期元大S&P石油,twse,25.55,25.60,24.97,24.98,30138023,762026027,-0.67,,,9359,
2026-03-18_00643,2026-03-18,00643,群益深証中小,twse,18.47,18.47,18.19,18.28,3076605,56225802,-0.23,,,222,
2026-03-18_00645,2026-03-18,00645,富邦日本,twse,51.35,51.95,51.35,51.80,267490,13841584,1.0,,,332,
2026-03-18_00646,2026-03-18,00646,元大S&P500,twse,67.50,67.55,67.10,67.55,2501911,168433329,0.45,,,2940,
2026-03-18_00647L,2026-03-18,00647L,元大S&P500正2,twse,111.05,111.85,111.05,111.80,42156,4698143,1.65,,,101,
2026-03-18_00648R,2026-03-18,00648R,元大S&P500反1,twse,4.46,4.46,4.45,4.45,282306,1257908,-0.04,,,61,
