key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2020-05-20_0050,2020-05-20,0050,元大台灣50,twse,84.00,84.20,83.50,83.80,9894141,830898729,-0.1,,,8013,
2020-05-20_0051,2020-05-20,0051,元大中型100,twse,33.73,34.06,33.73,34.04,45000,1526740,0.37,,,17,
2020-05-20_0052,2020-05-20,0052,富邦科技,twse,63.65,63.65,63.05,63.25,122137,7728263,-0.3,,,23,
2020-05-20_0053,2020-05-20,0053,元大電子,twse,38.52,38.52,38.43,38.45,17000,654000,0.15,,,12,
2020-05-20_0054,2020-05-20,0054,元大台商50,twse,22.78,22.82,22.75,22.75,131000,2980480,0.06,,,8,
2020-05-20_0055,2020-05-20,0055,元大MSCI金融,twse,17.10,17.12,17.04,17.05,24000,409910,-0.05,,,21,
2020-05-20_0056,2020-05-20,0056,元大高股息,twse,27.43,27.54,27.42,27.48,11379613,312825020,0.05,,,6080,
2020-05-20_0057,2020-05-20,0057,富邦摩台,twse,55.40,55.40,55.25,55.25,50000,2766800,0.0,,,9,
2020-05-20_0061,2020-05-20,0061,元大寶滬深,twse,17.52,17.59,17.43,17.54,667300,11695515,0.02,,,141,
2020-05-20_006201,2020-05-20,006201,元大富櫃50,tpex,13.20,13.21,13.17,13.19,60000,791080,-0.01,,21446000,18,
2020-05-20_006203,2020-05-20,006203,元大MSCI台灣,twse,39.45,39.46,39.26,39.26,4000,157470,-0.07,,,4,
2020-05-20_006204,2020-05-20,006204,永豐臺灣加權,twse,54.25,54.25,54.25,54.25,25000,1356250,0.25,up,,3,
2020-05-20_006205,2020-05-20,006205,富邦上証,twse,29.20,29.24,29.10,29.24,3130993,91360189,0.07,,,772,
2020-05-20_006206,2020-05-20,006206,元大上證50,twse,30.46,30.55,30.36,30.55,530182,16156709,0.09,,,217,
2020-05-20_006207,2020-05-20,006207,復華滬深,twse,22.76,22.91,22.76,22.90,481001,10989412,0.07,,,314,
2020-05-20_006208,2020-05-20,006208,富邦台50,twse,48.03,48.14,47.84,47.95,716166,34365238,0.0,,,270,
2020-05-20_00625K,2020-05-20,00625K,富邦上証+R,twse,7.01,7.01,7.01,7.01,50000,350500,0.01,up,,2,
2020-05-20_00631L,2020-05-20,00631L,元大台灣50正2,twse,44.20,44.39,43.72,44.00,7080000,312265740,0.18,,,1972,
