key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2021-05-03_0050,2021-05-03,0050,元大台灣50,twse,140.40,140.40,138.10,138.25,7325314,1015536773,-2.35,,,13729,
2021-05-03_0051,2021-05-03,0051,元大中型100,twse,55.95,56.10,55.00,55.00,187632,10432377,-1.2,,,131,
2021-05-03_0052,2021-05-03,0052,富邦科技,twse,128.75,128.75,126.00,126.00,1157890,146626221,-3.55,,,1160,
2021-05-03_0053,2021-05-03,0053,元大電子,twse,69.00,69.00,67.05,67.25,25340,1723866,-1.35,,,30,
2021-05-03_0054,2021-05-03,0054,元大台商50,twse,32.32,32.32,32.00,32.00,8047,258546,-0.55,,,10,
2021-05-03_0055,2021-05-03,0055,元大MSCI金融,twse,21.12,21.36,21.06,21.06,300876,6352532,0.01,,,134,
2021-05-03_0056,2021-05-03,0056,元大高股息,twse,36.12,36.17,35.90,35.91,15937856,573999994,-0.21,,,10465,
2021-05-03_0057,2021-05-03,0057,富邦摩台,twse,94.45,94.45,94.05,94.05,22032,2076527,-1.95,,,5,
2021-05-03_0061,2021-05-03,0061,元大寶滬深,twse,23.45,23.50,23.33,23.33,218450,5117089,-0.22,,,130,
2021-05-03_006201,2021-05-03,006201,元大富櫃50,tpex,20.55,20.55,19.90,19.93,66000,1323840,-0.70,,14446000,52,
2021-05-03_006203,2021-05-03,006203,元大MSCI台灣,twse,65.65,65.65,65.30,65.30,10698,702123,-1.9,,,14,
2021-05-03_006204,2021-05-03,006204,永豐臺灣加權,twse,88.05,88.05,88.05,88.05,20143,1773588,-1.15,down,,6,
2021-05-03_006205,2021-05-03,006205,富邦上証,twse,37.78,37.78,37.33,37.35,967635,36243928,-0.54,,,258,
2021-05-03_006206,2021-05-03,006206,元大上證50,twse,38.05,38.05,37.59,37.64,110519,4177512,-0.45,,,63,
2021-05-03_006207,2021-05-03,006207,復華滬深,twse,30.32,30.57,30.23,30.23,152100,4612178,-0.45,,,17,
2021-05-03_006208,2021-05-03,006208,富邦台50,twse,80.65,80.65,79.30,79.35,2496976,198816922,-1.4,,,4190,
2021-05-03_00631L,2021-05-03,00631L,元大台灣50正2,twse,129.70,129.80,125.50,125.50,6092640,772125576,-4.95,,,1746,
2021-05-03_00632R,2021-05-03,00632R,元大台灣50反1,twse,5.70,5.80,5.70,5.79,280369907,1616240367,0.1,,,10962,
2021-05-03_00633L,2021-05-03,00633L,富邦上証正2,twse,66.95,67.15,65.00,65.00,3594422,235836486,-2.35,,,1170,
2021-05-03_00634R,2021-05-03,00634R,富邦上証反1,twse,3.91,3.96,3.90,3.96,791000,3109260,0.07,,,65,
2021-05-03_00635U,2021-05-03,00635U,期元大S&P黃金,twse,23.80,23.88,23.80,23.84,808686,19268109,-0.16,,,241,
2021-05-03_00636,2021-05-03,00636,國泰中國A50,twse,27.30,27.30,26.82,26.82,1174854,31662416,-0.49,,,388,
2021-05-03_00636K,2021-05-03,00636K,國泰中國A50+U,twse,9.60,9.60,9.60,9.60,200,1920,-0.15,down,,2,
2021-05-03_00637L,2021-05-03,00637L,元大滬深300正2,twse,26.50,26.53,25.70,25.70,34693568,901018351,-0.93,,,6440,
2021-05-03_00638R,2021-05-03,00638R,元大滬深300反1,twse,7.84,7.96,7.83,7.95,602000,4757950,0.17,,,133,
2021-05-03_00639,2021-05-03,00639,富邦深100,twse,16.89,16.92,16.70,16.70,1697185,28468678,-0.2,,,250,
