key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2023-10-27_0050,2023-10-27,0050,元大台灣50,twse,122.15,122.75,122.10,122.30,4413646,540170286,0.55,,,8453,
2023-10-27_0051,2023-10-27,0051,元大中型100,twse,67.10,67.35,67.10,67.30,54209,3643849,0.2,,,208,
2023-10-27_0052,2023-10-27,0052,富邦科技,twse,113.60,114.00,113.60,113.90,234212,26649424,0.65,,,353,
2023-10-27_0053,2023-10-27,0053,元大電子,twse,65.65,65.65,65.65,65.65,3961,259405,0.25,up,,820,
2023-10-27_0055,2023-10-27,0055,元大MSCI金融,twse,23.00,23.17,23.00,23.16,53685,1240734,0.2,,,318,
2023-10-27_0056,2023-10-27,0056,元大高股息,twse,33.14,33.32,33.07,33.13,18029839,598009614,0.03,,,13179,
2023-10-27_0057,2023-10-27,0057,富邦摩台,twse,89.60,89.60,89.60,89.60,4993,446664,0.3,up,,971,
2023-10-27_0061,2023-10-27,0061,元大寶滬深,twse,16.95,17.12,16.95,17.12,243234,4151988,0.21,,,1043,
2023-10-27_006201,2023-10-27,006201,元大富櫃50,tpex,18.52,18.55,18.42,18.47,12000,222030,0.10,,17946000,11,
2023-10-27_006203,2023-10-27,006203,元大MSCI台灣,twse,59.50,59.50,59.35,59.35,2670,158009,0.2,,,644,
2023-10-27_006204,2023-10-27,006204,永豐臺灣加權,twse,80.55,80.55,80.55,80.55,13653,1098828,0.2,up,,797,
2023-10-27_006205,2023-10-27,006205,富邦上証,twse,29.15,29.40,29.11,29.40,658532,19251965,0.36,,,153,
2023-10-27_006206,2023-10-27,006206,元大上證50,twse,28.01,28.20,28.01,28.20,223574,6290571,0.27,,,527,
2023-10-27_006207,2023-10-27,006207,復華滬深,twse,22.32,22.56,22.31,22.56,337366,7534543,0.39,,,1135,
2023-10-27_006208,2023-10-27,006208,富邦台50,twse,70.60,70.95,70.60,70.65,2995809,211854043,0.1,,,4810,
2023-10-27_00631L,2023-10-27,00631L,元大台灣50正2,twse,124.20,125.10,123.75,124.10,3625377,450855650,1.35,,,2499,
2023-10-27_00632R,2023-10-27,00632R,元大台灣50反1,twse,4.98,4.99,4.95,4.97,79610013,395629938,-0.03,,,2967,
