key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2018-11-09_0050,2018-11-09,0050,元大台灣50,twse,78.50,78.50,77.65,77.80,36848011,2867181167,-1.05,,,2930,
2018-11-09_0051,2018-11-09,0051,元大中型100,twse,29.71,29.71,29.41,29.42,5000,147370,-0.29,,,5,
2018-11-09_0052,2018-11-09,0052,富邦科技,twse,49.40,49.40,49.04,49.04,101000,4989040,-1.21,,,4,
2018-11-09_0053,2018-11-09,0053,元大電子,twse,32.10,32.10,31.84,31.91,24000,765850,-0.5,,,5,
2018-11-09_0054,2018-11-09,0054,元大台商50,twse,20.58,20.58,20.58,20.58,1000,20580,-0.32,down,,1,
2018-11-09_0055,2018-11-09,0055,元大MSCI金融,twse,17.77,17.78,17.68,17.75,45000,798260,-0.01,,,23,
2018-11-09_0056,2018-11-09,0056,元大高股息,twse,24.37,24.37,24.13,24.21,3914628,94706877,-0.16,,,1832,
2018-11-09_0057,2018-11-09,0057,富邦摩台,twse,47.42,47.42,46.81,47.02,22000,1031200,-0.7,,,6,
2018-11-09_0058,2018-11-09,0058,富邦發達,twse,42.17,42.17,41.81,42.05,21000,878790,-0.56,,,5,
2018-11-09_0059,2018-11-09,0059,富邦金融,twse,42.51,43.05,42.51,43.05,2000,85560,0.47,,,2,
2018-11-09_0061,2018-11-09,0061,元大寶滬深,twse,15.20,15.20,15.03,15.03,823698,12425409,-0.23,,,334,
2018-11-09_006201,2018-11-09,006201,元大富櫃50,tpex,10.50,10.50,10.33,10.41,63000,655770,-0.09,,22946000,31,
2018-11-09_006203,2018-11-09,006203,元大MSCI台灣,twse,35.88,35.88,35.74,35.74,6000,215140,0.0,,,2,
2018-11-09_006205,2018-11-09,006205,富邦上証,twse,26.79,26.79,26.32,26.39,2787769,73740257,-0.54,,,584,
2018-11-09_006206,2018-11-09,006206,元大上證50,twse,28.00,28.00,27.40,27.47,981300,27046890,-0.63,,,375,
2018-11-09_006207,2018-11-09,006207,復華滬深,twse,19.40,19.40,19.17,19.19,494000,9505560,-0.35,,,198,
2018-11-09_006208,2018-11-09,006208,富邦台50,twse,45.50,45.50,45.15,45.15,44848,2026155,-0.7,,,20,
2018-11-09_00625K,2018-11-09,00625K,富邦上証+R,twse,6.00,6.00,6.00,6.00,50000,300000,-0.09,down,,2,
2018-11-09_00631L,2018-11-09,00631L,元大台灣50正2,twse,32.79,32.79,32.06,32.22,5843121,188716368,-0.84,,,1393,
2018-11-09_00632R,2018-11-09,00632R,元大台灣50反1,twse,13.15,13.29,13.14,13.25,84552315,1119365987,0.16,,,9270,
2018-11-09_00633L,2018-11-09,00633L,富邦上証正2,twse,33.76,33.76,32.52,32.60,52355450,1730002953,-1.58,,,12547,
2018-11-09_00634R,2018-11-09,00634R,富邦上証反1,twse,7.80,7.93,7.78,7.92,1773000,13948760,0.2,,,316,
2018-11-09_00635U,2018-11-09,00635U,期元大S&P黃金,twse,18.39,18.39,18.31,18.35,659010,12083047,-0.05,,,212,
2018-11-09_00636,2018-11-09,00636,國泰中國A50,twse,17.88,17.88,17.46,17.50,6111200,107421168,-0.43,,,1859,
2018-11-09_00636K,2018-11-09,00636K,國泰中國A50+U,twse,5.75,5.75,5.75,5.75,100,575,-0.14,down,,1,
2018-11-09_00637L,2018-11-09,00637L,元大滬深300正2,twse,12.81,12.81,12.33,12.34,228697953,2862823795,-0.6,,,30766,
2018-11-09_00638R,2018-11-09,00638R,元大滬深300反1,twse,15.66,15.94,15.66,15.90,996000,15760660,0.35,,,173,
2018-11-09_00639,2018-11-09,00639,富邦深100,twse,8.15,8.15,8.06,8.08,3096893,25050121,-0.13,,,304,
2018-11-09_00640L,2018-11-09,00640L,富邦日本正2,twse,21.92,21.92,21.61,21.71,982000,21304560,-0.14,,,92,
2018-11-09_00641R,2018-11-09,00641R,富邦日本反1,twse,14.75,14.86,14.74,14.82,605000,8957990,0.04,,,107,
2018-11-09_00642U,2018-11-09,00642U,期元大S&P石油,twse,19.73,19.73,19.61,19.70,1727665,33989498,-0.34,,,735,
2018-11-09_00643,2018-11-09,00643,群益深証中小,twse,10.45,10.46,10.32,10.33,850000,8793930,-0.17,,,242,
2018-11-09_00645,2018-11-09,00645,富邦日本,twse,21.79,21.79,21.61,21.61,79209,1713263,-0.18,,,15,
2018-11-09_00646,2018-11-09,00646,元大S&P500,twse,26.06,26.10,25.93,26.05,44000,1143890,-0.07,,,25,
2018-11-09_00647L,2018-11-09,00647L,元大S&P500正2,twse,32.62,32.90,32.60,32.90,51000,1666960,-0.03,,,44,
2018-11-09_00648R,2018-11-09,00648R,元大S&P500反1,twse,13.13,13.15,13.09,13.12,717000,9413370,0.01,,,87,
2018-11-09_00649,2018-11-09,00649,FH香港,twse,19.59,19.59,19.16,19.17,113000,2171120,-0.5,,,29,
2018-11-09_00650L,2018-11-09,00650L,復華香港正2,twse,27.00,27.29,25.99,26.02,141000,3703030,-1.39,,,63,
2018-11-09_00651R,2018-11-09,00651R,復華香港反1,twse,9.29,9.47,9.29,9.44,547000,5139020,0.28,,,106,
2018-11-09_00652,2018-11-09,00652,富邦印度,twse,21.52,21.60,21.49,21.60,73518,1582829,-0.09,,,35,
2018-11-09_00653L,2018-11-09,00653L,富邦印度正2,twse,27.29,27.37,27.00,27.32,245000,6653810,-0.28,,,102,
2018-11-09_00654R,2018-11-09,00654R,富邦印度反1,twse,14.95,14.95,14.63,14.78,457000,6750230,0.0,,,92,
