key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2022-02-15_0050,2022-02-15,0050,元大台灣50,twse,142.70,143.20,141.95,142.05,8139525,1160338475,-0.65,,,16664,
2022-02-15_0051,2022-02-15,0051,元大中型100,twse,60.05,60.45,60.05,60.20,47182,2847761,0.0,,,127,
2022-02-15_0052,2022-02-15,0052,富邦科技,twse,133.30,134.10,132.95,133.00,407507,54398248,-0.5,,,325,
2022-02-15_0053,2022-02-15,0053,元大電子,twse,68.60,69.20,68.60,68.75,7827,539046,0.2,,,39,
2022-02-15_0054,2022-02-15,0054,元大台商50,twse,30.75,30.75,30.75,30.75,2969,90562,-0.01,down,,47,
2022-02-15_0055,2022-02-15,0055,元大MSCI金融,twse,26.04,26.23,26.01,26.05,873328,22793143,0.01,,,700,
2022-02-15_0056,2022-02-15,0056,元大高股息,twse,33.14,33.25,33.08,33.10,10328094,342554016,-0.03,,,8648,
2022-02-15_0057,2022-02-15,0057,富邦摩台,twse,99.75,99.75,99.55,99.60,25821,2570955,0.05,,,49,
2022-02-15_0061,2022-02-15,0061,元大寶滬深,twse,21.84,21.84,21.45,21.50,57080,1227708,-0.05,,,73,
2022-02-15_006201,2022-02-15,006201,元大富櫃50,tpex,21.36,21.64,21.36,21.48,94000,2026610,0.18,,15446000,74,
2022-02-15_006203,2022-02-15,006203,元大MSCI台灣,twse,68.35,68.60,68.20,68.25,22260,1521354,0.05,,,65,
2022-02-15_006204,2022-02-15,006204,永豐臺灣加權,twse,90.05,90.05,89.60,89.60,21614,1937055,-0.25,,,48,
2022-02-15_006205,2022-02-15,006205,富邦上証,twse,35.56,35.78,35.53,35.66,431707,15420339,0.02,,,114,
2022-02-15_006206,2022-02-15,006206,元大上證50,twse,34.41,34.60,34.25,34.45,58515,2013112,0.04,,,55,
2022-02-15_006207,2022-02-15,006207,復華滬深,twse,28.27,28.30,28.13,28.24,146192,4131670,0.13,,,46,
2022-02-15_006208,2022-02-15,006208,富邦台50,twse,82.15,82.50,81.90,82.00,2560108,210369248,-0.3,,,5865,
2022-02-15_00631L,2022-02-15,00631L,元大台灣50正2,twse,143.00,144.35,141.75,142.05,2058583,294401753,-1.05,,,817,
2022-02-15_00632R,2022-02-15,00632R,元大台灣50反1,twse,5.16,5.18,5.13,5.17,79890345,411574165,0.01,,,4074,
2022-02-15_00633L,2022-02-15,00633L,富邦上証正2,twse,49.75,50.30,49.35,49.67,4230345,210450999,-0.17,,,1194,
2022-02-15_00634R,2022-02-15,00634R,富邦上証反1,twse,4.12,4.14,4.10,4.13,621000,2554710,0.01,,,25,
2022-02-15_00635U,2022-02-15,00635U,期元大S&P黃金,twse,24.80,24.90,24.77,24.90,1573964,39088508,0.35,,,624,
2022-02-15_00636,2022-02-15,00636,國泰中國A50,twse,24.06,24.16,23.97,24.05,192346,4626427,-0.01,,,112,
2022-02-15_00636K,2022-02-15,00636K,國泰中國A50+U,twse,8.63,8.63,8.63,8.63,200,1726,-0.04,down,,2,
2022-02-15_00637L,2022-02-15,00637L,元大滬深300正2,twse,19.69,19.96,19.57,19.70,35712405,705345794,-0.08,,,6737,
2022-02-15_00638R,2022-02-15,00638R,元大滬深300反1,twse,8.52,8.55,8.48,8.53,828021,7054007,0.03,,,54,
2022-02-15_00639,2022-02-15,00639,富邦深100,twse,14.88,15.10,14.85,15.05,498831,7479788,0.17,,,109,
2022-02-15_00640L,2022-02-15,00640L,富邦日本正2,twse,27.87,27.87,27.16,27.35,434000,11945030,-0.62,,,193,
2022-02-15_00641R,2022-02-15,00641R,富邦日本反1,twse,10.29,10.44,10.29,10.42,322000,3331370,0.14,,,61,
2022-02-15_00642U,2022-02-15,00642U,期元大S&P石油,twse,16.79,16.85,16.74,16.79,10580171,177750450,0.01,,,2680,
2022-02-15_00643,2022-02-15,00643,群益深証中小,twse,17.65,17.85,17.50,17.80,147419,2600828,0.21,,,75,
2022-02-15_00645,2022-02-15,00645,富邦日本,twse,25.50,25.50,25.25,25.27,241831,6143991,-0.3,,,128,
2022-02-15_00646,2022-02-15,00646,元大S&P500,twse,37.82,37.91,37.70,37.72,1084015,40993256,-0.3,,,1152,
2022-02-15_00647L,2022-02-15,00647L,元大S&P500正2,twse,67.90,68.20,67.35,67.40,228234,15497233,-1.0,,,87,
2022-02-15_00648R,2022-02-15,00648R,元大S&P500反1,twse,6.84,6.87,6.82,6.86,2584631,17697806,0.04,,,1863,
2022-02-15_00650L,2022-02-15,00650L,復華香港正2,twse,22.05,22.18,21.60,21.68,1629629,35718710,-0.5,,,338,
2022-02-15_00651R,2022-02-15,00651R,復華香港反1,twse,7.61,7.67,7.57,7.67,253000,1929250,0.11,,,37,
2022-02-15_00652,2022-02-15,00652,富邦印度,twse,27.90,27.90,27.56,27.66,249819,6904957,-0.28,,,242,
2022-02-15_00653L,2022-02-15,00653L,富邦印度正2,twse,41.85,41.93,41.32,41.70,1133430,47208335,-0.7,,,530,
2022-02-15_00654R,2022-02-15,00654R,富邦印度反1,twse,8.47,8.52,8.46,8.52,955000,8106180,0.08,,,106,
2022-02-15_00655L,2022-02-15,00655L,國泰中國A50正2,twse,37.36,37.80,37.04,37.32,1443040,53880902,-0.19,,,514,
2022-02-15_00656R,2022-02-15,00656R,國泰中國A50反1,twse,7.77,7.79,7.76,7.78,15000,116710,-0.01,,,7,
2022-02-15_00657,2022-02-15,00657,國泰日經225,twse,32.28,32.28,32.20,32.20,4909,158232,-0.28,,,29,
2022-02-15_00657K,2022-02-15,00657K,國泰日經225+U,twse,11.57,11.57,11.57,11.57,200,2314,-0.08,down,,2,
2022-02-15_00660,2022-02-15,00660,元大歐洲50,twse,28.98,28.98,28.82,28.82,13914,401942,-0.39,,,51,
2022-02-15_00661,2022-02-15,00661,元大日經225,twse,33.93,33.98,33.68,33.68,7015,236761,-0.42,,,45,
2022-02-15_00662,2022-02-15,00662,富邦NASDAQ,twse,51.35,51.55,51.20,51.20,893768,45912095,-0.15,,,572,
2022-02-15_00663L,2022-02-15,00663L,國泰臺灣加權正2,twse,129.60,130.90,129.60,129.85,12000,1563150,0.25,,,9,
2022-02-15_00664R,2022-02-15,00664R,國泰臺灣加權反1,twse,5.86,5.88,5.82,5.87,6184394,36148128,0.01,,,4108,
2022-02-15_00665L,2022-02-15,00665L,富邦恒生國企正2,twse,15.42,15.44,14.94,15.01,1238000,18782430,-0.41,,,358,
2022-02-15_00666R,2022-02-15,00666R,富邦恒生國企反1,twse,12.91,13.02,12.91,12.98,82000,1059440,0.19,,,12,
2022-02-15_00668,2022-02-15,00668,國泰美國道瓊,twse,34.95,35.00,34.88,34.88,43890,1534011,-0.37,,,79,
2022-02-15_00668K,2022-02-15,00668K,國泰美國道瓊+U,twse,12.55,12.55,12.55,12.55,200,2510,-0.09,down,,2,
2022-02-15_00669R,2022-02-15,00669R,國泰美國道瓊反1,twse,7.85,7.89,7.83,7.87,4772615,37502656,0.07,,,751,
2022-02-15_00670L,2022-02-15,00670L,富邦NASDAQ正2,twse,95.70,96.25,94.85,95.20,982468,94061146,-0.35,,,517,
2022-02-15_00671R,2022-02-15,00671R,富邦NASDAQ反1,twse,5.54,5.56,5.50,5.55,14360000,79422110,0.0,,,915,
2022-02-15_00673R,2022-02-15,00673R,期元大S&P原油反1,twse,10.46,10.48,10.42,10.45,11423002,119331111,-0.01,,,1322,
2022-02-15_00674R,2022-02-15,00674R,期元大S&P黃金反1,twse,12.53,12.54,12.50,12.50,680199,8514564,-0.17,,,200,
2022-02-15_00675L,2022-02-15,00675L,富邦臺灣加權正2,twse,55.65,56.35,55.25,55.50,249983,13938398,-0.3,,,269,
2022-02-15_00676R,2022-02-15,00676R,富邦臺灣加權反1,twse,3.20,3.22,3.18,3.21,6887110,21996900,0.01,,,289,
2022-02-15_00678,2022-02-15,00678,群益那斯達克生技,twse,23.27,23.27,23.00,23.07,421251,9723465,-0.33,,,99,
2022-02-15_00679B,2022-02-15,00679B,元大美債20年,tpex,38.98,38.99,38.87,38.91,1352000,52591310,-0.03,,455192000,586,
2022-02-15_00680L,2022-02-15,00680L,元大美債20正2,twse,21.66,21.68,21.58,21.65,43000,929650,-0.04,,,20,
