key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2026-09-09_00400A,2026-09-09,00400A,主動國泰動能高息,twse,15.13,15.29,15.00,15.06,24471019,371317097,0.06,,1899640000,5036,,
2026-09-09_00401A,2026-09-09,00401A,主動摩根台灣鑫收,twse,14.41,14.50,14.31,14.33,5830847,83973441,0.04,,237895000,1058,,
2026-09-09_00402A,2026-09-09,00402A,主動安聯美國科技,twse,9.52,9.56,9.52,9.53,4056618,38723531,0.01,,706127000,634,,
2026-09-09_00403A,2026-09-09,00403A,主動統一升級50,twse,10.36,10.47,10.31,10.35,186828705,1945639396,0.11,,15200019000,23803,,
2026-09-09_00404A,2026-09-09,00404A,主動聯博動能50,twse,10.02,10.09,10.00,10.02,18108356,181937699,0.03,,354295000,2772,,
2026-09-09_00405A,2026-09-09,00405A,主動富邦台灣龍耀,twse,8.80,8.94,8.75,8.78,59393657,526059620,0.07,,3126245000,6152,,
2026-09-09_00406A,2026-09-09,00406A,主動中信台灣收益,twse,9.66,9.76,9.62,9.66,107012185,1038116272,0.05,,3746062000,15322,,
2026-09-09_00407A,2026-09-09,00407A,主動凱基台灣,twse,9.75,9.88,9.70,9.74,32659805,320525007,0.06,,2584239000,4102,,
2026-09-09_00408A,2026-09-09,00408A,主動第一金優股息,twse,10.47,10.56,10.42,10.43,1153282,12110030,0.03,,147634000,148,,
2026-09-09_00409A,2026-09-09,00409A,主動復華全球50,twse,9.90,9.94,9.84,9.85,21428727,212013919,-0.05,,1848448000,3918,,
2026-09-09_00410A,2026-09-09,00410A,主動永豐科技趨勢,twse,12.09,12.23,12.01,12.05,6603408,79969771,0.14,,156360000,842,,
2026-09-09_00411A,2026-09-09,00411A,主動統一前沿科技,tpex,9.89,9.99,9.89,9.95,25512000,254027120,0.19,,610576000,1867,,
2026-09-09_0050,2026-09-09,0050,元大台灣50,twse,109.95,110.60,109.50,109.65,46101333,5077610781,0.0,,22057500000,63836,,
2026-09-09_0051,2026-09-09,0051,元大中型100,twse,147.30,148.05,146.95,147.00,21805,3212171,0.95,,24500000,299,,
2026-09-09_0052,2026-09-09,0052,富邦科技,twse,63.80,64.30,63.60,63.75,12013949,769111593,0.15,,2560000000,9507,,
2026-09-09_0053,2026-09-09,0053,元大電子,twse,254.05,254.05,247.50,247.50,50793,12629695,1.5,,9988000,1639,,
2026-09-09_0055,2026-09-09,0055,元大MSCI金融,twse,49.90,49.90,48.20,48.55,929912,45142839,-0.69,,84654000,3985,,
2026-09-09_0056,2026-09-09,0056,元大高股息,twse,55.80,56.00,55.70,55.75,15853609,885399501,0.0,,14058034000,14691,,
2026-09-09_0057,2026-09-09,0057,富邦摩台,twse,327.85,329.80,327.85,327.90,33019,10846839,0.05,,1527000,1076,,
2026-09-09_0061,2026-09-09,0061,元大寶滬深,twse,24.16,24.16,24.06,24.07,78447,1888166,-0.01,,96116000,124,,
2026-09-09_006201,2026-09-09,006201,元大富櫃50,tpex,45.30,46.31,45.20,45.20,94000,4296130,-0.03,,22946000,49,,
2026-09-09_006203,2026-09-09,006203,元大MSCI台灣,twse,201.20,201.20,199.35,199.90,16104,3225064,-0.55,,10218000,1384,,
2026-09-09_006204,2026-09-09,006204,永豐臺灣加權,twse,236.30,236.30,235.15,235.30,42440,9985404,-0.95,,1500000,122,,
2026-09-09_006205,2026-09-09,006205,富邦上証,twse,40.17,40.34,40.09,40.17,112919,4532566,-0.04,,93439000,174,,
2026-09-09_006206,2026-09-09,006206,元大上證50,twse,37.49,37.58,37.35,37.35,11429,427777,-0.15,,26778000,102,,
2026-09-09_006207,2026-09-09,006207,復華滬深,twse,32.18,32.18,31.90,31.90,106364,3401881,-0.11,,20892000,87,,
2026-09-09_006208,2026-09-09,006208,富邦台50,twse,251.90,253.10,250.30,250.30,1771790,446728959,0.25,,1860540000,7818,,
2026-09-09_00625K,2026-09-09,00625K,富邦上証+R,twse,,,,,0,0,0.0,,333000,0,無成交,
2026-09-09_00631L,2026-09-09,00631L,元大台灣50正2,twse,37.78,38.20,37.46,37.54,130034284,4926636428,0.05,,7043848000,37071,,
2026-09-09_00632R,2026-09-09,00632R,元大台灣50反1,twse,9.68,9.71,9.62,9.70,74528410,720015275,0.0,,2807207730,7721,,
2026-09-09_00633L,2026-09-09,00633L,富邦上証正2,twse,48.03,48.38,47.84,47.93,1248742,59990311,-0.19,,118458000,246,,
2026-09-09_00634R,2026-09-09,00634R,富邦上証反1,twse,3.13,3.14,3.12,3.14,143000,447220,0.01,,42756000,4,,
2026-09-09_00635U,2026-09-09,00635U,期元大S&P黃金,twse,45.01,45.30,45.00,45.30,2455795,110868468,-0.39,,308514000,2321,,
2026-09-09_00636,2026-09-09,00636,國泰中國A50,twse,27.36,27.36,27.27,27.27,56688,1547727,-0.11,,93825000,182,,
2026-09-09_00636K,2026-09-09,00636K,國泰中國A50+U,twse,8.69,8.69,8.69,8.69,200,1738,-0.05,down,62100,2,,
2026-09-09_00637L,2026-09-09,00637L,元大滬深300正2,twse,19.80,19.87,19.65,19.65,11151156,220104388,-0.12,,743606000,1450,,
2026-09-09_00638R,2026-09-09,00638R,元大滬深300反1,twse,6.66,6.66,6.65,6.65,20000,133020,0.0,,22948000,5,,
2026-09-09_00639,2026-09-09,00639,富邦深100,twse,16.10,16.23,16.06,16.06,346670,5590873,-0.07,,95903000,136,,
2026-09-09_00640L,2026-09-09,00640L,富邦日本正2,twse,106.15,106.15,105.35,105.35,169899,17994781,-1.9,,6419000,177,,
2026-09-09_00641R,2026-09-09,00641R,富邦日本反1,twse,3.70,3.71,3.69,3.71,710000,2625170,0.02,,90258000,53,,
2026-09-09_00642U,2026-09-09,00642U,期元大S&P石油,twse,31.32,31.35,31.11,31.12,1548518,48409121,0.27,,60821000,683,,
2026-09-09_00643,2026-09-09,00643,群益深証中小,twse,18.12,18.15,18.05,18.05,1485870,26888050,-0.08,,72503000,112,,
2026-09-09_00643K,2026-09-09,00643K,群益深証中小+R,twse,,,,,0,0,0.0,,197000,0,無成交,
2026-09-09_00645,2026-09-09,00645,富邦日本,twse,57.45,57.50,57.30,57.40,162627,9338335,-0.45,,42997000,372,,
2026-09-09_00646,2026-09-09,00646,元大S&P500,twse,76.15,76.20,76.05,76.10,2607532,198467460,-0.4,,632985000,4533,,
2026-09-09_00647L,2026-09-09,00647L,元大S&P500正2,twse,137.25,137.30,137.00,137.15,45938,6301203,-1.25,,6416000,99,,
2026-09-09_00648R,2026-09-09,00648R,元大S&P500反1,twse,3.92,3.92,3.91,3.92,84000,328560,0.02,,142688000,11,,
2026-09-09_00650L,2026-09-09,00650L,復華香港正2,twse,16.86,16.87,16.62,16.74,1154454,19322025,-0.12,,96338000,264,,
2026-09-09_00651R,2026-09-09,00651R,復華香港反1,twse,5.17,5.19,5.17,5.19,54998,284428,0.03,,32192000,7,,
2026-09-09_00652,2026-09-09,00652,富邦印度,twse,32.40,32.40,32.13,32.15,591962,19093201,-0.33,,61035000,481,,
2026-09-09_00653L,2026-09-09,00653L,富邦印度正2,twse,44.25,44.33,43.91,44.15,153369,6765325,-0.48,,12903000,161,,
2026-09-09_00654R,2026-09-09,00654R,富邦印度反1,twse,6.89,6.90,6.87,6.87,42000,289440,0.04,,19466000,11,,
2026-09-09_00655L,2026-09-09,00655L,國泰中國A50正2,twse,33.35,33.54,33.19,33.21,623726,20822459,-0.21,,57958000,94,,
2026-09-09_00656R,2026-09-09,00656R,國泰中國A50反1,twse,5.86,5.86,5.86,5.86,10000,58600,0.0,flat,20357000,1,,
2026-09-09_00657,2026-09-09,00657,國泰日經225,twse,77.60,77.80,77.05,77.10,398941,30956651,-1.0,,6084000,101,,
2026-09-09_00657K,2026-09-09,00657K,國泰日經225+U,twse,24.59,24.59,24.59,24.59,200,4918,-0.41,down,2900,2,,
2026-09-09_00660,2026-09-09,00660,元大歐洲50,twse,46.65,46.65,46.52,46.52,6434,299110,-0.23,,6531000,85,,
2026-09-09_00661,2026-09-09,00661,元大日經225,twse,85.10,85.15,84.35,84.35,56873,4820137,-1.4,,23425000,227,,
2026-09-09_00662,2026-09-09,00662,富邦NASDAQ,twse,119.65,119.65,119.40,119.45,2366140,282824746,-0.55,,915529000,3531,,
2026-09-09_00663L,2026-09-09,00663L,國泰臺灣加權正2,twse,108.55,110.20,108.05,108.35,4093663,447171694,0.45,,142163000,1925,,
2026-09-09_00664R,2026-09-09,00664R,國泰臺灣加權反1,twse,1.57,1.58,1.55,1.58,15465547,24191046,0.0,,884575000,769,,
2026-09-09_00665L,2026-09-09,00665L,富邦恒生國企正2,twse,9.18,9.22,9.07,9.13,8791902,80516585,-0.1,,403965000,884,,
2026-09-09_00666R,2026-09-09,00666R,富邦恒生國企反1,twse,9.10,9.14,9.08,9.11,64330,586848,0.04,,12124000,20,,
