key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2017-06-19_0050,2017-06-19,0050,元大台灣50,twse,77.70,78.55,77.70,78.55,5144835,403115770,0.85,,,1459,
2017-06-19_0051,2017-06-19,0051,元大中型100,twse,28.55,28.65,28.53,28.62,134000,3834440,0.12,,,24,
2017-06-19_0052,2017-06-19,0052,富邦科技,twse,47.84,48.16,47.83,48.15,12000,575630,0.38,,,8,
2017-06-19_0053,2017-06-19,0053,元大電子,twse,34.10,34.40,34.10,34.40,36000,1231610,0.47,,,16,
2017-06-19_0054,2017-06-19,0054,元大台商50,twse,24.21,24.35,24.21,24.35,87000,2113730,0.41,,,17,
2017-06-19_0055,2017-06-19,0055,元大MSCI金融,twse,14.93,15.05,14.93,15.00,389005,5836205,0.03,,,20,
2017-06-19_0056,2017-06-19,0056,元大高股息,twse,25.05,25.25,25.03,25.22,6644737,167394741,0.17,,,1045,
2017-06-19_0057,2017-06-19,0057,富邦摩台,twse,46.24,46.24,46.24,46.24,15000,693600,0.57,up,,3,
2017-06-19_0058,2017-06-19,0058,富邦發達,twse,43.80,44.48,43.80,44.48,12000,528820,0.0,,,8,
2017-06-19_0059,2017-06-19,0059,富邦金融,twse,35.20,35.30,35.08,35.08,3000,105580,0.02,,,3,
2017-06-19_0061,2017-06-19,0061,元大寶滬深,twse,15.90,15.99,15.89,15.96,3425968,54629479,0.07,,,878,
2017-06-19_006201,2017-06-19,006201,元大富櫃50,tpex,12.10,12.22,12.10,12.19,25000,303650,0.09,,23446000,13,
2017-06-19_006203,2017-06-19,006203,元大MSCI台灣,twse,35.85,36.10,35.85,36.10,4000,143900,0.38,,,3,
2017-06-19_006204,2017-06-19,006204,永豐臺灣加權,twse,50.50,50.85,50.50,50.85,8000,406450,0.75,,,4,
2017-06-19_006205,2017-06-19,006205,富邦上証,twse,27.80,28.03,27.78,27.98,3401508,95082383,0.19,,,676,
2017-06-19_006206,2017-06-19,006206,元大上證50,twse,27.16,27.37,27.14,27.32,1448733,39541832,0.1,,,247,
2017-06-19_006207,2017-06-19,006207,復華滬深,twse,20.75,20.96,20.75,20.90,987000,20621430,0.15,,,169,
2017-06-19_006208,2017-06-19,006208,富邦台50,twse,45.69,46.08,45.69,46.08,7999,366874,0.47,,,12,
2017-06-19_00625K,2017-06-19,00625K,富邦上証+R,twse,6.25,6.25,6.22,6.22,51000,317250,-0.01,,,3,
2017-06-19_00631L,2017-06-19,00631L,元大台灣50正2,twse,30.60,31.21,30.60,31.21,3395760,104924205,0.63,,,885,
2017-06-19_00632R,2017-06-19,00632R,元大台灣50反1,twse,14.48,14.48,14.37,14.38,55440223,799137855,-0.13,,,6825,
2017-06-19_00633L,2017-06-19,00633L,富邦上証正2,twse,36.84,37.55,36.75,37.36,26975050,1005921154,0.47,,,4550,
2017-06-19_00634R,2017-06-19,00634R,富邦上証反1,twse,8.40,8.42,8.32,8.35,600000,5015950,-0.06,,,84,
2017-06-19_00635U,2017-06-19,00635U,期元大S&P黃金,twse,19.74,19.76,19.72,19.75,409000,8076050,0.03,,,79,
2017-06-19_00636,2017-06-19,00636,國泰中國A50,twse,17.12,17.27,17.07,17.24,1760840,30309541,0.11,,,200,
2017-06-19_00637L,2017-06-19,00637L,元大滬深300正2,twse,13.89,14.17,13.85,14.10,54917195,772146431,0.19,,,5490,
2017-06-19_00638R,2017-06-19,00638R,元大滬深300反1,twse,17.08,17.08,16.92,16.94,56000,950160,-0.14,,,19,
2017-06-19_00639,2017-06-19,00639,富邦深100,twse,9.80,9.89,9.80,9.87,4713109,46428216,0.07,,,779,
2017-06-19_00640L,2017-06-19,00640L,富邦日本正2,twse,19.98,20.04,19.97,20.02,442000,8841650,0.23,,,103,
2017-06-19_00641R,2017-06-19,00641R,富邦日本反1,twse,16.59,16.59,16.54,16.58,324000,5364120,-0.08,,,64,
2017-06-19_00642U,2017-06-19,00642U,期元大S&P石油,twse,15.79,15.82,15.76,15.81,6050553,95571906,0.02,,,1174,
2017-06-19_00643,2017-06-19,00643,群益深証中小,twse,13.83,13.87,13.79,13.84,1464412,20262211,0.02,,,223,
2017-06-19_00645,2017-06-19,00645,富邦日本,twse,20.55,20.60,20.55,20.60,10000,205850,0.11,,,10,
2017-06-19_00646,2017-06-19,00646,元大S&P500,twse,22.02,22.02,21.90,22.00,377000,8285310,0.0,,,43,
2017-06-19_00648R,2017-06-19,00648R,元大S&P500反1,twse,15.60,15.60,15.55,15.56,1068000,16619400,-0.03,,,92,
2017-06-19_00649,2017-06-19,00649,FH香港,twse,18.35,18.50,18.35,18.50,126000,2329480,0.18,,,13,
2017-06-19_00650L,2017-06-19,00650L,復華香港正2,twse,25.90,26.26,25.90,26.24,811000,21233350,0.46,,,50,
2017-06-19_00651R,2017-06-19,00651R,復華香港反1,twse,10.20,10.20,10.14,10.14,115000,1168250,-0.1,,,20,
2017-06-19_00652,2017-06-19,00652,富邦印度,twse,21.97,22.02,21.97,22.02,198622,4365790,0.03,,,43,
2017-06-19_00653L,2017-06-19,00653L,富邦印度正2,twse,25.92,26.27,25.92,26.24,769000,20134880,0.2,,,121,
2017-06-19_00654R,2017-06-19,00654R,富邦印度反1,twse,16.30,16.31,16.25,16.29,174000,2836230,-0.06,,,19,
2017-06-19_00655L,2017-06-19,00655L,國泰中國A50正2,twse,26.78,27.42,26.78,27.25,2992000,81376400,0.42,,,532,
2017-06-19_00656R,2017-06-19,00656R,國泰中國A50反1,twse,15.65,15.65,15.65,15.65,2000,31300,0.0,down,,1,
2017-06-19_00657,2017-06-19,00657,國泰日經225,twse,24.26,24.35,24.26,24.35,162000,3937910,0.1,,,14,
2017-06-19_00658L,2017-06-19,00658L,國泰日本正2,twse,29.38,29.38,29.30,29.30,84000,2465910,0.19,,,10,
2017-06-19_00659R,2017-06-19,00659R,國泰日本反1,twse,14.97,14.97,14.97,14.97,15000,224550,-0.09,down,,4,
