key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2016-07-20_0050,2016-07-20,0050,元大台灣50,twse,69.00,69.30,68.80,69.20,24718112,1708767278,-0.05,,1105000000,3976,,
2016-07-20_0051,2016-07-20,0051,元大中型100,twse,26.00,26.15,25.99,25.99,49000,1275860,-0.09,,18500000,29,,
2016-07-20_0052,2016-07-20,0052,富邦科技,twse,,,,,0,0,0.0,,8000000,0,無成交,
2016-07-20_0053,2016-07-20,0053,元大電子,twse,29.58,29.62,29.57,29.60,37000,1094740,0.01,,15488000,9,,
2016-07-20_0054,2016-07-20,0054,元大台商50,twse,21.72,21.80,21.61,21.61,69000,1498570,-0.14,,19124000,37,,
2016-07-20_0055,2016-07-20,0055,元大MSCI金融,twse,13.51,13.51,13.29,13.40,662000,8876150,-0.12,,78154000,222,,
2016-07-20_0056,2016-07-20,0056,元大高股息,twse,24.08,24.20,24.02,24.05,5226691,126031310,-0.15,,338534000,1372,,
2016-07-20_0057,2016-07-20,0057,富邦摩台,twse,42.43,42.50,42.43,42.50,38000,1614410,0.09,,8527000,6,,
2016-07-20_0058,2016-07-20,0058,富邦發達,twse,39.02,39.02,38.73,38.73,4000,155510,-0.29,,5196000,4,,
2016-07-20_0059,2016-07-20,0059,富邦金融,twse,31.33,31.33,31.33,31.33,1000,31330,0.0,flat,6973000,1,,
2016-07-20_0061,2016-07-20,0061,元大寶滬深,twse,16.03,16.11,15.95,15.95,3047200,48797460,-0.03,,784116000,1358,,
2016-07-20_006201,2016-07-20,006201,元大富櫃50,tpex,11.28,11.30,11.21,11.23,36000,405840,,,27446000,15,,
2016-07-20_006203,2016-07-20,006203,元大MSCI台灣,twse,32.10,32.31,32.09,32.09,11000,354800,0.01,,9218000,4,,
2016-07-20_006204,2016-07-20,006204,永豐臺灣加權,twse,45.10,45.40,45.10,45.40,224066,10168289,0.1,,6000000,9,,
2016-07-20_006205,2016-07-20,006205,富邦上証,twse,27.18,27.27,27.05,27.08,9419001,255467157,-0.1,,662772000,1671,,
2016-07-20_006206,2016-07-20,006206,元大上證50,twse,25.85,25.89,25.72,25.79,1750000,45157700,-0.04,,189778000,384,,
2016-07-20_006207,2016-07-20,006207,復華滬深,twse,20.43,20.46,20.30,20.30,2884000,58766990,-0.06,,272892000,1057,,
2016-07-20_006208,2016-07-20,006208,富邦台50,twse,39.14,39.14,38.94,38.94,2000,78080,0.0,,4040000,2,,
2016-07-20_00631L,2016-07-20,00631L,元大台灣50正2,twse,22.67,22.86,22.53,22.62,13578100,308003190,-0.19,,94084000,1883,,
2016-07-20_00632R,2016-07-20,00632R,元大台灣50反1,twse,17.26,17.30,17.16,17.25,101710914,1753404336,0.05,,3757149000,19231,,
2016-07-20_00633L,2016-07-20,00633L,富邦上証正2,twse,31.19,31.44,31.01,31.14,28343160,885219568,-0.13,,927458000,4499,,
2016-07-20_00634R,2016-07-20,00634R,富邦上証反1,twse,9.90,9.92,9.87,9.91,3035110,30021688,0.04,,129756000,361,,
2016-07-20_00635U,2016-07-20,00635U,期元大S&P黃金,twse,21.81,21.90,21.80,21.81,889100,19410872,0.04,,44514000,276,,
2016-07-20_00636,2016-07-20,00636,國泰中國A50,twse,16.04,16.04,15.94,15.96,1172453,18726109,-0.04,,203946000,135,,
2016-07-20_00637L,2016-07-20,00637L,元大滬深300正2,twse,11.63,11.72,11.57,11.61,52988299,616758210,-0.05,,1739606000,5088,,
2016-07-20_00638R,2016-07-20,00638R,元大滬深300反1,twse,18.79,18.79,18.68,18.74,121000,2267330,0.01,,17948000,32,,
2016-07-20_00639,2016-07-20,00639,富邦深100,twse,10.01,10.05,9.98,10.03,7177000,71830180,0.04,,389903000,2847,,
2016-07-20_00640L,2016-07-20,00640L,富邦日本正2,twse,13.73,13.88,13.65,13.88,11165000,153595810,0.0,,195919000,1019,,
2016-07-20_00641R,2016-07-20,00641R,富邦日本反1,twse,20.93,21.00,20.81,20.83,1591000,33277730,0.02,,32758000,201,,
2016-07-20_00642U,2016-07-20,00642U,期元大S&P石油,twse,17.89,17.96,17.89,17.93,4370362,78340236,0.05,,364821000,981,,
2016-07-20_00643,2016-07-20,00643,群益深証中小,twse,15.64,15.71,15.62,15.66,2619000,41050810,0.06,,230700000,312,,
2016-07-20_00645,2016-07-20,00645,富邦日本,twse,16.78,16.86,16.72,16.85,1117000,18745580,-0.01,,24997000,63,,
2016-07-20_00646,2016-07-20,00646,元大S&P500,twse,20.45,20.48,20.45,20.47,119000,2435370,-0.02,,39985000,32,,
2016-07-20_00647L,2016-07-20,00647L,元大S&P500正2,twse,21.68,21.70,21.68,21.70,11000,238500,-0.01,,14416000,2,,
2016-07-20_00648R,2016-07-20,00648R,元大S&P500反1,twse,18.41,18.41,18.36,18.38,1716000,31547490,0.02,,202188000,320,,
