key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2018-07-27_0050,2018-07-27,0050,元大台灣50,twse,85.10,85.75,85.10,85.70,5947118,508730875,0.7,,,1942,
2018-07-27_0051,2018-07-27,0051,元大中型100,twse,34.00,34.15,34.00,34.15,17000,579410,0.26,,,17,
2018-07-27_0052,2018-07-27,0052,富邦科技,twse,54.10,54.65,54.10,54.55,109500,5972049,0.55,,,19,
2018-07-27_0053,2018-07-27,0053,元大電子,twse,37.30,37.56,37.30,37.56,21000,786450,0.3,,,15,
2018-07-27_0054,2018-07-27,0054,元大台商50,twse,25.03,25.23,25.03,25.23,53000,1330470,0.28,,,17,
2018-07-27_0055,2018-07-27,0055,元大MSCI金融,twse,17.64,17.79,17.64,17.70,4081000,72595450,0.06,,,52,
2018-07-27_0056,2018-07-27,0056,元大高股息,twse,26.58,26.91,26.58,26.89,12809644,343781755,0.3,,,3407,
2018-07-27_0057,2018-07-27,0057,富邦摩台,twse,52.40,52.40,52.20,52.40,44000,2302000,0.4,,,13,
2018-07-27_0058,2018-07-27,0058,富邦發達,twse,49.72,49.73,49.72,49.73,23000,1143780,0.07,,,9,
2018-07-27_0059,2018-07-27,0059,富邦金融,twse,43.27,43.29,43.27,43.28,3000,129840,0.18,,,3,
2018-07-27_0061,2018-07-27,0061,元大寶滬深,twse,17.00,17.08,16.98,17.08,1363133,23227301,0.0,,,290,
2018-07-27_006201,2018-07-27,006201,元大富櫃50,tpex,14.10,14.14,14.09,14.11,67000,945870,0.02,,15446000,17,
2018-07-27_006203,2018-07-27,006203,元大MSCI台灣,twse,39.22,39.39,39.22,39.39,4000,157170,0.32,,,4,
2018-07-27_006204,2018-07-27,006204,永豐臺灣加權,twse,56.25,56.45,56.25,56.45,29000,1635450,0.35,,,3,
2018-07-27_006205,2018-07-27,006205,富邦上証,twse,28.84,28.88,28.63,28.73,3664434,105448873,-0.11,,,480,
2018-07-27_006206,2018-07-27,006206,元大上證50,twse,28.90,28.93,28.67,28.83,879115,25315464,-0.1,,,173,
2018-07-27_006207,2018-07-27,006207,復華滬深,twse,21.60,21.60,21.36,21.45,414000,8889880,-0.14,,,95,
2018-07-27_006208,2018-07-27,006208,富邦台50,twse,49.05,49.12,49.05,49.06,42954,2109187,-0.04,,,13,
2018-07-27_00625K,2018-07-27,00625K,富邦上証+R,twse,6.40,6.40,6.40,6.40,50000,320000,-0.07,down,,2,
2018-07-27_00631L,2018-07-27,00631L,元大台灣50正2,twse,39.73,40.22,39.67,40.20,791100,31659747,0.58,,,351,
2018-07-27_00632R,2018-07-27,00632R,元大台灣50反1,twse,12.14,12.15,12.06,12.07,51726408,625513400,-0.09,,,6709,
2018-07-27_00633L,2018-07-27,00633L,富邦上証正2,twse,38.20,38.45,37.69,37.99,25127100,955633782,-0.13,,,4386,
2018-07-27_00634R,2018-07-27,00634R,富邦上証反1,twse,7.57,7.61,7.55,7.59,204000,1545400,0.02,,,77,
2018-07-27_00635U,2018-07-27,00635U,期元大S&P黃金,twse,18.61,18.63,18.59,18.62,702000,13062920,-0.11,,,203,
2018-07-27_00636,2018-07-27,00636,國泰中國A50,twse,18.81,18.81,18.64,18.70,3865700,72327080,-0.11,,,775,
2018-07-27_00636K,2018-07-27,00636K,國泰中國A50+U,twse,6.16,6.16,6.16,6.16,100,616,-0.09,down,,1,
2018-07-27_00637L,2018-07-27,00637L,元大滬深300正2,twse,14.45,14.57,14.28,14.43,73004299,1052660056,-0.02,,,8396,
2018-07-27_00638R,2018-07-27,00638R,元大滬深300反1,twse,15.25,15.36,15.25,15.32,231000,3535920,0.07,,,92,
2018-07-27_00639,2018-07-27,00639,富邦深100,twse,9.87,9.88,9.77,9.82,2310469,22685534,-0.06,,,308,
2018-07-27_00640L,2018-07-27,00640L,富邦日本正2,twse,24.28,24.38,24.19,24.26,501000,12191760,0.2,,,72,
2018-07-27_00641R,2018-07-27,00641R,富邦日本反1,twse,14.32,14.33,14.29,14.31,370000,5292200,-0.08,,,61,
2018-07-27_00642U,2018-07-27,00642U,期元大S&P石油,twse,22.02,22.09,22.02,22.08,442260,9751492,0.09,,,130,
2018-07-27_00643,2018-07-27,00643,群益深証中小,twse,13.45,13.45,13.29,13.36,347745,4642780,-0.09,,,129,
2018-07-27_00645,2018-07-27,00645,富邦日本,twse,22.69,22.74,22.67,22.74,72500,1648120,0.1,,,12,
2018-07-27_00646,2018-07-27,00646,元大S&P500,twse,26.07,26.14,26.06,26.08,248000,6471760,0.0,,,32,
2018-07-27_00647L,2018-07-27,00647L,元大S&P500正2,twse,34.27,34.35,34.27,34.31,138000,4738090,0.11,,,16,
2018-07-27_00648R,2018-07-27,00648R,元大S&P500反1,twse,13.02,13.04,13.00,13.01,323000,4204960,-0.05,,,67,
2018-07-27_00649,2018-07-27,00649,FH香港,twse,21.36,21.42,21.27,21.35,77000,1645000,-0.02,,,22,
2018-07-27_00650L,2018-07-27,00650L,復華香港正2,twse,33.33,33.44,32.94,33.11,173000,5748440,-0.01,,,55,
2018-07-27_00651R,2018-07-27,00651R,復華香港反1,twse,8.50,8.53,8.47,8.50,84000,713900,0.01,,,25,
2018-07-27_00652,2018-07-27,00652,富邦印度,twse,24.04,24.10,24.01,24.10,74755,1797306,0.14,,,45,
2018-07-27_00653L,2018-07-27,00653L,富邦印度正2,twse,31.51,31.87,31.51,31.80,216000,6845260,0.32,,,54,
2018-07-27_00654R,2018-07-27,00654R,富邦印度反1,twse,14.06,14.06,14.00,14.02,52000,728650,-0.07,,,32,
2018-07-27_00655L,2018-07-27,00655L,國泰中國A50正2,twse,27.67,27.90,27.36,27.64,8748800,241650790,-0.06,,,2011,
