key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2026-09-17_00400A,2026-09-17,00400A,主動國泰動能高息,twse,14.72,14.94,14.53,14.57,28176494,415348187,0.05,,,6185,,
2026-09-17_00401A,2026-09-17,00401A,主動摩根台灣鑫收,twse,13.99,14.17,13.94,13.95,5406284,75972150,0.09,,,854,,
2026-09-17_00402A,2026-09-17,00402A,主動安聯美國科技,twse,9.48,9.56,9.48,9.52,3172779,30226823,0.11,,,695,,
2026-09-17_00403A,2026-09-17,00403A,主動統一升級50,twse,10.11,10.29,10.01,10.01,170319377,1727781198,-0.01,,,23255,,
2026-09-17_00404A,2026-09-17,00404A,主動聯博動能50,twse,9.51,9.64,9.51,9.52,11321851,108461562,0.06,,,1511,,
2026-09-17_00405A,2026-09-17,00405A,主動富邦台灣龍耀,twse,8.58,8.72,8.40,8.43,62814728,538315001,-0.03,,,7203,,
2026-09-17_00406A,2026-09-17,00406A,主動中信台灣收益,twse,9.50,9.58,9.31,9.31,480086185,4517402234,-0.03,,,67332,,
2026-09-17_00407A,2026-09-17,00407A,主動凱基台灣,twse,9.50,9.61,9.34,9.35,28098431,265960572,-0.01,,,4643,,
2026-09-17_00408A,2026-09-17,00408A,主動第一金優股息,twse,10.27,10.35,10.14,10.15,2082345,21313974,-0.01,,,324,,
2026-09-17_00409A,2026-09-17,00409A,主動復華全球50,twse,9.53,9.62,9.52,9.53,13483008,128997168,0.07,,,2092,,
2026-09-17_00410A,2026-09-17,00410A,主動永豐科技趨勢,twse,11.84,12.00,11.65,11.65,4414845,52172639,-0.04,,,1119,,
2026-09-17_00411A,2026-09-17,00411A,主動統一前沿科技,tpex,9.90,9.97,9.88,9.91,16475000,163571610,0.25,,560576000,1441,,
2026-09-17_0050,2026-09-17,0050,元大台灣50,twse,107.90,109.20,107.85,108.05,49931752,5418346575,1.15,,,54509,,
2026-09-17_0051,2026-09-17,0051,元大中型100,twse,144.75,145.55,143.85,143.85,26976,3899224,1.0,,,334,,
2026-09-17_0052,2026-09-17,0052,富邦科技,twse,62.55,63.40,62.55,62.70,11729608,738507244,0.75,,,9727,,
2026-09-17_0053,2026-09-17,0053,元大電子,twse,241.35,244.85,241.25,241.95,50722,12333708,2.45,,,2175,,
2026-09-17_0055,2026-09-17,0055,元大MSCI金融,twse,50.60,51.15,50.05,50.85,1570608,79562118,0.55,,,3036,,
2026-09-17_0056,2026-09-17,0056,元大高股息,twse,55.95,56.55,55.95,56.30,26260542,1479167369,0.75,,,21087,,
2026-09-17_0057,2026-09-17,0057,富邦摩台,twse,326.05,326.05,324.10,324.10,40794,13245633,4.4,,,863,,
2026-09-17_0061,2026-09-17,0061,元大寶滬深,twse,23.84,23.99,23.80,23.88,38630,922001,0.08,,,81,,
2026-09-17_006201,2026-09-17,006201,元大富櫃50,tpex,45.45,45.68,44.20,44.34,251000,11217460,0.07,,22946000,111,,
2026-09-17_006203,2026-09-17,006203,元大MSCI台灣,twse,197.50,197.50,195.55,195.80,8869,1738927,1.15,,,237,,
2026-09-17_006204,2026-09-17,006204,永豐臺灣加權,twse,232.65,232.65,232.65,232.65,2377,552158,3.85,up,,99,,
2026-09-17_006205,2026-09-17,006205,富邦上証,twse,39.86,40.15,39.80,39.83,208345,8305402,0.08,,,187,,
2026-09-17_006206,2026-09-17,006206,元大上證50,twse,38.08,38.08,37.13,37.20,21341,794991,-0.01,,,114,,
