key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2020-12-11_0050,2020-12-11,0050,元大台灣50,twse,118.80,119.15,117.25,118.75,4798609,567107835,0.15,,,5384,
2020-12-11_0051,2020-12-11,0051,元大中型100,twse,42.94,43.25,42.25,42.70,43980,1883432,-0.18,,,37,
2020-12-11_0052,2020-12-11,0052,富邦科技,twse,107.05,107.30,105.20,107.00,1345125,142951329,-0.05,,,704,
2020-12-11_0053,2020-12-11,0053,元大電子,twse,56.30,56.30,55.40,56.25,30200,1690590,0.05,,,25,
2020-12-11_0054,2020-12-11,0054,元大台商50,twse,27.41,27.48,27.20,27.34,17000,464780,-0.07,,,9,
2020-12-11_0055,2020-12-11,0055,元大MSCI金融,twse,17.59,17.79,17.59,17.75,128244,2276148,0.19,,,81,
2020-12-11_0056,2020-12-11,0056,元大高股息,twse,29.94,30.02,29.51,29.81,18196472,541697951,-0.13,,,10574,
2020-12-11_0057,2020-12-11,0057,富邦摩台,twse,78.00,78.30,77.65,77.65,25000,1943900,-0.35,,,6,
2020-12-11_0061,2020-12-11,0061,元大寶滬深,twse,22.75,22.87,22.42,22.42,265643,5990523,-0.32,,,130,
2020-12-11_006201,2020-12-11,006201,元大富櫃50,tpex,17.51,17.60,17.05,17.25,158000,2735270,-0.26,,15446000,88,
2020-12-11_006203,2020-12-11,006203,元大MSCI台灣,twse,55.10,55.10,54.50,54.65,8000,437850,-0.45,,,8,
2020-12-11_006205,2020-12-11,006205,富邦上証,twse,36.84,37.10,36.49,36.54,1050864,38575140,-0.45,,,277,
2020-12-11_006206,2020-12-11,006206,元大上證50,twse,37.71,37.85,37.15,37.26,1389297,52237121,-0.45,,,131,
2020-12-11_006207,2020-12-11,006207,復華滬深,twse,29.59,29.59,29.22,29.25,378000,11101500,-0.45,,,75,
2020-12-11_006208,2020-12-11,006208,富邦台50,twse,66.70,66.85,65.95,66.70,1907917,126578493,0.05,,,935,
2020-12-11_00625K,2020-12-11,00625K,富邦上証+R,twse,8.47,8.47,8.47,8.47,50000,423500,-0.12,down,,2,
2020-12-11_00631L,2020-12-11,00631L,元大台灣50正2,twse,84.20,84.65,81.85,83.65,5544383,462839214,0.0,,,1482,
