key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2026-09-14_00400A,2026-09-14,00400A,主動國泰動能高息,twse,14.48,14.78,14.39,14.72,30886201,450028338,-0.08,,,9315,,
2026-09-14_00401A,2026-09-14,00401A,主動摩根台灣鑫收,twse,13.80,13.92,13.70,13.87,6642835,91820483,0.0,,,1603,,
2026-09-14_00402A,2026-09-14,00402A,主動安聯美國科技,twse,9.40,9.44,9.37,9.44,2277914,21453771,-0.02,,,603,,
2026-09-14_00403A,2026-09-14,00403A,主動統一升級50,twse,10.00,10.15,9.92,10.09,147353056,1479173876,-0.08,,,28262,,
2026-09-14_00404A,2026-09-14,00404A,主動聯博動能50,twse,9.78,9.84,9.69,9.80,21546204,210363699,-0.02,,,3964,,
2026-09-14_00405A,2026-09-14,00405A,主動富邦台灣龍耀,twse,8.42,8.64,8.35,8.56,38463675,327488100,-0.03,,,5681,,
2026-09-14_00406A,2026-09-14,00406A,主動中信台灣收益,twse,9.32,9.45,9.25,9.39,193984876,1810754711,-0.05,,,41109,,
2026-09-14_00407A,2026-09-14,00407A,主動凱基台灣,twse,9.36,9.52,9.30,9.46,21301053,200482996,-0.09,,,4779,,
2026-09-14_00408A,2026-09-14,00408A,主動第一金優股息,twse,10.18,10.29,10.08,10.22,2760136,28234974,-0.04,,,338,,
2026-09-14_00409A,2026-09-14,00409A,主動復華全球50,twse,9.54,9.56,9.45,9.53,14936158,141970606,-0.1,,,4071,,
2026-09-14_00410A,2026-09-14,00410A,主動永豐科技趨勢,twse,11.61,11.72,11.45,11.68,4672597,54282910,-0.16,,,1421,,
2026-09-14_00411A,2026-09-14,00411A,主動統一前沿科技,tpex,9.57,9.70,9.46,9.68,20319000,195198960,-0.04,,583076000,1087,,
2026-09-14_0050,2026-09-14,0050,元大台灣50,twse,106.30,107.15,105.85,106.90,91951392,9790702094,-0.8,,,164395,,
2026-09-14_0051,2026-09-14,0051,元大中型100,twse,144.00,144.00,141.00,143.45,69675,9945772,-1.3,,,646,,
2026-09-14_0052,2026-09-14,0052,富邦科技,twse,61.70,62.15,61.50,61.90,11505257,711913661,-0.65,,,17269,,
2026-09-14_0053,2026-09-14,0053,元大電子,twse,238.60,239.15,236.65,238.95,121405,28936205,-2.2,,,2961,,
2026-09-14_0055,2026-09-14,0055,元大MSCI金融,twse,49.33,50.45,48.75,50.30,1254556,62028734,0.98,,,2948,,
2026-09-14_0056,2026-09-14,0056,元大高股息,twse,54.90,55.55,54.55,55.40,18893508,1039360756,0.1,,,25946,,
2026-09-14_0057,2026-09-14,0057,富邦摩台,twse,316.10,318.75,315.90,318.35,18306,5855830,-2.9,,,1244,,
2026-09-14_0061,2026-09-14,0061,元大寶滬深,twse,23.79,24.00,23.77,23.95,35584,850024,0.03,,,109,,
2026-09-14_006201,2026-09-14,006201,元大富櫃50,tpex,42.70,43.99,42.54,43.80,105000,4531540,0.07,,22946000,61,,
2026-09-14_006203,2026-09-14,006203,元大MSCI台灣,twse,192.75,194.60,191.90,194.60,21404,4168520,-1.65,,,1416,,
2026-09-14_006204,2026-09-14,006204,永豐臺灣加權,twse,227.90,230.10,227.90,230.10,24822,5684808,-2.05,,,137,,
2026-09-14_006205,2026-09-14,006205,富邦上証,twse,39.65,39.95,39.65,39.82,171176,6818800,0.17,,,199,,
2026-09-14_006206,2026-09-14,006206,元大上證50,twse,36.72,37.33,36.72,37.19,12061,447265,0.13,,,141,,
2026-09-14_006207,2026-09-14,006207,復華滬深,twse,31.65,31.86,31.59,31.72,118834,3779982,0.01,,,146,,
2026-09-14_006208,2026-09-14,006208,富邦台50,twse,242.90,245.40,242.25,244.65,1997029,487449319,-1.45,,,14035,,
2026-09-14_00625K,2026-09-14,00625K,富邦上証+R,twse,,,,,0,0,0.0,,,0,無成交,
2026-09-14_00631L,2026-09-14,00631L,元大台灣50正2,twse,34.99,35.67,34.84,35.40,169333509,5957912190,-0.58,,,69182,,
2026-09-14_00632R,2026-09-14,00632R,元大台灣50反1,twse,10.06,10.08,9.94,9.97,134596423,1348992087,0.06,,,10799,,
2026-09-14_00633L,2026-09-14,00633L,富邦上証正2,twse,47.12,47.34,46.80,47.00,564870,26595077,-0.2,,,199,,
2026-09-14_00634R,2026-09-14,00634R,富邦上証反1,twse,3.16,3.17,3.15,3.16,74200,234486,0.01,,,12,,
2026-09-14_00635U,2026-09-14,00635U,期元大S&P黃金,twse,44.80,44.91,44.62,44.64,2300637,102934495,-0.12,,,1772,,
2026-09-14_00636,2026-09-14,00636,國泰中國A50,twse,27.13,27.28,27.06,27.18,313402,8514174,0.05,,,207,,
2026-09-14_00636K,2026-09-14,00636K,國泰中國A50+U,twse,8.60,8.60,8.60,8.60,200,1720,0.01,up,,2,,
2026-09-14_00637L,2026-09-14,00637L,元大滬深300正2,twse,19.40,19.51,19.29,19.35,11838306,229744337,-0.07,,,932,,
2026-09-14_00638R,2026-09-14,00638R,元大滬深300反1,twse,6.76,6.76,6.72,6.74,259000,1746740,0.03,,,13,,
2026-09-14_00639,2026-09-14,00639,富邦深100,twse,15.83,15.99,15.80,15.86,444936,7059993,-0.04,,,149,,
2026-09-14_00640L,2026-09-14,00640L,富邦日本正2,twse,104.40,105.35,104.10,104.80,113916,11901514,1.35,,,78,,
2026-09-14_00641R,2026-09-14,00641R,富邦日本反1,twse,3.73,3.74,3.72,3.73,477900,1780896,-0.02,,,65,,
2026-09-14_00642U,2026-09-14,00642U,期元大S&P石油,twse,33.75,33.95,33.49,33.62,2911969,98177822,0.13,,,1061,,
2026-09-14_00643,2026-09-14,00643,群益深証中小,twse,17.85,17.94,17.73,17.84,2200390,39397784,-0.01,,,159,,
2026-09-14_00643K,2026-09-14,00643K,群益深証中小+R,twse,3.78,3.78,3.77,3.77,25000,94400,-0.04,,,4,,
2026-09-14_00645,2026-09-14,00645,富邦日本,twse,57.20,57.45,57.15,57.25,138867,7951691,0.35,,,330,,
2026-09-14_00646,2026-09-14,00646,元大S&P500,twse,75.90,76.20,75.85,76.15,1404725,106930235,0.3,,,3525,,
2026-09-14_00647L,2026-09-14,00647L,元大S&P500正2,twse,135.00,135.65,135.00,135.40,16758,2271625,0.6,,,45,,
2026-09-14_00648R,2026-09-14,00648R,元大S&P500反1,twse,3.96,3.97,3.95,3.96,1334500,5283660,0.0,,,47,,
