key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2026-09-22_00400A,2026-09-22,00400A,主動國泰動能高息,twse,15.55,15.78,15.48,15.49,55410323,865163722,0.27,,1902140000,8477,,
2026-09-22_00401A,2026-09-22,00401A,主動摩根台灣鑫收,twse,14.43,14.60,14.31,14.33,7135135,103000658,0.01,,261895000,1217,,
2026-09-22_00402A,2026-09-22,00402A,主動安聯美國科技,twse,9.99,10.05,9.99,10.00,31960471,319811817,0.25,,674627000,3587,,
2026-09-22_00403A,2026-09-22,00403A,主動統一升級50,twse,10.69,10.88,10.69,10.70,581738788,6269212071,0.21,,14583019000,67674,,
2026-09-22_00404A,2026-09-22,00404A,主動聯博動能50,twse,9.94,10.03,9.86,9.87,21072980,209612350,0.07,,435795000,2625,,
2026-09-22_00405A,2026-09-22,00405A,主動富邦台灣龍耀,twse,9.13,9.36,9.12,9.23,191030167,1772667174,0.26,,2987245000,17968,,
2026-09-22_00406A,2026-09-22,00406A,主動中信台灣收益,twse,9.88,9.98,9.81,9.84,273137945,2702901742,0.14,,4968062000,35772,,
2026-09-22_00407A,2026-09-22,00407A,主動凱基台灣,twse,10.02,10.20,10.02,10.04,156104241,1578808379,0.2,,2472739000,14122,,
2026-09-22_00408A,2026-09-22,00408A,主動第一金優股息,twse,10.60,10.60,10.46,10.47,1314490,13866873,0.08,,146134000,266,,
2026-09-22_00409A,2026-09-22,00409A,主動復華全球50,twse,10.02,10.19,10.00,10.07,178677662,1807089851,0.18,,1729948000,9361,,
2026-09-22_00410A,2026-09-22,00410A,主動永豐科技趨勢,twse,12.38,12.41,12.24,12.25,5918496,73070015,0.09,,156860000,1163,,
2026-09-22_00411A,2026-09-22,00411A,主動統一前沿科技,tpex,10.45,10.53,10.45,10.48,35671000,374046980,0.26,,489076000,2369,,
2026-09-22_0050,2026-09-22,0050,元大台灣50,twse,113.35,113.75,111.85,111.85,84309564,9518572935,0.5,,22051000000,88513,,
2026-09-22_0051,2026-09-22,0051,元大中型100,twse,148.90,148.90,147.20,147.20,38534,5704762,0.4,,25000000,490,,
2026-09-22_0052,2026-09-22,0052,富邦科技,twse,65.65,65.90,64.75,64.75,16648532,1089249226,0.2,,2547000000,14158,,
2026-09-22_0053,2026-09-22,0053,元大電子,twse,254.60,254.60,251.20,251.45,161080,40717907,2.15,,10488000,1276,,
2026-09-22_0055,2026-09-22,0055,元大MSCI金融,twse,50.65,50.70,50.25,50.40,841439,42421754,-0.25,,87154000,3079,,
2026-09-22_0056,2026-09-22,0056,元大高股息,twse,57.65,57.85,56.70,56.85,38810100,2217556580,-0.3,,14074034000,37803,,
2026-09-22_0057,2026-09-22,0057,富邦摩台,twse,334.10,337.00,333.20,334.00,30189,10114856,3.0,,1527000,807,,
2026-09-22_0061,2026-09-22,0061,元大寶滬深,twse,24.22,24.36,24.22,24.27,54013,1311320,0.14,,96116000,151,,
2026-09-22_006201,2026-09-22,006201,元大富櫃50,tpex,46.89,47.33,46.55,46.58,361000,16956930,0.46,,22946000,152,,
2026-09-22_006203,2026-09-22,006203,元大MSCI台灣,twse,204.50,205.20,203.95,203.95,8960,1829841,2.35,,10218000,765,,
2026-09-22_006204,2026-09-22,006204,永豐臺灣加權,twse,238.90,239.60,238.90,239.60,22235,5312508,1.05,,1500000,113,,
2026-09-22_006205,2026-09-22,006205,富邦上証,twse,40.60,40.67,40.45,40.49,66117,2680284,0.19,,93439000,179,,
