date,foreign,trust,dealer,total
2026-01-02,-297245,430518,70257,203530
2026-01-05,-303881,87200,-18381,-235062
2026-01-06,-166172,349906,86867,270601
2026-01-07,-440791,125816,-60356,-375331
2026-01-08,-133617,2200,-52370,-183787
2026-01-09,52301,-11069,-56932,-15700
2026-01-12,-194657,45465,48982,-100210
2026-01-13,35257,-6018,-21375,7864
2026-01-14,-668253,-212600,-66404,-947257
2026-01-15,-177269,-233600,-44827,-455696
2026-01-16,-58118,2982,2603,-52533
2026-01-19,229522,44982,21474,295978
2026-01-20,-106835,-151847,-29635,-288317
2026-01-21,-252466,-63519,-80400,-396385
2026-01-22,68281,22298,27396,117975
2026-01-23,273373,-60000,63267,276640
2026-01-26,34242,982,15226,50450
2026-01-27,-309401,11000,2440,-295961
2026-01-28,-269963,-117000,-26156,-413119
2026-01-29,-610322,10500,-2570,-602392
2026-01-30,-761602,-1000,-20490,-783092
2026-02-02,-236032,-54000,2108,-287924
2026-02-03,91880,61094,80757,233731
2026-02-04,188035,68000,7030,263065
2026-02-05,-641043,73098,-41585,-609530
2026-02-06,-298740,-120304,-83363,-502407
2026-02-09,307072,123000,-1049,429023
2026-02-10,-17877,90000,-14504,57619
2026-02-11,421873,76000,14599,512472
2026-02-23,-226134,-109000,4241,-330893
2026-02-24,494268,5000,89280,588548
2026-02-25,-27687,120000,37666,129979
2026-02-26,35232,23717,24576,83525
2026-03-02,125330,-22000,-54781,48549
2026-03-03,-220860,95000,-36069,-161929
2026-03-04,-490193,106500,-59869,-443562
2026-03-05,161134,9000,15722,185856
2026-03-06,-41254,-22000,45499,-17755
2026-03-09,-853971,4516,-69289,-918744
2026-03-10,3526,1018,9831,14375
2026-03-11,834248,-15000,67079,886327
2026-03-12,77946,-5000,-12296,60650
2026-03-13,-256498,-128000,-28077,-412575
2026-03-16,-199621,-141499,-15507,-356627
2026-03-17,199341,-58000,33873,175214
2026-03-18,406551,-56331,11045,361265
2026-03-19,-183109,-97000,9469,-270640
2026-03-20,742844,-94923,89147,737068
2026-03-23,-502356,-8000,-58726,-569082
2026-03-24,-308233,-5961,-31023,-345217
2026-03-25,27606,-12923,989,15672
2026-03-26,-253892,-294910,-49963,-598765
2026-03-27,-196612,-52862,-7534,-257008
2026-03-30,-1365303,-157475,-92518,-1615296
2026-03-31,559735,-170678,-28043,361014
2026-04-01,299767,8136,34445,342348
2026-04-02,-421166,154200,21252,-245714
2026-04-07,-66597,-164929,14349,-217177
2026-04-08,355955,-95903,-4792,255260
2026-04-09,-247982,-1094,33754,-215322
2026-04-10,372140,-21941,33671,383870
2026-04-13,283271,-8058,20132,295345
2026-04-14,395774,85485,12940,494199
2026-04-15,362363,58073,-54331,366105
2026-04-16,1946311,401737,95962,2444010
2026-04-17,219529,159980,-20685,358824
2026-04-20,477523,12033,32660,522216
2026-04-21,1426252,603997,133323,2163572
2026-04-22,552690,80983,-44444,589229
2026-04-23,1123917,41983,-91341,1074559
2026-04-24,251307,94953,83000,429260
2026-04-27,-45719,111918,-32470,33729
2026-04-28,519950,-20100,-21359,478491
2026-04-29,285158,-197000,-31063,57095
2026-04-30,732148,-15899,5517,721766
2026-05-04,-179145,134000,39644,-5501
2026-05-05,165173,-516834,-35888,-387549
2026-05-06,879830,123132,155344,1158306
2026-05-07,-394636,255085,-14384,-153935
2026-05-08,190539,117000,10333,317872
2026-05-11,313794,1000,94403,409197
2026-05-12,77741,82846,-83093,77494
2026-05-13,-512510,-143009,-98808,-754327
2026-05-14,175169,62000,19228,256397
2026-05-15,400839,-80901,-69936,250002
2026-05-18,-277996,17000,43799,-217197
2026-05-19,-123664,-189,-12563,-136416
2026-05-20,126065,67849,24643,218557
2026-05-21,-126985,38000,51681,-37304
2026-05-22,-178659,5000,10446,-163213
2026-05-25,-210125,-25000,12393,-222732
2026-05-26,-291565,-81000,-1738,-374303
2026-05-27,200464,-182000,-41513,-23049
2026-05-28,181536,-224000,-77581,-120045
2026-05-29,-39387,3006,17586,-18795
2026-06-01,231091,3000,16563,250654
2026-06-02,-315809,-27000,-43868,-386677
2026-06-03,-128659,1983,-2497,-129173
2026-06-04,-3354,-230017,-17057,-250428
2026-06-05,-53013,-110000,-18077,-181090
2026-06-08,5539,13000,-32344,-13805
2026-06-09,-174170,6000,14167,-154003
2026-06-10,-60857,-6000,-58036,-124893
2026-06-11,-85539,-84983,-37383,-207905
2026-06-12,-49450,-2017,10850,-40617
2026-06-15,-125832,9000,24544,-92288
2026-06-16,24898,-35017,1632,-8487
2026-06-17,-213344,1967,31829,-179548
2026-06-18,-3880,-38235,71898,29783
2026-06-22,-526636,7000,-106,-519742
2026-06-23,61223,-134969,30210,-43536
2026-06-24,-133789,-9300,23363,-119726
2026-06-25,-311032,-49151,-13317,-373500
2026-06-26,-149585,1815,-76660,-224430
2026-06-29,215808,14046,9624,239478
2026-06-30,44337,1000,65888,111225
2026-07-01,96483,28000,53100,177583
2026-07-02,-331348,28031,196372,-106945
2026-07-03,-547682,43884,-73398,-577196
2026-07-06,-421069,3092,-98937,-516914
2026-07-07,-34990,-1000,-69977,-105967
2026-07-08,-369356,30216,13036,-326104
2026-07-09,140583,27015,14124,181722
2026-07-13,-120620,12466,-34772,-142926
2026-07-14,-521922,-70768,-91578,-684268
2026-07-15,-14114,-202281,2215,-214180
2026-07-16,21065,11108,29946,62119
2026-07-17,-296286,7029,-72389,-361646
2026-07-20,325031,22014,-31486,315559
2026-07-21,-245480,3600,38933,-202947
2026-07-22,28352,-58,-4001,24293
2026-07-23,-254277,-20014,3620,-270671
2026-07-24,-137301,-43000,-13009,-193310
2026-07-27,63270,2000,12201,77471
2026-07-28,-349365,314,-33151,-382202
2026-07-29,-550675,-51986,-21174,-623835
2026-07-30,-139193,-23000,6260,-155933
2026-07-31,-397111,26000,47810,-323301
2026-08-03,9183,1000,26523,36706
2026-08-04,-37255,9000,16390,-11865
2026-08-05,268434,7000,41303,316737
2026-08-06,128053,8000,19753,155806
2026-08-07,-40023,-13000,22776,-30247
2026-08-10,-60162,9000,5328,-45834
2026-08-11,722258,-327021,66574,461811
2026-08-12,327670,-7000,2700,323370
2026-08-13,627569,-281014,19254,365809
2026-08-14,745987,-277014,70121,539094
2026-08-17,218754,-233000,-66027,-80273
2026-08-18,-325851,-66000,-88295,-480146
2026-08-19,-566539,14000,14769,-537770
2026-08-20,37856,5000,34259,77115
2026-08-21,-213925,-29,2664,-211290
2026-08-24,-27969,-1014,-6631,-35614
2026-08-25,91633,43000,58526,193159
2026-08-26,-135239,1000,111579,-22660
2026-08-27,-198402,-3029,-46899,-248330
2026-08-28,374551,17986,114526,507063
2026-08-31,71132,117008,27436,215576
2026-09-01,145080,55500,94479,295059
2026-09-02,-42818,126957,37093,121232
2026-09-03,-102914,33000,-113205,-183119
2026-09-04,185451,2000,66995,254446
