key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,-0.11
2024-03-31_GrossProfit,2024-03-31,GrossProfit,43151000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,-18574000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,89128000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,-45977000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,-19690000.0
2024-03-31_Revenue,2024-03-31,Revenue,601345000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,26287000.0
2024-06-30_EPS,2024-06-30,EPS,-0.06
2024-06-30_GrossProfit,2024-06-30,GrossProfit,53070000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,-11810000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,84138000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,-31068000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,-9758000.0
2024-06-30_Revenue,2024-06-30,Revenue,619120000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,21310000.0
2024-09-30_EPS,2024-09-30,EPS,-0.36
2024-09-30_GrossProfit,2024-09-30,GrossProfit,50841000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,-62187000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,90515000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,-39674000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,-39285000.0
2024-09-30_Revenue,2024-09-30,Revenue,526269000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,389000.0
2024-12-31_EPS,2024-12-31,EPS,-0.22
2024-12-31_GrossProfit,2024-12-31,GrossProfit,47606000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,-37647000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,100619000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,-53013000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,-31708000.0
2024-12-31_Revenue,2024-12-31,Revenue,677745000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,21305000.0
2025-03-31_EPS,2025-03-31,EPS,0.01
2025-03-31_GrossProfit,2025-03-31,GrossProfit,87024000.0
2025-03-31_IncomeAfterTaxes,2025-03-31,IncomeAfterTaxes,1202000.0
2025-03-31_OperatingExpenses,2025-03-31,OperatingExpenses,96294000.0
2025-03-31_OperatingIncome,2025-03-31,OperatingIncome,-9270000.0
2025-03-31_PreTaxIncome,2025-03-31,PreTaxIncome,6905000.0
2025-03-31_Revenue,2025-03-31,Revenue,783046000.0
2025-03-31_TotalNonoperatingIncomeAndExpense,2025-03-31,TotalNonoperatingIncomeAndExpense,16175000.0
2025-06-30_EPS,2025-06-30,EPS,0.1
2025-06-30_GrossProfit,2025-06-30,GrossProfit,151125000.0
2025-06-30_IncomeAfterTaxes,2025-06-30,IncomeAfterTaxes,16943000.0
2025-06-30_OperatingExpenses,2025-06-30,OperatingExpenses,117119000.0
2025-06-30_OperatingIncome,2025-06-30,OperatingIncome,34006000.0
2025-06-30_PreTaxIncome,2025-06-30,PreTaxIncome,23663000.0
2025-06-30_Revenue,2025-06-30,Revenue,737591000.0
2025-06-30_TotalNonoperatingIncomeAndExpense,2025-06-30,TotalNonoperatingIncomeAndExpense,-10343000.0
2025-09-30_EPS,2025-09-30,EPS,0.39
2025-09-30_GrossProfit,2025-09-30,GrossProfit,212767000.0
2025-09-30_IncomeAfterTaxes,2025-09-30,IncomeAfterTaxes,67079000.0
2025-09-30_OperatingExpenses,2025-09-30,OperatingExpenses,148158000.0
2025-09-30_OperatingIncome,2025-09-30,OperatingIncome,64609000.0
2025-09-30_PreTaxIncome,2025-09-30,PreTaxIncome,77581000.0
2025-09-30_Revenue,2025-09-30,Revenue,908660000.0
2025-09-30_TotalNonoperatingIncomeAndExpense,2025-09-30,TotalNonoperatingIncomeAndExpense,12972000.0
2025-12-31_EPS,2025-12-31,EPS,0.43
2025-12-31_GrossProfit,2025-12-31,GrossProfit,255937000.0
2025-12-31_IncomeAfterTaxes,2025-12-31,IncomeAfterTaxes,75607000.0
2025-12-31_OperatingExpenses,2025-12-31,OperatingExpenses,158057000.0
2025-12-31_OperatingIncome,2025-12-31,OperatingIncome,97880000.0
2025-12-31_PreTaxIncome,2025-12-31,PreTaxIncome,109879000.0
2025-12-31_Revenue,2025-12-31,Revenue,1223072000.0
2025-12-31_TotalNonoperatingIncomeAndExpense,2025-12-31,TotalNonoperatingIncomeAndExpense,11999000.0
2026-03-31_EPS,2026-03-31,EPS,0.81
2026-03-31_GrossProfit,2026-03-31,GrossProfit,358262000.0
2026-03-31_IncomeAfterTaxes,2026-03-31,IncomeAfterTaxes,144062000.0
2026-03-31_OperatingExpenses,2026-03-31,OperatingExpenses,172724000.0
2026-03-31_OperatingIncome,2026-03-31,OperatingIncome,185538000.0
2026-03-31_PreTaxIncome,2026-03-31,PreTaxIncome,185592000.0
2026-03-31_Revenue,2026-03-31,Revenue,1158467000.0
2026-03-31_TotalNonoperatingIncomeAndExpense,2026-03-31,TotalNonoperatingIncomeAndExpense,54000.0
2026-06-30_EPS,2026-06-30,EPS,0.73
2026-06-30_GrossProfit,2026-06-30,GrossProfit,319258000.0
2026-06-30_IncomeAfterTaxes,2026-06-30,IncomeAfterTaxes,130547000.0
2026-06-30_OperatingExpenses,2026-06-30,OperatingExpenses,182050000.0
2026-06-30_OperatingIncome,2026-06-30,OperatingIncome,137208000.0
2026-06-30_PreTaxIncome,2026-06-30,PreTaxIncome,174794000.0
2026-06-30_Revenue,2026-06-30,Revenue,1256027000.0
2026-06-30_TotalNonoperatingIncomeAndExpense,2026-06-30,TotalNonoperatingIncomeAndExpense,37586000.0
