date,open,high,low,close,volume
2025-01-02,38.17,38.55,38.4,38.55,9000
2025-01-03,38.5,38.95,37.8,38.95,3018
2025-01-06,37.81,38.0,37.9,37.9,4200
2025-01-07,38.0,0.0,0.0,0.0,0
2025-01-08,38.0,0.0,0.0,0.0,0
2025-01-09,38.0,0.0,0.0,0.0,0
2025-01-10,38.0,0.0,0.0,0.0,0
2025-01-13,38.0,37.85,36.15,36.6,24807
2025-01-14,36.97,0.0,0.0,0.0,0
2025-01-15,36.97,36.1,36.1,36.1,1403
2025-01-16,36.1,36.1,35.95,35.95,11000
2025-01-17,36.03,36.15,36.0,36.0,3000
2025-01-20,36.1,36.25,36.1,36.1,2000
2025-01-21,36.18,35.9,35.9,35.9,65
2025-01-22,35.9,36.0,36.0,36.0,1000
2025-02-03,36.0,36.65,35.1,35.1,68
2025-02-04,35.28,0.0,0.0,0.0,0
2025-02-05,35.28,0.0,0.0,0.0,0
2025-02-06,35.28,0.0,0.0,0.0,0
2025-02-07,35.28,36.65,36.65,36.65,74
2025-02-10,36.65,36.6,36.6,36.6,14
2025-02-11,36.6,35.25,35.1,35.1,1120
2025-02-12,35.12,36.65,36.65,36.65,9
2025-02-13,36.65,0.0,0.0,0.0,0
2025-02-14,36.65,35.4,34.85,35.4,20200
2025-02-17,35.03,0.0,0.0,0.0,0
2025-02-18,35.03,0.0,0.0,0.0,0
2025-02-19,35.03,34.9,34.9,34.9,1000
2025-02-20,34.9,0.0,0.0,0.0,0
2025-02-21,34.9,35.3,35.15,35.3,6000
2025-02-24,35.23,35.05,35.05,35.05,1
2025-02-25,35.05,0.0,0.0,0.0,0
2025-02-26,35.05,35.2,35.2,35.2,1058
2025-02-27,35.2,35.15,35.15,35.15,43
2025-03-03,35.15,35.1,35.1,35.1,34
2025-03-04,35.1,0.0,0.0,0.0,0
2025-03-05,35.1,35.05,35.0,35.0,2233
2025-03-06,35.0,35.0,35.0,35.0,20
2025-03-07,35.0,35.0,34.9,34.9,5000
2025-03-10,34.98,35.1,34.95,35.0,6560
2025-03-11,34.97,35.4,34.85,35.4,12050
2025-03-12,35.12,34.9,34.8,34.9,4000
2025-03-13,34.83,0.0,0.0,0.0,0
2025-03-14,34.83,34.6,34.25,34.5,22000
2025-03-17,34.44,34.5,33.9,34.15,20036
2025-03-18,34.14,34.95,34.7,34.7,2010
2025-03-19,34.86,0.0,0.0,0.0,0
2025-03-20,34.86,34.15,33.4,33.9,44500
