date,per,pbr,dividend_yield
2025-01-02,31.75,8.95,1.13
2025-01-03,32.21,9.08,1.12
2025-01-06,32.37,9.12,1.11
2025-01-07,32.89,9.27,1.09
2025-01-08,31.75,8.95,1.13
2025-01-09,29.63,8.35,1.21
2025-01-10,28.34,7.99,1.27
2025-01-13,26.64,7.51,1.35
2025-01-14,26.85,7.56,1.34
2025-01-15,25.92,7.3,1.39
2025-01-16,27.21,7.67,1.32
2025-01-17,27.36,7.71,1.31
2025-01-20,29.17,8.22,1.23
2025-01-21,28.5,8.03,1.26
2025-01-22,29.89,8.42,1.2
2025-02-03,26.95,7.59,1.33
2025-02-04,26.23,7.39,1.37
2025-02-05,27.16,7.65,1.32
2025-02-06,27.62,7.78,1.3
2025-02-07,28.34,7.99,1.27
2025-02-10,27.77,7.83,1.29
2025-02-11,28.14,7.93,1.28
2025-02-12,28.55,8.04,1.26
2025-02-13,28.7,8.09,1.25
2025-02-14,28.91,8.15,1.24
2025-02-17,29.01,8.17,1.24
2025-02-18,29.89,8.42,1.2
2025-02-19,29.12,8.2,1.23
2025-02-20,29.07,8.19,1.24
2025-02-21,29.32,8.26,1.23
2025-02-24,27.98,7.88,1.28
2025-02-25,27.26,7.68,1.32
2025-02-26,28.34,7.99,1.27
2025-02-27,27.72,7.81,1.3
2025-03-03,26.79,7.55,1.34
2025-03-04,27.57,7.77,1.3
2025-03-05,29.22,8.23,1.23
2025-03-06,29.74,8.38,1.21
2025-03-07,28.86,8.13,1.25
2025-03-10,29.12,8.2,1.23
2025-03-11,28.91,8.15,1.24
2025-03-12,26.38,7.47,1.25
2025-03-13,26.85,7.6,1.23
2025-03-14,27.32,7.73,1.74
2025-03-17,26.61,7.53,1.78
2025-03-18,26.76,7.57,1.77
2025-03-19,25.28,7.16,1.88
2025-03-20,26.14,7.4,1.81
2025-03-21,25.38,7.18,1.87
2025-03-24,24.67,6.98,1.92
2025-03-25,24.95,7.06,1.9
2025-03-26,25.24,7.14,1.88
2025-03-27,25.14,7.12,1.89
2025-03-28,23.91,6.77,1.98
2025-03-31,21.54,6.1,2.2
2025-04-01,21.75,6.16,2.18
2025-04-02,22.11,6.26,2.15
2025-04-07,19.9,5.63,2.38
2025-04-08,17.93,5.08,2.65
2025-04-09,16.15,4.57,2.94
2025-04-10,17.77,5.03,2.67
2025-04-11,19.52,5.53,2.43
2025-04-14,20.02,5.67,2.37
2025-04-15,20.64,5.84,2.3
2025-04-16,19.71,5.58,2.41
