date,foreign,trust,dealer,total
2026-01-02,-581010,-660228,24745,-1216493
2026-01-05,417636,-777178,85447,-274095
2026-01-06,-635417,-1282383,139505,-1778295
2026-01-07,306305,-1316957,95796,-914856
2026-01-08,227668,-441364,264377,50681
2026-01-09,-1062685,-72607,85147,-1050145
2026-01-12,-539921,-994303,-27185,-1561409
2026-01-13,133472,-461395,-71462,-399385
2026-01-14,824695,-28317,87934,884312
2026-01-15,-966533,-329961,-101553,-1398047
2026-01-16,-260260,-661391,-76705,-998356
2026-01-19,504706,-1406072,-409909,-1311275
2026-01-20,1030135,-1421727,60704,-330888
2026-01-21,462728,-140000,-138366,184362
2026-01-22,382520,-123159,257349,516710
2026-01-23,283400,-159200,-19624,104576
2026-01-26,385329,-22731,-60933,301665
2026-01-27,1459319,-17000,176097,1618416
2026-01-28,1694745,-408280,-16579,1269886
2026-01-29,4780510,154000,-227024,4707486
2026-01-30,-197686,-149000,-127726,-474412
2026-02-02,2039096,571001,139682,2749779
2026-02-03,4695167,442950,289378,5427495
2026-02-04,1107441,556244,61417,1725102
2026-02-05,285442,156527,-132408,309561
2026-02-06,228443,125248,-194832,158859
2026-02-09,-1075689,72000,-81305,-1084994
2026-02-10,854363,-116000,-38611,699752
2026-02-11,112538,-225001,-19443,-131906
2026-02-23,-1182961,-198000,-350879,-1731840
2026-02-24,563474,-237300,55018,381192
2026-02-25,854294,293450,328361,1476105
2026-02-26,2218540,29682,268948,2517170
2026-03-02,626072,365000,38014,1029086
2026-03-03,1380083,347200,63386,1790669
2026-03-04,196223,630366,-99031,727558
2026-03-05,-213701,296000,76643,158942
2026-03-06,-432497,240217,49094,-143186
2026-03-09,-898517,118072,-201877,-982322
2026-03-10,-632838,110521,-36530,-558847
2026-03-11,1408508,45000,179870,1633378
2026-03-12,428646,163501,-60348,531799
2026-03-13,-217154,171000,-130919,-177073
2026-03-16,-306254,-27998,-101739,-435991
2026-03-17,418507,245207,53919,717633
2026-03-18,-844172,-82928,-221210,-1148310
2026-03-19,3046184,216600,95990,3358774
2026-03-20,198336,439072,-49285,588123
2026-03-23,-579010,145000,-25153,-459163
2026-03-24,-682315,48079,-70589,-704825
2026-03-25,1230127,181076,56555,1467758
2026-03-26,1488590,430170,20410,1939170
2026-03-27,-1474446,151307,34732,-1288407
2026-03-30,-59861,-29663,36558,-52966
2026-03-31,-510352,176282,-27995,-362065
2026-04-01,-550215,391216,70487,-88512
2026-04-02,-52280,105000,-131360,-78640
2026-04-07,-333034,160261,1698,-171075
2026-04-08,1064209,27762,156203,1248174
2026-04-09,12744,-18751,-111692,-117699
2026-04-10,60337,-31627,27593,56303
2026-04-13,-918145,9587,-7250,-915808
2026-04-14,663682,63343,64203,791228
2026-04-15,-416747,170174,-79709,-326282
2026-04-16,-207000,38560,66046,-102394
2026-04-17,-1101238,123920,-48946,-1026264
2026-04-20,120012,319737,47180,486929
2026-04-21,-446700,122200,-46216,-370716
2026-04-22,-293727,228054,59795,-5878
2026-04-23,-924716,763902,-46509,-207323
2026-04-24,341109,228805,92290,662204
2026-04-27,-836957,282443,-57282,-611796
2026-04-28,-515779,-117859,33446,-600192
2026-04-29,629918,60839,19079,709836
2026-04-30,-403569,130000,60235,-213334
2026-05-04,565145,157000,12647,734792
2026-05-05,-1427997,-989949,-72390,-2490336
2026-05-06,-360156,-2900976,-90505,-3351637
2026-05-07,-554454,-1396523,157561,-1793416
2026-05-08,-696016,235500,51887,-408629
2026-05-11,-238570,603041,50029,414500
2026-05-12,-1080776,785224,-50934,-346486
2026-05-13,63496,1345859,6868,1416223
2026-05-14,-1172259,309226,-44826,-907859
2026-05-15,-610560,168476,-219429,-661513
2026-05-18,-775453,201001,8351,-566101
2026-05-19,-569522,187615,-3569,-385476
2026-05-20,-815610,164000,-158349,-809959
2026-05-21,-259852,275231,89318,104697
2026-05-22,-84171,133714,16098,65641
2026-05-25,-800507,-32000,14176,-818331
2026-05-26,1123054,595023,91709,1809786
2026-05-27,207002,291000,-112964,385038
2026-05-28,-459121,65000,-74322,-468443
2026-05-29,232388,298876,43562,574826
2026-06-01,645540,67001,64200,776741
2026-06-02,-272021,-118000,-5762,-395783
2026-06-03,1667080,52632,-20729,1698983
2026-06-04,-1164520,111932,-83591,-1136179
2026-06-05,-503980,-192935,-108296,-805211
2026-06-08,359882,-2000,19862,377744
2026-06-09,-675764,32829,-45813,-688748
2026-06-10,-768729,-264687,-157460,-1190876
2026-06-11,111697,318067,125486,555250
2026-06-12,-79511,-100068,38274,-141305
2026-06-15,-2052,-147608,23685,-125975
2026-06-16,41329,-736412,26326,-668757
2026-06-17,531443,-1292136,17121,-743572
2026-06-18,268017,-452698,46977,-137704
2026-06-22,323124,-283367,47217,86974
2026-06-23,37175,57906,-20726,74355
2026-06-24,862102,-105000,57179,814281
2026-06-25,-344789,159200,-23992,-209581
2026-06-26,-2053769,166062,-126675,-2014382
2026-06-29,312425,214187,19928,546540
2026-06-30,1693823,259000,57941,2010764
2026-07-01,870718,308000,51980,1230698
2026-07-02,115408,1231925,76172,1423505
2026-07-03,295252,398750,-59085,634917
2026-07-06,-351451,195375,-3700,-159776
2026-07-07,-489595,81200,-122885,-531280
2026-07-08,106777,-10524,-24977,71276
2026-07-09,21317,-27837,-15567,-22087
2026-07-13,-547528,-177022,-32519,-757069
2026-07-14,279161,-291059,-41428,-53326
2026-07-15,76710,-157936,-86829,-168055
2026-07-16,-1008358,184039,105497,-718822
2026-07-17,-132482,252619,1675,121812
2026-07-20,-953898,456059,49760,-448079
2026-07-21,-425532,451200,90727,116395
2026-07-22,-661918,11765,-47208,-697361
2026-07-23,1382746,192941,61879,1637566
2026-07-24,-517302,659000,19911,161609
2026-07-27,-243809,168000,12660,-63149
2026-07-28,-282537,298059,29353,44875
2026-07-29,-76055,-137941,44807,-169189
2026-07-30,-212198,337246,16412,141460
2026-07-31,-258198,478390,113793,333985
2026-08-03,825060,571000,44139,1440199
2026-08-04,506495,527110,-84624,948981
2026-08-05,794266,524300,54535,1373101
2026-08-06,2310535,908000,44688,3263223
2026-08-07,-239960,527200,-43735,243505
2026-08-10,-294723,120179,59986,-114558
2026-08-11,-5669,-19858,149218,123691
2026-08-12,139001,-32000,153366,260367
2026-08-13,1859948,698941,40876,2599765
2026-08-14,1107981,784941,-196780,1696142
2026-08-17,391142,-519000,33163,-94695
2026-08-18,828512,-589100,-45819,193593
2026-08-19,45475,534000,-228463,351012
2026-08-20,-400838,99656,-6220,-307402
2026-08-21,-67825,44883,-56694,-79636
2026-08-24,384959,46836,28409,460204
2026-08-25,88378,50000,58434,196812
2026-08-26,-622069,440846,119479,-61744
2026-08-27,-383807,934092,206962,757247
2026-08-28,-33669,626941,-89303,503969
2026-08-31,494312,-161104,5734,338942
2026-09-01,-176363,176000,-18128,-18491
2026-09-02,296188,-242676,-52596,916
2026-09-03,375859,104084,-58851,421092
