date,foreign,trust,dealer,total
2026-01-02,90837,-49000,-17939,23898
2026-01-05,172588,-64000,7657,116245
2026-01-06,-56445,-5000,-2346,-63791
2026-01-07,318352,-117000,8790,210142
2026-01-08,524170,-24000,-14311,485859
2026-01-09,1281881,-23000,143340,1402221
2026-01-12,666569,-31000,75330,710899
2026-01-13,177107,-21000,-49295,106812
2026-01-14,126921,-7000,-17637,102284
2026-01-15,-136220,-13000,-36316,-185536
2026-01-16,102383,-110000,-23429,-31046
2026-01-19,10585,-21000,1260,-9155
2026-01-20,154535,-3000,-5175,146360
2026-01-21,429025,-9000,-29085,390940
2026-01-22,4358,-30000,51371,25729
2026-01-23,585043,-26000,31369,590412
2026-01-26,206095,-168000,18077,56172
2026-01-27,90739,-51000,-12489,27250
2026-01-28,-9992,-3000,-12718,-25710
2026-01-29,186046,-129000,-37482,19564
2026-01-30,105706,-5000,-28612,72094
2026-02-02,117495,-169000,-31719,-83224
2026-02-03,238231,-13000,19923,245154
2026-02-04,111908,-14000,35366,133274
2026-02-05,182157,-2000,-55599,124558
2026-02-06,-68285,0,-21170,-89455
2026-02-09,-708984,-85000,-22764,-816748
2026-02-10,-205606,72000,-6090,-139696
2026-02-11,3813,-40000,2848,-33339
2026-02-23,339057,-116000,-54356,168701
2026-02-24,52870,-99000,-13477,-59607
2026-02-25,-46701,-106000,-12847,-165548
2026-02-26,482270,-285000,18914,216184
2026-03-02,11935,-85000,-11083,-84148
2026-03-03,-319462,-57000,-39664,-416126
2026-03-04,-259665,-7000,-27201,-293866
2026-03-05,126150,-82000,1249,45399
2026-03-06,-870,-28000,905,-27965
2026-03-09,-127485,3000,-26976,-151461
2026-03-10,352790,-1000,6278,358068
2026-03-11,244608,-6000,16477,255085
2026-03-12,9301,-31000,10480,-11219
2026-03-13,233575,-1000,-41900,190675
2026-03-16,156866,465000,10037,631903
2026-03-17,15815,491000,-14004,492811
2026-03-18,-47874,223000,1900,177026
2026-03-19,-136932,498000,15997,377065
2026-03-20,213212,-165848,2192,49556
2026-03-23,142580,16000,-10695,147885
2026-03-24,236620,450000,-2922,683698
2026-03-25,497595,482949,21200,1001744
2026-03-26,-156587,-49,-12765,-169401
2026-03-27,-148960,-9143,-10033,-168136
2026-03-30,18890,-126,-11342,7422
2026-03-31,57632,-3157,4466,58941
2026-04-01,86752,0,1711,88463
2026-04-02,5320,-1000,442,4762
2026-04-07,-10769,-12000,-1851,-24620
2026-04-08,-31691,-3000,9209,-25482
2026-04-09,31890,-3000,55,28945
2026-04-10,226600,-3146,9636,233090
2026-04-13,460641,4000,129211,593852
2026-04-14,1320344,577000,138491,2035835
2026-04-15,-454159,214000,-154473,-394632
2026-04-16,105273,-11000,25058,119331
2026-04-17,-173107,-39000,-24909,-237016
2026-04-20,1525740,-422000,76405,1180145
2026-04-21,-181289,-275000,-14529,-470818
2026-04-22,1753034,-1093000,23167,683201
2026-04-23,678397,-346000,-79345,253052
2026-04-24,305851,-248000,2911,60762
2026-04-27,614130,-1016000,5863,-396007
2026-04-28,1010216,-989000,5288,26504
2026-04-29,538830,-283000,24667,280497
2026-04-30,239389,-90000,-4642,144747
2026-05-04,618373,-10000,113956,722329
2026-05-05,-639398,0,-34077,-673475
2026-05-06,30422,-30000,-20707,-20285
2026-05-07,-52825,-40000,-2024,-94849
2026-05-08,-360833,-34000,-8134,-402967
2026-05-11,35445,-17000,-947,17498
2026-05-12,-37636,-49000,66068,-20568
2026-05-13,80798,-33000,-12405,35393
2026-05-14,786005,-40000,141747,887752
2026-05-15,701938,4000,19824,725762
2026-05-18,-453456,0,-34391,-487847
2026-05-19,-42595,-15000,-95259,-152854
2026-05-20,32696,-8000,-45052,-20356
2026-05-21,262992,-9000,33337,287329
2026-05-22,157986,-16000,58662,200648
2026-05-25,335438,-1000,26011,360449
2026-05-26,306701,-16000,-30528,260173
2026-05-27,174730,-32000,16067,158797
2026-05-28,157349,-31000,-25778,100571
2026-05-29,292298,-1000,108063,399361
2026-06-01,-122524,15000,-62282,-169806
2026-06-02,22174,26000,-57326,-9152
