date,foreign,trust,dealer,total
2026-01-02,-624916,128000,137675,-359241
2026-01-05,368032,151152,142404,661588
2026-01-06,-393180,57632,178081,-157467
2026-01-07,323953,-142288,-66291,115374
2026-01-08,379135,2956,-136724,245367
2026-01-09,243896,55812,-80433,219275
2026-01-12,-169657,-4042,52793,-120906
2026-01-13,-54848,33914,-77702,-98636
2026-01-14,-302576,35915,-9077,-275738
2026-01-15,530717,329357,18999,879073
2026-01-16,-273753,11915,-30115,-291953
2026-01-19,30339,96000,139115,265454
2026-01-20,-143265,121689,-150688,-172264
2026-01-21,27548,152000,-153740,25808
2026-01-22,-97801,-348042,143261,-302582
2026-01-23,1030830,87976,79456,1198262
2026-01-26,-366720,-19042,-41346,-427108
2026-01-27,20751,-349098,-79269,-407616
2026-01-28,-318486,-196000,-45592,-560078
2026-01-29,499957,32501,-62224,470234
2026-01-30,-787020,320441,59400,-407179
2026-02-02,-86091,291976,-116416,89469
2026-02-03,-483956,372363,-123306,-234899
2026-02-04,-1285387,-51479,-104402,-1441268
2026-02-05,733863,-41358,-54385,638120
2026-02-06,-112028,15066,-47678,-144640
2026-02-09,-186357,143441,-52471,-95387
2026-02-10,404990,-49000,38282,394272
2026-02-11,63349,-91001,-13444,-41096
2026-02-23,359017,-348177,-98272,-87432
2026-02-24,203356,-61783,96807,238380
2026-02-25,314515,7000,46441,367956
2026-02-26,897825,517508,3022,1418355
2026-03-02,-385295,69000,-36183,-352478
2026-03-03,-237969,-51000,-61171,-350140
2026-03-04,416419,-45170,-114332,256917
2026-03-05,-4209,-23000,-22982,-50191
2026-03-06,82403,-71000,17959,29362
2026-03-09,-40103,-53000,-124431,-217534
2026-03-10,93409,-16000,-55646,21763
2026-03-11,91192,-125000,84697,50889
2026-03-12,204417,-240000,7802,-27781
2026-03-13,233530,-196210,-17583,19737
2026-03-16,-41909,-209049,-17826,-268784
2026-03-17,74169,24000,-5566,92603
2026-03-18,405217,89000,180309,674526
2026-03-19,-451102,1045503,-58993,535408
2026-03-20,99123,541375,-86083,554415
2026-03-23,112791,169368,-53444,228715
2026-03-24,-60140,112037,-37974,13923
2026-03-25,-370073,119164,22688,-228221
2026-03-26,377142,-318859,78926,137209
2026-03-27,-157235,9136,-2266,-150365
2026-03-30,246620,-72858,-36029,137733
2026-03-31,310874,17394,-120169,208099
2026-04-01,-88417,35583,13235,-39599
2026-04-02,82611,233197,-16027,299781
2026-04-07,-47625,-11822,15480,-43967
2026-04-08,550,-90733,88300,-1883
2026-04-09,469766,43252,280928,793946
2026-04-10,-182941,57830,174506,49395
2026-04-13,47816,64033,50629,162478
2026-04-14,187533,135399,11316,334248
2026-04-15,-147231,209421,-166534,-104344
2026-04-16,113054,163420,27714,304188
2026-04-17,-74129,98948,108183,133002
2026-04-20,-99656,46715,35150,-17791
2026-04-21,-179414,53648,-34930,-160696
2026-04-22,-418463,3990,98045,-316428
2026-04-23,55038,4285,-65350,-6027
2026-04-24,158935,-259348,42625,-57788
2026-04-27,82165,-5739,184488,260914
2026-04-28,73090,1098,35629,109817
2026-04-29,-47994,-129253,-1488,-178735
2026-04-30,108219,1000,35821,145040
2026-05-04,-407586,1029,6743,-399814
2026-05-05,-861282,335960,-21619,-546941
2026-05-06,-645005,605292,-83436,-123149
2026-05-07,-86982,362363,9629,285010
2026-05-08,-176659,367000,-116337,74004
2026-05-11,490807,52949,-44177,499579
