date,per,pbr,dividend_yield
2025-01-02,51.94,16.48,1.09
2025-01-03,51.33,16.29,1.1
2025-01-06,54.16,17.19,1.04
2025-01-07,54.16,17.19,1.04
2025-01-08,52.14,16.55,1.09
2025-01-09,52.34,16.61,1.08
2025-01-10,51.33,16.29,1.1
2025-01-13,47.7,15.14,1.19
2025-01-14,48.71,15.46,1.16
2025-01-15,48.3,15.33,1.17
2025-01-16,50.73,16.1,1.12
2025-01-17,49.51,15.72,1.14
2025-01-20,53.56,17.0,1.06
2025-01-21,53.76,17.06,1.05
2025-01-22,53.35,16.93,1.06
2025-02-03,49.71,15.19,1.09
2025-02-04,51.07,15.6,1.06
2025-02-05,52.43,16.02,1.04
2025-02-06,51.46,15.72,1.06
2025-02-07,53.59,16.37,1.01
2025-02-10,51.84,15.84,1.05
2025-02-11,52.43,16.02,1.04
2025-02-12,51.84,15.84,1.05
2025-02-13,51.84,15.84,1.2
2025-02-14,51.26,15.66,1.21
2025-02-17,54.95,16.79,1.13
2025-02-18,56.31,17.2,1.1
2025-02-19,55.15,16.85,1.13
2025-02-20,54.95,16.79,1.13
2025-02-21,54.56,16.67,1.14
2025-02-24,54.95,16.79,1.13
2025-02-25,54.76,16.73,1.13
2025-02-26,54.17,16.55,1.15
2025-02-27,52.04,15.9,1.19
2025-03-03,51.26,15.66,1.21
2025-03-04,49.9,15.25,1.25
2025-03-05,51.07,15.6,1.22
2025-03-06,51.84,15.84,1.2
2025-03-07,50.1,15.31,1.24
2025-03-10,48.74,14.89,1.27
2025-03-11,46.99,14.36,1.32
2025-03-12,46.99,14.36,1.32
2025-03-13,45.63,13.94,1.36
2025-03-14,46.8,14.3,1.33
2025-03-17,46.6,14.24,1.33
2025-03-18,46.41,14.18,1.34
2025-03-19,45.24,13.82,1.37
2025-03-20,46.21,14.12,1.34
2025-03-21,45.44,13.88,1.37
2025-03-24,46.41,14.18,1.34
2025-03-25,46.8,14.3,1.33
2025-03-26,47.77,14.59,1.3
2025-03-27,46.21,14.12,1.34
2025-03-28,44.85,13.7,1.39
2025-03-31,40.78,12.46,1.52
2025-04-01,42.14,12.87,1.47
2025-04-02,43.11,13.17,1.44
2025-04-07,38.8,11.85,1.6
2025-04-08,34.95,10.68,1.78
2025-04-09,33.13,10.12,1.88
2025-04-10,36.43,11.13,1.71
2025-04-11,38.1,11.64,1.63
2025-04-14,38.52,11.77,1.61
2025-04-15,39.42,12.04,1.58
2025-04-16,37.51,11.46,1.66
2025-04-17,38.52,11.77,1.61
2025-04-18,38.14,11.65,1.63
2025-04-21,37.17,11.36,1.67
2025-04-22,35.65,10.89,1.74
2025-04-23,38.06,11.63,1.63
2025-04-24,37.44,11.44,1.66
2025-04-25,34.99,10.68,1.63
2025-04-28,36.81,11.24,1.55
2025-04-29,37.35,11.4,1.53
2025-04-30,36.63,11.19,1.56
2025-05-02,38.78,11.84,1.47
2025-05-05,39.85,12.17,1.43
2025-05-06,38.42,11.73,1.49
2025-05-07,38.96,11.9,1.47
2025-05-08,39.49,12.06,1.45
2025-05-09,39.31,12.0,1.45
2025-05-12,41.1,12.55,1.39
2025-05-13,41.1,12.55,1.39
2025-05-14,41.1,12.55,1.39
2025-05-15,40.92,12.5,1.4
2025-05-16,41.28,12.61,1.39
2025-05-19,40.03,12.22,1.43
2025-05-20,40.74,12.44,1.4
2025-05-21,41.99,12.82,1.36
2025-05-22,41.28,12.61,1.39
2025-05-23,40.74,12.44,1.4
2025-05-26,39.85,12.17,1.43
2025-05-27,39.85,12.17,1.43
2025-05-28,41.46,12.66,1.38
2025-05-29,41.64,12.71,1.37
2025-06-02,39.14,11.95,1.46
2025-06-03,39.67,12.11,1.44
2025-06-04,42.17,12.88,1.36
2025-06-05,42.17,12.88,1.36
2025-06-06,40.56,12.39,1.41
2025-06-09,40.21,12.28,1.42
2025-06-10,41.1,12.55,1.39
2025-06-11,41.64,12.71,1.37
2025-06-12,40.92,12.5,1.4
2025-06-13,39.14,11.95,1.46
2025-06-16,38.24,11.68,1.5
2025-06-17,38.78,11.84,1.47
2025-06-18,38.06,11.62,1.5
2025-06-19,38.06,11.62,1.5
2025-06-20,38.06,11.62,1.5
2025-06-23,38.06,11.62,1.5
2025-06-24,39.85,12.17,1.43
2025-06-25,43.78,13.37,1.31
2025-06-26,43.42,13.26,1.32
2025-06-27,46.64,14.24,1.23
2025-06-30,46.64,14.24,1.23
2025-07-01,46.82,14.3,1.22
2025-07-02,47.36,14.46,1.21
2025-07-03,45.39,13.86,1.26
2025-07-04,44.85,13.7,1.27
2025-07-07,45.03,13.75,1.27
2025-07-08,43.6,13.31,1.31
2025-07-09,43.78,13.37,1.31
2025-07-10,44.14,13.48,1.3
2025-07-11,44.67,13.64,1.28
2025-07-14,43.42,13.26,1.32
