date,margin_balance,short_balance,margin_limit,offset
2026-01-02,7118,0,400978,0
2026-01-05,6927,0,400978,0
2026-01-06,7049,14,400978,22
2026-01-07,6877,22,400978,13
2026-01-08,6794,9,400978,0
2026-01-09,6746,21,400978,0
2026-01-12,6718,20,400978,0
2026-01-13,6346,36,400978,5
2026-01-14,6099,49,400978,0
2026-01-15,6120,40,400978,1
2026-01-16,5976,49,400978,1
2026-01-19,5969,55,400978,2
2026-01-20,5886,66,400978,0
2026-01-21,5872,54,400978,3
2026-01-22,5813,74,400978,3
2026-01-23,7023,135,400978,4
2026-01-26,7093,115,400978,4
2026-01-27,6876,104,400978,7
2026-01-28,6765,88,400978,10
2026-01-29,6700,94,400978,1
2026-01-30,6306,82,400978,0
2026-02-02,6342,93,400978,0
2026-02-03,6833,100,400978,2
2026-02-04,7181,94,400978,5
2026-02-05,6374,97,400978,2
2026-02-06,5669,50,400978,1
2026-02-09,5800,67,400978,2
2026-02-10,5848,63,400978,4
2026-02-11,5687,67,400978,2
2026-02-23,5717,54,400978,0
2026-02-24,5825,53,400978,0
2026-02-25,5697,58,400978,3
2026-02-26,5787,63,400978,1
2026-03-02,5727,59,400978,2
2026-03-03,5814,49,400978,0
2026-03-04,5866,45,400978,1
2026-03-05,5849,55,400978,2
2026-03-06,5873,58,400978,0
2026-03-09,5669,43,400976,1
2026-03-10,5730,37,400976,1
2026-03-11,5799,43,400976,1
2026-03-12,5869,44,400976,0
2026-03-13,6001,31,400976,0
2026-03-16,6017,29,400976,1
2026-03-17,5983,31,400976,1
2026-03-18,5954,25,400976,0
2026-03-19,6038,11,400976,0
2026-03-20,6006,4,400976,0
2026-03-23,6160,0,400976,0
2026-03-24,6120,0,400976,0
2026-03-25,6309,0,400976,0
2026-03-26,6255,0,400976,0
2026-03-27,6141,1,400976,12
2026-03-30,6268,3,400976,10
2026-03-31,6105,3,400976,0
2026-04-01,6375,5,400976,1
2026-04-02,6373,9,400976,1
2026-04-07,6420,6,400976,1
2026-04-08,6488,5,400976,0
2026-04-09,6500,9,400976,0
2026-04-10,6375,9,400976,0
2026-04-13,6674,11,400976,0
2026-04-14,7296,29,400976,5
2026-04-15,7166,51,400976,5
2026-04-16,8134,57,400976,3
2026-04-17,7864,65,400976,3
2026-04-20,7672,67,400976,2
2026-04-21,8690,139,400976,5
2026-04-22,9332,214,400976,8
2026-04-23,8615,156,400976,7
2026-04-24,9009,193,400976,5
2026-04-27,9000,211,400976,13
2026-04-28,9609,234,400976,11
2026-04-29,9538,209,400976,5
2026-04-30,9055,201,400976,8
2026-05-04,9947,214,400976,0
2026-05-05,9234,241,400976,0
2026-05-06,7903,246,400976,9
2026-05-07,7775,192,400976,724
2026-05-08,8122,195,400976,849
2026-05-11,8400,234,400976,667
2026-05-12,8444,165,400976,660
2026-05-13,8606,150,400976,1037
2026-05-14,8481,116,400976,506
2026-05-15,8421,144,400976,644
2026-05-18,8946,135,400976,733
2026-05-19,9389,122,400976,582
2026-05-20,10297,96,400976,745
2026-05-21,10430,106,400976,1
2026-05-22,10928,102,400976,9
2026-05-25,11526,119,400976,0
2026-05-26,11531,115,400973,8
2026-05-27,11176,130,400973,1
2026-05-28,10582,115,400973,4
2026-05-29,11307,100,400973,4
2026-06-01,11264,103,400973,15
2026-06-02,11266,94,400973,10
2026-06-03,11381,98,400973,8
2026-06-04,11360,103,400973,2
2026-06-05,11243,88,400973,19
2026-06-08,11408,95,400973,11
2026-06-09,11992,117,400973,4
2026-06-10,11365,94,400973,5
2026-06-11,11170,66,400973,11
2026-06-12,10946,60,400973,14
2026-06-15,10832,67,400973,4
2026-06-16,10378,70,400973,11
2026-06-17,10431,61,400973,5
2026-06-18,9932,57,400973,1
2026-06-22,9632,57,400973,6
2026-06-23,9940,57,400973,8
2026-06-24,10127,46,400973,3
2026-06-25,9987,43,400973,2
2026-06-26,9853,171,400973,4
2026-06-29,9957,106,400973,1
2026-06-30,10375,34,400973,8
2026-07-01,10294,0,400973,0
2026-07-02,10697,0,400973,0
2026-07-03,10801,0,400973,0
2026-07-06,10558,0,400973,0
2026-07-07,10067,14,400973,46
2026-07-08,10135,8,400973,17
2026-07-09,10182,7,400973,0
2026-07-13,10233,10,400973,2
2026-07-14,9859,12,400973,5
2026-07-15,9927,8,400973,6
2026-07-16,9868,25,400973,4
2026-07-17,9497,28,400973,0
2026-07-20,9379,35,400973,3
2026-07-21,9548,60,400973,4
2026-07-22,9818,27,400973,5
2026-07-23,9665,31,400973,3
2026-07-24,9704,35,400973,5
2026-07-27,9903,34,400973,1
2026-07-28,9764,40,400973,3
2026-07-29,9087,13,400973,0
2026-07-30,9448,30,400973,9
2026-07-31,10016,39,400973,0
2026-08-03,9877,62,400973,10
2026-08-04,9916,32,400973,3
2026-08-05,9907,34,400973,1
2026-08-06,9974,33,400973,1
2026-08-07,10104,31,400973,3
2026-08-10,10133,34,400973,0
2026-08-11,10079,43,400973,1
2026-08-12,10009,44,400973,6
2026-08-13,10038,57,400973,9
2026-08-14,9741,67,400973,8
2026-08-17,9573,60,400973,2
2026-08-18,9393,50,400973,1
2026-08-19,9530,49,400973,1
2026-08-20,9546,34,400973,0
2026-08-21,9502,41,400973,0
2026-08-24,9460,39,400973,0
2026-08-25,9354,34,400973,1
2026-08-26,9665,36,400973,1
2026-08-27,9660,34,400973,1
2026-08-28,9623,38,400973,0
2026-08-31,9599,34,400973,2
2026-09-01,9788,35,400973,0
