date,margin_balance,short_balance,margin_limit,offset
2026-01-02,6360,572,23120,5
2026-01-05,6448,593,23120,7
2026-01-06,7094,561,23120,8
2026-01-07,7114,572,23120,4
2026-01-08,6892,568,23120,12
2026-01-09,6747,812,23120,26
2026-01-12,6893,884,23120,1
2026-01-13,6104,1031,23120,15
2026-01-14,5676,974,23120,18
2026-01-15,5568,975,23120,9
2026-01-16,5465,829,23120,18
2026-01-19,5181,761,23120,61
2026-01-20,5111,756,23120,1
2026-01-21,5120,735,23120,5
2026-01-22,4930,730,23120,1
2026-01-23,4840,706,23120,12
2026-01-26,4760,708,23120,11
2026-01-27,4750,701,23120,5
2026-01-28,4563,630,23120,51
2026-01-29,4435,637,23120,34
2026-01-30,4710,593,23120,3
2026-02-02,5126,588,23120,4
2026-02-03,5266,594,23120,2
2026-02-04,5276,560,23120,15
2026-02-05,5331,549,23120,2
2026-02-06,5218,552,23120,3
2026-02-09,5220,592,23120,0
2026-02-10,4805,526,23120,9
2026-02-11,4827,477,23271,7
2026-02-23,4941,487,23271,4
2026-02-24,4949,760,23271,6
2026-02-25,4873,545,23271,5
2026-02-26,4850,444,23271,9
2026-03-02,4788,424,23271,4
2026-03-03,4640,377,23271,1
2026-03-04,4385,323,23271,36
2026-03-05,4354,328,23271,17
2026-03-06,4352,310,23271,0
2026-03-09,4158,262,23271,43
2026-03-10,4255,260,23271,7
2026-03-11,4320,260,23271,13
2026-03-12,5091,300,23271,11
2026-03-13,5455,272,23277,5
2026-03-16,5516,272,23277,2
2026-03-17,5816,263,23277,10
2026-03-18,5881,267,23277,5
2026-03-19,5834,225,23277,16
2026-03-20,5485,165,23277,9
2026-03-23,5196,0,23277,0
2026-03-24,4823,0,23277,0
2026-03-25,4846,0,23277,0
2026-03-26,4841,0,23277,0
2026-03-27,4854,39,23277,33
2026-03-30,4775,102,23277,69
2026-03-31,4476,67,23277,3
2026-04-01,4559,125,23277,6
2026-04-02,4699,77,23277,2
2026-04-07,4671,120,23277,7
2026-04-08,5153,116,23277,2
2026-04-09,5255,297,23277,0
2026-04-10,4963,221,23277,13
2026-04-13,4914,260,23277,3
2026-04-14,4947,258,23346,5
2026-04-15,5089,235,23346,132
2026-04-16,4926,220,23346,206
2026-04-17,4789,243,23346,95
2026-04-20,4826,229,23346,89
2026-04-21,4726,211,23346,46
2026-04-22,4805,206,23346,95
2026-04-23,4624,168,23346,160
2026-04-24,4750,150,23346,142
2026-04-27,4702,144,23346,61
2026-04-28,4832,151,23346,126
2026-04-29,4778,149,23346,8
2026-04-30,5278,197,23346,1
2026-05-04,4956,191,23346,5
2026-05-05,4777,167,23346,1
2026-05-06,4554,158,23346,3
2026-05-07,4627,159,23346,4
2026-05-08,4504,155,23346,0
2026-05-11,4525,115,23346,3
2026-05-12,4577,118,23346,2
2026-05-13,4729,114,23346,3
2026-05-14,4870,121,23373,1
2026-05-15,4864,159,23373,4
2026-05-18,4751,127,23373,0
2026-05-19,4630,128,23373,0
2026-05-20,4741,128,23373,1
2026-05-21,4704,131,23373,3
2026-05-22,4667,140,23373,1
2026-05-25,4797,135,23373,1
2026-05-26,4931,155,23373,2
2026-05-27,4977,146,23373,3
2026-05-28,5006,196,23373,1
2026-05-29,5063,117,23373,2
2026-06-01,4955,137,23373,0
2026-06-02,5042,141,23373,1
2026-06-03,4909,147,23373,2
2026-06-04,4711,166,23373,0
2026-06-05,4574,156,23373,2
2026-06-08,4513,198,23373,16
2026-06-09,4758,267,23373,4
2026-06-10,4395,213,23373,8
2026-06-11,4230,179,23373,2
2026-06-12,4374,182,23374,2
2026-06-15,4640,226,23374,0
2026-06-16,5025,313,23374,1
2026-06-17,5052,391,23374,6
2026-06-18,4461,393,23374,4
2026-06-22,4326,383,23374,1
2026-06-23,4215,350,23374,1
2026-06-24,4216,317,23374,80
2026-06-25,4200,314,23374,25
2026-06-26,4081,295,23374,51
2026-06-29,4027,308,23374,44
2026-06-30,4029,320,23374,44
2026-07-01,3985,323,23374,21
2026-07-02,4260,299,23374,73
2026-07-03,4406,268,23374,122
2026-07-06,4355,272,23374,29
2026-07-07,4345,243,23374,59
2026-07-08,4294,240,23374,2
2026-07-09,4391,214,23374,1
2026-07-13,4539,221,23374,3
2026-07-14,4503,175,23375,2
2026-07-15,4544,181,23375,1
2026-07-16,4447,174,23375,0
2026-07-17,4281,182,23375,0
2026-07-20,4099,145,23375,0
2026-07-21,4214,104,23375,1
2026-07-22,4357,120,23375,0
2026-07-23,4464,127,23375,1
2026-07-24,4439,118,23375,2
2026-07-27,4277,114,23375,14
2026-07-28,4320,111,23375,1
2026-07-29,4143,90,23375,6
2026-07-30,4050,63,23375,5
2026-07-31,4239,70,23375,0
2026-08-03,4092,87,23375,0
2026-08-04,4055,100,23375,0
2026-08-05,4154,89,23375,14
2026-08-06,4014,132,23375,9
2026-08-07,4687,102,23375,15
2026-08-10,4917,100,23375,0
2026-08-11,5031,109,23375,1
2026-08-12,5360,140,23375,1
2026-08-13,5554,173,23375,7
2026-08-14,5679,165,23379,1
2026-08-17,5964,132,23379,4
2026-08-18,5884,122,23379,1
2026-08-19,5795,111,23379,2
2026-08-20,5500,93,23379,0
2026-08-21,5503,84,23379,0
2026-08-24,5541,86,23379,0
2026-08-25,5830,93,23379,4
2026-08-26,5928,88,23379,4
2026-08-27,6363,126,23379,1
2026-08-28,6238,100,23379,1
2026-08-31,6168,79,23379,1
2026-09-01,6321,63,23379,4
