date,per,pbr,dividend_yield
2025-01-02,52.8,8.69,1.28
2025-01-03,53.31,8.78,1.27
2025-01-06,53.57,8.82,1.26
2025-01-07,53.9,8.88,1.25
2025-01-08,53.31,8.78,1.27
2025-01-09,52.12,8.58,1.3
2025-01-10,50.51,8.32,1.34
2025-01-13,50.0,8.23,1.35
2025-01-14,50.17,8.26,1.35
2025-01-15,48.56,8.0,1.39
2025-01-16,49.75,8.19,1.36
2025-01-17,48.81,8.04,1.38
2025-01-20,49.92,8.22,1.35
2025-01-21,48.9,8.05,1.38
2025-01-22,49.83,8.21,1.36
2025-02-03,45.84,7.55,1.47
2025-02-04,47.2,7.77,1.43
2025-02-05,47.88,7.88,1.41
2025-02-06,48.73,8.02,1.39
2025-02-07,51.95,8.55,1.3
2025-02-10,50.76,8.36,1.33
2025-02-11,51.61,8.5,1.31
2025-02-12,54.33,8.95,1.24
2025-02-13,52.29,8.61,1.29
2025-02-14,52.55,8.65,1.29
2025-02-17,53.65,8.83,1.26
2025-02-18,53.74,8.85,1.26
2025-02-19,53.65,8.83,1.26
2025-02-20,53.31,8.78,1.27
2025-02-21,53.9,8.88,1.25
2025-02-24,55.69,9.17,1.21
2025-02-25,54.41,8.96,1.24
2025-02-26,53.74,8.85,1.26
2025-02-27,51.95,8.55,1.3
2025-03-03,48.9,8.05,1.38
2025-03-04,50.76,8.36,1.33
2025-03-05,51.7,8.51,1.31
2025-03-06,53.23,8.76,1.27
2025-03-07,45.99,7.93,1.34
2025-03-10,44.75,7.72,1.37
2025-03-11,43.75,7.54,1.4
2025-03-12,44.21,7.62,1.4
2025-03-13,43.75,7.54,1.41
2025-03-14,43.83,7.56,1.41
2025-03-17,45.14,7.78,1.37
2025-03-18,43.9,7.57,1.41
2025-03-19,42.44,7.32,1.45
2025-03-20,42.75,7.37,1.44
2025-03-21,41.67,7.18,1.48
2025-03-24,40.66,7.01,1.52
2025-03-25,41.44,7.14,1.49
2025-03-26,40.97,7.06,1.51
2025-03-27,39.66,6.84,1.56
2025-03-28,38.04,6.56,1.62
2025-03-31,34.26,5.91,1.8
2025-04-01,35.49,6.12,1.74
2025-04-02,36.11,6.23,1.71
2025-04-07,32.56,5.61,1.9
2025-04-08,29.32,5.06,2.11
2025-04-09,26.39,4.55,2.34
2025-04-10,29.01,5.0,2.13
2025-04-11,30.56,5.27,2.02
2025-04-14,30.79,5.31,2.01
2025-04-15,32.95,5.68,1.87
2025-04-16,31.64,5.46,1.95
2025-04-17,32.41,5.59,1.9
2025-04-18,31.87,5.49,1.94
2025-04-21,30.32,5.23,2.04
2025-04-22,29.55,5.1,2.09
2025-04-23,31.64,5.46,1.95
2025-04-24,31.48,5.43,1.96
2025-04-25,32.33,5.57,1.91
2025-04-28,32.56,5.61,1.9
2025-04-29,33.64,5.8,1.83
2025-04-30,32.56,5.61,1.9
2025-05-02,33.87,5.84,1.82
2025-05-05,32.95,5.68,1.87
2025-05-06,33.64,5.8,1.83
2025-05-07,33.1,5.71,1.86
2025-05-08,33.56,5.79,1.84
2025-05-09,34.1,5.88,1.81
2025-05-12,34.8,6.0,1.77
2025-05-13,34.76,6.48,1.76
2025-05-14,36.98,6.89,1.66
2025-05-15,37.6,7.01,1.63
2025-05-16,36.6,6.82,1.67
2025-05-19,37.83,7.05,1.62
2025-05-20,36.75,6.85,1.67
2025-05-21,37.37,6.97,1.64
2025-05-22,36.06,6.72,1.7
2025-05-23,35.68,6.65,1.72
2025-05-26,37.83,7.05,1.62
2025-05-27,36.52,6.81,1.68
2025-05-28,36.29,6.77,1.69
2025-05-29,36.98,6.89,1.66
2025-06-02,36.68,6.84,1.67
2025-06-03,37.29,6.95,1.64
2025-06-04,37.98,7.08,1.61
2025-06-05,37.06,6.91,1.65
2025-06-06,37.29,6.95,1.64
2025-06-09,36.6,6.82,1.67
2025-06-10,40.2,7.49,1.52
2025-06-11,42.11,7.85,1.45
2025-06-12,44.87,8.36,1.37
2025-06-13,43.42,8.09,1.41
2025-06-16,42.42,7.91,1.44
2025-06-17,41.65,7.76,1.48
2025-06-18,40.96,7.64,1.5
2025-06-19,39.97,7.45,1.54
2025-06-20,40.74,7.59,1.51
2025-06-23,40.05,7.47,1.54
2025-06-24,41.42,7.72,1.49
2025-06-25,40.96,7.64,1.5
2025-06-26,39.97,7.45,1.54
2025-06-27,39.97,7.45,1.54
2025-06-30,39.36,7.34,1.56
2025-07-01,39.36,7.34,1.56
2025-07-02,39.2,7.31,1.57
2025-07-03,39.82,7.42,1.55
2025-07-04,38.06,7.09,1.62
2025-07-07,37.44,6.98,1.64
2025-07-08,37.9,7.07,1.62
2025-07-09,40.12,7.48,1.53
2025-07-10,39.82,7.42,1.55
2025-07-11,41.12,7.66,1.5
2025-07-14,40.12,7.48,1.53
2025-07-15,40.58,7.56,1.52
2025-07-16,40.2,7.49,1.53
2025-07-17,40.35,7.52,1.53
2025-07-18,40.58,7.56,1.52
2025-07-21,40.12,7.48,1.53
2025-07-22,38.67,7.21,1.59
2025-07-23,40.28,7.51,1.53
2025-07-24,41.96,7.82,1.47
2025-07-25,43.26,8.06,1.42
2025-07-28,46.63,8.69,1.32
2025-07-29,45.94,8.56,1.34
2025-07-30,46.4,8.65,1.33
2025-07-31,48.55,9.05,1.27
2025-08-01,47.01,8.76,1.31
2025-08-04,46.78,8.72,1.32
2025-08-05,46.02,8.58,1.34
2025-08-06,46.25,8.62,1.33
2025-08-07,47.32,8.82,1.3
2025-08-08,47.32,8.82,1.3
2025-08-11,55.75,9.75,1.18
2025-08-12,55.25,9.66,1.19
2025-08-13,56.16,9.82,1.18
2025-08-14,60.02,10.49,1.1
2025-08-15,58.95,10.31,1.12
2025-08-18,59.2,10.35,1.12
2025-08-19,57.72,10.09,1.14
2025-08-20,56.57,9.89,1.17
2025-08-21,59.28,10.36,1.11
2025-08-22,62.73,10.97,1.05
2025-08-25,65.02,11.37,1.02
2025-08-26,63.88,11.17,1.03
2025-08-27,64.04,11.2,1.03
2025-08-28,62.4,10.91,1.06
2025-08-29,63.55,11.11,1.04
2025-09-01,60.26,10.54,1.1
2025-09-02,58.62,10.25,1.13
2025-09-03,54.68,9.56,1.21
2025-09-04,53.94,9.43,1.22
2025-09-05,55.01,9.62,1.2
2025-09-08,56.32,9.85,1.17
2025-09-09,55.34,9.68,1.19
2025-09-10,56.08,9.8,1.18
2025-09-11,57.22,10.01,1.15
2025-09-12,55.91,9.78,1.18
2025-09-15,55.58,9.72,1.19
2025-09-16,55.25,9.66,1.19
2025-09-17,53.94,9.43,1.22
2025-09-18,54.93,9.6,1.2
2025-09-19,53.78,9.4,1.23
2025-09-22,54.84,9.59,1.2
2025-09-23,54.43,9.52,1.21
2025-09-24,53.2,9.3,1.24
2025-09-25,53.37,9.33,1.24
2025-09-26,51.07,8.93,1.29
2025-09-30,54.27,9.49,1.22
2025-10-01,59.03,10.32,1.12
2025-10-02,64.86,11.34,1.02
2025-10-03,67.32,11.77,0.98
2025-10-07,66.91,11.7,0.99
2025-10-08,65.85,11.51,1.0
2025-10-09,70.44,12.32,0.94
2025-10-13,68.8,12.03,0.96
2025-10-14,75.62,13.22,0.87
2025-10-15,83.09,14.53,0.79
2025-10-16,90.31,15.79,0.73
2025-10-17,89.16,15.59,0.74
2025-10-20,86.86,15.19,0.76
2025-10-21,85.39,14.93,0.77
2025-10-22,85.39,14.93,0.77
2025-10-23,82.92,14.5,0.8
2025-10-27,87.52,15.3,0.75
2025-10-28,90.15,15.76,0.73
2025-10-29,99.01,17.31,0.67
2025-10-30,100.16,17.51,0.66
2025-10-31,102.46,17.92,0.64
2025-11-03,105.58,18.46,0.63
2025-11-04,105.75,18.49,0.62
2025-11-05,99.67,17.43,0.66
2025-11-06,108.7,19.01,0.61
2025-11-07,102.13,17.86,0.65
2025-11-10,102.3,17.89,0.65
2025-11-11,95.07,16.62,0.69
2025-11-12,85.71,14.99,0.77
2025-11-13,91.13,15.93,0.72
2025-11-14,75.68,12.15,0.8
2025-11-17,78.79,12.65,0.77
2025-11-18,70.91,11.38,0.86
2025-11-19,75.0,12.04,0.81
2025-11-20,77.73,12.48,0.78
2025-11-21,70.0,11.24,0.87
2025-11-24,72.42,11.63,0.84
2025-11-25,79.55,12.77,0.77
2025-11-26,76.06,12.21,0.8
2025-11-27,76.52,12.28,0.8
2025-11-28,78.03,12.53,0.78
2025-12-01,77.88,12.5,0.78
2025-12-02,80.61,12.94,0.76
2025-12-03,85.15,13.67,0.72
2025-12-04,80.76,12.97,0.75
2025-12-05,80.15,12.87,0.76
2025-12-08,75.0,12.04,0.81
2025-12-09,77.42,12.43,0.79
2025-12-10,77.27,12.41,0.79
2025-12-11,75.3,12.09,0.81
2025-12-12,78.03,12.53,0.78
2025-12-15,75.76,12.16,0.8
2025-12-16,72.88,11.7,0.84
2025-12-17,75.23,12.08,0.81
2025-12-18,72.42,11.63,0.84
2025-12-19,77.58,12.45,0.79
2025-12-22,83.79,13.45,0.73
2025-12-23,84.7,13.6,0.72
2025-12-24,83.79,13.45,0.73
2025-12-26,84.55,13.57,0.72
2025-12-29,87.27,14.01,0.7
2025-12-30,87.73,14.08,0.69
2025-12-31,87.88,14.11,0.69
2026-01-02,86.21,13.84,0.71
2026-01-05,87.58,14.06,0.7
2026-01-06,88.18,14.16,0.69
2026-01-07,86.06,13.82,0.71
2026-01-08,87.58,14.06,0.7
2026-01-09,96.21,15.45,0.63
2026-01-12,105.76,16.98,0.58
2026-01-13,114.55,18.39,0.53
2026-01-14,113.03,18.15,0.54
2026-01-15,107.27,17.22,0.57
2026-01-16,103.03,16.54,0.59
2026-01-19,107.42,17.25,0.57
2026-01-20,110.15,17.68,0.55
2026-01-21,105.61,16.95,0.58
2026-01-22,110.15,17.68,0.55
2026-01-23,108.79,17.47,0.56
2026-01-26,110.61,17.76,0.55
2026-01-27,109.39,17.56,0.56
2026-01-28,117.58,18.88,0.52
2026-01-29,117.73,18.9,0.52
2026-01-30,113.18,18.17,0.54
2026-02-02,117.12,18.8,0.52
2026-02-03,123.79,19.87,0.49
2026-02-04,128.48,20.63,0.47
2026-02-05,122.58,19.68,0.5
2026-02-06,121.67,19.53,0.5
2026-02-09,133.79,21.48,0.46
2026-02-10,141.06,22.65,0.43
2026-02-11,137.27,22.04,0.44
2026-02-23,133.18,21.38,0.46
2026-02-24,141.06,22.65,0.43
2026-02-25,138.03,22.16,0.44
2026-02-26,133.18,21.38,0.46
2026-03-02,133.18,21.38,0.46
2026-03-03,125.91,20.21,0.48
2026-03-04,113.48,18.22,0.54
2026-03-05,117.73,18.9,0.52
2026-03-06,117.73,18.9,0.52
2026-03-09,106.06,17.03,0.66
2026-03-10,116.52,18.71,0.6
2026-03-11,126.36,20.29,0.55
2026-03-12,138.94,22.31,0.5
2026-03-13,136.21,21.87,0.51
2026-03-16,102.55,20.39,0.49
2026-03-17,101.77,20.23,0.5
2026-03-18,105.54,20.98,0.48
2026-03-19,105.43,20.96,0.48
