date,margin_balance,short_balance,margin_limit,offset
2026-01-02,5521,72,19725,1
2026-01-05,5574,74,19725,0
2026-01-06,5519,75,19725,2
2026-01-07,5537,68,19725,0
2026-01-08,5508,68,19725,2
2026-01-09,5476,67,19725,0
2026-01-12,5538,64,19725,2
2026-01-13,5494,69,19725,0
2026-01-14,5479,61,19769,1
2026-01-15,5552,57,19769,1
2026-01-16,5632,56,19769,0
2026-01-19,5636,63,19769,1
2026-01-20,5732,57,19769,0
2026-01-21,5684,51,19769,0
2026-01-22,5748,52,19769,0
2026-01-23,5726,54,19769,1
2026-01-26,5744,58,19769,0
2026-01-27,5873,56,19769,5
2026-01-28,5790,50,19769,0
2026-01-29,5961,48,19769,0
2026-01-30,6003,45,19769,0
2026-02-02,6041,44,19769,2
2026-02-03,5973,46,19769,0
2026-02-04,5915,46,19769,2
2026-02-05,6047,45,19769,1
2026-02-06,6106,36,19769,0
2026-02-09,5926,39,19769,0
2026-02-10,5934,47,19769,0
2026-02-11,5823,47,19775,0
2026-02-23,5935,47,19775,1
2026-02-24,5835,58,19775,0
2026-02-25,5834,58,19775,0
2026-02-26,5832,60,19775,0
2026-03-02,5771,60,19775,0
2026-03-03,5979,59,19775,0
2026-03-04,5984,38,19775,0
2026-03-05,5978,37,19775,0
2026-03-06,5969,40,19775,0
2026-03-09,5967,39,19775,1
2026-03-10,6032,39,19775,0
2026-03-11,5933,64,19775,0
2026-03-12,5832,53,19775,1
2026-03-13,5792,42,19782,1
2026-03-16,5848,34,19782,0
2026-03-17,5764,34,19782,0
2026-03-18,5685,32,19782,0
2026-03-19,5837,29,19782,1
2026-03-20,5821,1,19782,0
2026-03-23,5913,0,19782,0
2026-03-24,5944,0,19782,0
2026-03-25,5830,0,19782,0
2026-03-26,5896,20,19782,14
2026-03-27,5946,6,19782,21
2026-03-30,6026,7,19782,0
2026-03-31,5986,8,19782,0
2026-04-01,5928,19,19782,0
2026-04-02,6003,22,19782,1
2026-04-07,6038,18,19782,0
2026-04-08,5832,27,19782,1
2026-04-09,5862,35,19782,0
2026-04-10,5847,45,19782,1
2026-04-13,5882,52,19782,0
2026-04-14,5781,48,19832,0
2026-04-15,5745,48,19832,0
2026-04-16,5566,79,19832,4
2026-04-17,5457,68,19832,0
2026-04-20,5507,72,19832,0
2026-04-21,5265,105,19832,2
2026-04-22,5149,98,19832,0
2026-04-23,5012,90,19832,3
2026-04-24,5052,89,19832,0
2026-04-27,5026,96,19832,0
2026-04-28,5026,92,19832,1
2026-04-29,5086,95,19832,0
2026-04-30,4959,102,19832,3
2026-05-04,5041,108,19832,3
2026-05-05,5095,104,19832,0
2026-05-06,5028,145,19832,1
2026-05-07,5203,153,19832,5
2026-05-08,5172,143,19832,2
2026-05-11,5153,153,19832,0
2026-05-12,4882,122,19832,1
2026-05-13,4812,100,19832,2
2026-05-14,4796,96,19832,3
2026-05-15,4683,90,19832,0
2026-05-18,4763,89,19832,2
2026-05-19,4798,84,19832,0
2026-05-20,4772,89,19832,0
2026-05-21,4879,88,19832,1
2026-05-22,4877,87,19832,1
2026-05-25,4988,87,19832,0
2026-05-26,5100,85,19832,1
2026-05-27,5122,86,19832,1
2026-05-28,5052,81,19832,2
2026-05-29,5106,83,19832,2
2026-06-01,5120,90,19832,2
2026-06-02,5093,83,19832,0
2026-06-03,5128,84,19832,1
2026-06-04,5084,77,19832,0
2026-06-05,5148,70,19832,2
2026-06-08,5064,76,19832,1
2026-06-09,5075,79,19832,0
2026-06-10,5081,74,19832,0
2026-06-11,5086,66,19832,0
2026-06-12,5162,67,19833,0
2026-06-15,5218,68,19833,1
2026-06-16,5251,71,19833,0
2026-06-17,5322,69,19833,0
2026-06-18,5391,70,19833,1
2026-06-22,5531,70,19833,0
2026-06-23,5600,73,19833,2
2026-06-24,5626,74,19833,1
2026-06-25,5710,72,19833,2
2026-06-26,5738,70,19833,1
2026-06-29,5675,69,19833,4
2026-06-30,5721,65,19833,1
2026-07-01,5739,75,19833,1
2026-07-02,5899,115,19833,5
2026-07-03,6133,90,19833,5
2026-07-06,6190,73,20833,2
2026-07-07,6087,80,20833,2
2026-07-08,6197,58,20833,0
2026-07-09,6147,60,20833,2
2026-07-13,6203,62,20833,0
2026-07-14,6092,88,20860,1
2026-07-15,6041,62,20860,1
2026-07-16,6054,50,20860,2
2026-07-17,5978,39,20860,2
2026-07-20,5790,42,20860,0
2026-07-21,5871,41,20860,0
2026-07-22,5852,46,20860,5
2026-07-23,5887,43,20860,0
2026-07-24,5939,43,20860,2
2026-07-27,5925,44,20860,1
2026-07-28,5842,40,20860,1
2026-07-29,5653,22,20860,0
2026-07-30,5600,20,20860,1
2026-07-31,5826,25,20860,2
2026-08-03,5853,39,20860,6
2026-08-04,5976,42,20860,1
2026-08-05,5986,48,20860,1
2026-08-06,5933,48,20860,1
2026-08-07,6036,48,20860,5
2026-08-10,6387,48,20860,7
2026-08-11,6371,113,20860,1
2026-08-12,6364,84,20860,0
2026-08-13,6291,66,20860,0
2026-08-14,6216,59,20877,1
2026-08-17,6176,52,20877,0
2026-08-18,6080,48,20877,0
2026-08-19,6228,31,20877,0
2026-08-20,6219,34,20877,4
2026-08-21,6194,32,20877,2
2026-08-24,6184,31,20877,0
2026-08-25,6188,32,20877,1
2026-08-26,6202,30,20877,1
2026-08-27,6254,14,20877,0
2026-08-28,6158,1,20877,0
2026-08-31,5984,0,20877,0
2026-09-01,5907,0,20877,0
2026-09-02,5842,0,20877,0
2026-09-03,6059,2,20877,24
2026-09-04,6054,4,20877,21
