date,foreign,trust,dealer,total
2026-01-02,-167621,-136300,112160,-191761
2026-01-05,2336436,-336429,126866,2126873
2026-01-06,3486548,-187000,387552,3687100
2026-01-07,19228844,-76432,925429,20077841
2026-01-08,-2659292,-388020,-763554,-3810866
2026-01-09,2187319,-335843,45888,1897364
2026-01-12,-582819,-429000,-35372,-1047191
2026-01-13,408699,-763039,103635,-250705
2026-01-14,290505,-356059,-10340,-75894
2026-01-15,-208852,-392039,44497,-556394
2026-01-16,-10714335,-81939,-224103,-11020377
2026-01-19,8753870,-5296558,-97207,3360105
2026-01-20,4894941,-237561,-68328,4589052
2026-01-21,3034984,-117216,167400,3085168
2026-01-22,3969629,-112032,-36244,3821353
2026-01-23,-10588452,-58192,-132970,-10779614
2026-01-26,1135551,-129048,-207000,799503
2026-01-27,662798,-113783,-25778,523237
2026-01-28,5622556,-67916,183675,5738315
2026-01-29,3720436,-26900,-252000,3441536
2026-01-30,-3348858,-98200,-188436,-3635494
2026-02-02,494084,-31992,-70276,391816
2026-02-03,1410764,-74224,-22555,1313985
2026-02-04,2431390,-33000,103019,2501409
2026-02-05,1798067,-30216,42277,1810128
2026-02-06,-801162,-51300,94924,-757538
2026-02-09,236168,-74600,-84327,77241
2026-02-10,2145069,-177416,311089,2278742
2026-02-11,3645072,-16000,283261,3912333
2026-02-23,22583369,-1264032,366944,21686281
2026-02-24,6491972,-131708,39356,6399620
2026-02-25,9222949,-136032,553736,9640653
2026-02-26,16537234,-56783,71525,16551976
2026-03-02,-7117133,-36272,147878,-7005527
2026-03-03,45033340,-12500,3694927,48715767
2026-03-04,-30562748,-147000,-2436838,-33146586
2026-03-05,-9072342,-55000,-1291563,-10418905
2026-03-06,-3675246,10800,-221070,-3885516
2026-03-09,-16530827,42000,-267483,-16756310
2026-03-10,390710,-219700,-424430,-253420
2026-03-11,12142344,-33543,487581,12596382
2026-03-12,9627364,-62943,159948,9724369
2026-03-13,-12507784,95600,-1248188,-13660372
2026-03-16,-2557393,68512,575865,-1913016
2026-03-17,-3817792,1150300,301914,-2365578
2026-03-18,-1263554,-149943,1438964,25467
2026-03-19,-8197663,-53000,198366,-8052297
2026-03-20,-1290893,-76123,-250956,-1617972
2026-03-23,-5869787,41441,-569760,-6398106
2026-03-24,-4634186,46000,-279638,-4867824
2026-03-25,1698587,-21400,427809,2104996
2026-03-26,-2728623,-6000,-28743,-2763366
2026-03-27,-2518646,0,3964,-2514682
2026-03-30,-2008591,6000,-165785,-2168376
2026-03-31,-4325075,22300,-247099,-4549874
2026-04-01,750829,4000,423553,1178382
2026-04-02,-716697,3034,-101505,-815168
