date,per,pbr,dividend_yield
2025-01-02,21.43,2.25,3.24
2025-01-03,21.5,2.26,3.23
2025-01-06,22.16,2.33,3.13
2025-01-07,23.36,2.45,2.97
2025-01-08,22.9,2.41,3.03
2025-01-09,22.16,2.33,3.13
2025-01-10,22.5,2.36,3.09
2025-01-13,21.7,2.28,3.2
2025-01-14,21.5,2.26,3.23
2025-01-15,21.56,2.27,3.22
2025-01-16,22.03,2.31,3.15
2025-01-17,22.16,2.33,3.13
2025-01-20,22.96,2.41,3.02
2025-01-21,22.96,2.41,3.02
2025-01-22,23.63,2.48,2.94
2025-02-03,21.5,2.26,3.23
2025-02-04,21.03,2.21,3.3
2025-02-05,21.56,2.27,3.22
2025-02-06,21.5,2.26,3.23
2025-02-07,21.96,2.31,3.16
2025-02-10,22.23,2.34,3.12
2025-02-11,22.36,2.35,3.1
2025-02-12,22.1,2.32,3.14
2025-02-13,22.76,2.39,3.05
2025-02-14,23.36,2.45,2.97
2025-02-17,23.77,2.5,2.92
2025-02-18,23.9,2.51,2.91
2025-02-19,24.5,2.57,2.83
2025-02-20,23.97,2.52,2.9
2025-02-21,24.17,2.54,2.87
2025-02-24,23.5,2.47,2.95
2025-02-25,23.6,2.37,2.95
2025-02-26,23.46,2.36,2.96
2025-02-27,22.86,2.3,3.04
2025-03-03,22.13,2.22,3.14
2025-03-04,21.93,2.2,3.17
2025-03-05,22.19,2.23,3.13
2025-03-06,22.19,2.23,3.13
2025-03-07,21.72,2.18,3.2
2025-03-10,21.52,2.16,3.23
2025-03-11,20.86,2.09,3.33
2025-03-12,21.26,2.13,3.27
2025-03-13,21.06,2.11,3.3
2025-03-14,20.72,2.08,3.35
2025-03-17,21.06,2.11,3.3
2025-03-18,21.46,2.15,3.24
2025-03-19,21.12,2.12,3.29
2025-03-20,21.72,2.18,3.2
2025-03-21,21.52,2.16,3.23
2025-03-24,21.46,2.15,3.24
2025-03-25,21.46,2.15,3.24
2025-03-26,21.59,2.17,3.22
2025-03-27,20.92,2.1,3.32
2025-03-28,20.12,2.02,3.46
2025-03-31,19.12,1.92,3.64
2025-04-01,19.99,2.01,3.48
2025-04-02,19.92,2.0,3.49
2025-04-07,17.98,1.81,3.87
2025-04-08,17.05,1.71,4.08
2025-04-09,15.37,1.54,4.52
2025-04-10,16.91,1.7,4.11
2025-04-11,17.98,1.81,3.94
2025-04-14,17.71,1.78,4.0
2025-04-15,18.11,1.82,3.91
2025-04-16,17.85,1.79,3.97
2025-04-17,17.31,1.74,4.09
2025-04-18,17.25,1.73,4.11
2025-04-21,17.18,1.72,4.12
2025-04-22,17.05,1.71,4.16
2025-04-23,18.38,1.85,3.85
2025-04-24,17.71,1.78,4.0
2025-04-25,18.38,1.85,3.85
2025-04-28,18.32,1.84,3.87
2025-04-29,18.52,1.86,3.83
2025-04-30,18.11,1.82,3.91
2025-05-02,18.58,1.87,3.81
2025-05-05,17.91,1.8,3.96
2025-05-06,18.25,1.83,3.88
2025-05-07,18.11,1.82,3.91
2025-05-08,18.38,1.85,3.85
2025-05-09,18.38,1.85,3.85
2025-05-12,18.98,1.91,3.73
2025-05-13,18.35,2.02,3.66
2025-05-14,18.99,2.09,3.53
2025-05-15,19.05,2.1,3.52
2025-05-16,18.61,2.05,3.61
2025-05-19,17.97,1.98,3.73
2025-05-20,18.23,2.01,3.68
2025-05-21,18.29,2.02,3.67
2025-05-22,18.35,2.02,3.66
2025-05-23,18.04,1.99,3.72
2025-05-26,18.23,2.01,3.68
2025-05-27,17.91,1.97,3.75
2025-05-28,17.97,1.98,3.73
2025-05-29,17.47,1.93,3.84
2025-06-02,17.03,1.88,3.94
2025-06-03,16.9,1.86,3.97
2025-06-04,17.72,1.95,3.79
2025-06-05,17.66,1.95,3.8
2025-06-06,17.59,1.94,3.81
2025-06-09,17.72,1.95,3.79
2025-06-10,18.04,1.99,3.72
2025-06-11,18.42,2.03,3.64
2025-06-12,18.35,2.02,3.66
2025-06-13,18.16,2.0,3.69
2025-06-16,18.35,2.02,3.66
2025-06-17,18.73,2.06,3.58
2025-06-18,18.73,2.06,3.58
2025-06-19,18.48,2.04,3.63
2025-06-20,18.29,2.02,3.67
2025-06-23,18.61,2.05,3.61
2025-06-24,18.92,2.09,3.55
2025-06-25,19.37,2.13,3.46
2025-06-26,19.3,2.13,3.48
2025-06-27,18.99,2.09,3.53
2025-06-30,18.67,2.06,3.59
2025-07-01,18.42,2.03,3.64
2025-07-02,17.91,1.97,3.75
2025-07-03,18.23,2.01,3.68
2025-07-04,18.61,2.05,3.61
2025-07-07,18.23,2.01,3.68
2025-07-08,18.1,1.99,3.71
2025-07-09,18.54,2.04,3.62
2025-07-10,18.99,2.09,3.53
2025-07-11,18.99,2.09,3.53
2025-07-14,18.8,2.07,3.57
2025-07-15,19.05,2.1,3.52
2025-07-16,19.11,2.11,3.51
2025-07-17,19.18,2.11,3.5
2025-07-18,19.49,2.15,3.44
2025-07-21,19.3,2.13,3.48
2025-07-22,19.11,2.11,3.51
2025-07-23,19.43,2.14,3.45
2025-07-24,19.68,2.17,3.41
2025-07-25,19.43,2.14,3.45
2025-07-28,19.56,2.16,3.43
2025-07-29,19.43,2.14,3.45
2025-07-30,19.24,2.12,3.49
2025-07-31,19.3,2.13,3.48
2025-08-01,19.3,2.13,3.48
