key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,4.08
2024-03-31_GrossProfit,2024-03-31,GrossProfit,3372383000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,1750178000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,1437485000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,1934898000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,2329608000.0
2024-03-31_Revenue,2024-03-31,Revenue,15308688000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,394710000.0
2024-06-30_EPS,2024-06-30,EPS,5.08
2024-06-30_GrossProfit,2024-06-30,GrossProfit,3794091000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,2160330000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,1367097000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,2426994000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,2935235000.0
2024-06-30_Revenue,2024-06-30,Revenue,16483855000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,508241000.0
2024-09-30_EPS,2024-09-30,EPS,6.02
2024-09-30_GrossProfit,2024-09-30,GrossProfit,4480251000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,2601297000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,1372374000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,3107877000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,3427580000.0
2024-09-30_Revenue,2024-09-30,Revenue,19064683000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,319703000.0
2024-12-31_EPS,2024-12-31,EPS,6.03
2024-12-31_GrossProfit,2024-12-31,GrossProfit,5223716000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,2680872000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,1870826000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,3352890000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,3659188000.0
2024-12-31_Revenue,2024-12-31,Revenue,20904070000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,306298000.0
2025-03-31_EPS,2025-03-31,EPS,8.28
2025-03-31_GrossProfit,2025-03-31,GrossProfit,6027960000.0
2025-03-31_IncomeAfterTaxes,2025-03-31,IncomeAfterTaxes,3510091000.0
2025-03-31_OperatingExpenses,2025-03-31,OperatingExpenses,1667090000.0
2025-03-31_OperatingIncome,2025-03-31,OperatingIncome,4360870000.0
2025-03-31_PreTaxIncome,2025-03-31,PreTaxIncome,4620361000.0
2025-03-31_Revenue,2025-03-31,Revenue,23332951000.0
2025-03-31_TotalNonoperatingIncomeAndExpense,2025-03-31,TotalNonoperatingIncomeAndExpense,259491000.0
2025-06-30_EPS,2025-06-30,EPS,10.3
2025-06-30_GrossProfit,2025-06-30,GrossProfit,7224439000.0
2025-06-30_IncomeAfterTaxes,2025-06-30,IncomeAfterTaxes,4271841000.0
2025-06-30_OperatingExpenses,2025-06-30,OperatingExpenses,2129857000.0
2025-06-30_OperatingIncome,2025-06-30,OperatingIncome,5094582000.0
2025-06-30_PreTaxIncome,2025-06-30,PreTaxIncome,5896141000.0
2025-06-30_Revenue,2025-06-30,Revenue,29594509000.0
2025-06-30_TotalNonoperatingIncomeAndExpense,2025-06-30,TotalNonoperatingIncomeAndExpense,801559000.0
2025-09-30_EPS,2025-09-30,EPS,13.67
2025-09-30_GrossProfit,2025-09-30,GrossProfit,10171750000.0
2025-09-30_IncomeAfterTaxes,2025-09-30,IncomeAfterTaxes,5909525000.0
2025-09-30_OperatingExpenses,2025-09-30,OperatingExpenses,2086445000.0
2025-09-30_OperatingIncome,2025-09-30,OperatingIncome,8085305000.0
2025-09-30_PreTaxIncome,2025-09-30,PreTaxIncome,8216948000.0
2025-09-30_Revenue,2025-09-30,Revenue,38936900000.0
2025-09-30_TotalNonoperatingIncomeAndExpense,2025-09-30,TotalNonoperatingIncomeAndExpense,131643000.0
2025-12-31_EPS,2025-12-31,EPS,16.92
2025-12-31_GrossProfit,2025-12-31,GrossProfit,12609854000.0
2025-12-31_IncomeAfterTaxes,2025-12-31,IncomeAfterTaxes,7259063000.0
2025-12-31_OperatingExpenses,2025-12-31,OperatingExpenses,2594948000.0
2025-12-31_OperatingIncome,2025-12-31,OperatingIncome,10014906000.0
2025-12-31_PreTaxIncome,2025-12-31,PreTaxIncome,10052757000.0
2025-12-31_Revenue,2025-12-31,Revenue,47775002000.0
2025-12-31_TotalNonoperatingIncomeAndExpense,2025-12-31,TotalNonoperatingIncomeAndExpense,37851000.0
2026-03-31_EPS,2026-03-31,EPS,20.17
2026-03-31_GrossProfit,2026-03-31,GrossProfit,14597401000.0
2026-03-31_IncomeAfterTaxes,2026-03-31,IncomeAfterTaxes,8674971000.0
2026-03-31_OperatingExpenses,2026-03-31,OperatingExpenses,2578371000.0
2026-03-31_OperatingIncome,2026-03-31,OperatingIncome,12019030000.0
2026-03-31_PreTaxIncome,2026-03-31,PreTaxIncome,11979060000.0
2026-03-31_Revenue,2026-03-31,Revenue,49037946000.0
2026-03-31_TotalNonoperatingIncomeAndExpense,2026-03-31,TotalNonoperatingIncomeAndExpense,-39970000.0
2026-06-30_EPS,2026-06-30,EPS,24.37
2026-06-30_GrossProfit,2026-06-30,GrossProfit,15998698000.0
2026-06-30_IncomeAfterTaxes,2026-06-30,IncomeAfterTaxes,10277923000.0
2026-06-30_OperatingExpenses,2026-06-30,OperatingExpenses,2521079000.0
2026-06-30_OperatingIncome,2026-06-30,OperatingIncome,13477619000.0
2026-06-30_PreTaxIncome,2026-06-30,PreTaxIncome,13935030000.0
2026-06-30_Revenue,2026-06-30,Revenue,49120964000.0
2026-06-30_TotalNonoperatingIncomeAndExpense,2026-06-30,TotalNonoperatingIncomeAndExpense,457411000.0
