date,margin_balance,short_balance,margin_limit,offset
2026-01-02,16108,3520,43825,7
2026-01-05,15987,3429,43825,1
2026-01-06,15957,3410,43825,1
2026-01-07,16310,3418,43825,2
2026-01-08,15836,3397,43825,2
2026-01-09,15464,3333,43825,10
2026-01-12,15524,3301,43825,2
2026-01-13,15099,3203,43825,5
2026-01-14,15169,3202,43833,0
2026-01-15,15593,3233,43833,5
2026-01-16,15985,3340,43833,14
2026-01-19,15704,3306,43833,7
2026-01-20,15704,3335,43833,6
2026-01-21,15936,3379,43833,27
2026-01-22,16622,3449,43833,5
2026-01-23,17038,3574,43833,21
2026-01-26,17800,3716,43833,1
2026-01-27,16194,4058,43833,68
2026-01-28,16669,3734,43833,56
2026-01-29,16037,1919,43833,12
2026-01-30,13841,1050,43833,14
2026-02-02,13326,833,43833,5
2026-02-03,13328,733,43833,1
2026-02-04,13171,746,43833,4
2026-02-05,13332,683,43833,4
2026-02-06,13686,653,43833,14
2026-02-09,13760,636,43833,16
2026-02-10,13531,585,43833,0
2026-02-11,13422,439,44862,0
2026-02-23,12991,499,44862,2
2026-02-24,13131,534,44862,1
2026-02-25,13484,622,44862,23
2026-02-26,13633,507,44862,17
2026-03-02,13530,428,44862,0
2026-03-03,13242,372,44862,8
2026-03-04,12713,298,44862,2
2026-03-05,12609,283,44862,3
2026-03-06,12589,284,44862,0
2026-03-09,12442,277,44862,2
2026-03-10,12356,264,44862,1
2026-03-11,12361,265,44862,0
2026-03-12,12431,263,44862,10
2026-03-13,12435,256,45109,11
2026-03-16,12368,240,45109,0
2026-03-17,12335,248,45109,1
2026-03-18,12798,248,45109,79
2026-03-19,13476,279,45109,30
2026-03-20,13609,249,45109,20
2026-03-23,13971,263,45109,4
2026-03-24,13919,264,45109,0
2026-03-25,14012,251,45109,0
2026-03-26,14035,223,45109,3
2026-03-27,13761,235,45109,17
2026-03-30,13762,226,45109,2
2026-03-31,13736,173,45109,0
2026-04-01,13611,164,45109,1
2026-04-02,13561,145,45109,1
2026-04-07,13665,102,45109,0
2026-04-08,13993,94,45109,3
2026-04-09,13879,60,45109,3
2026-04-10,13918,0,45109,0
2026-04-13,13718,0,45109,0
2026-04-14,14148,0,45115,0
2026-04-15,14186,0,45115,0
2026-04-16,14288,5,45115,47
2026-04-17,14474,28,45115,48
2026-04-20,15200,61,45115,42
2026-04-21,15691,55,45115,49
2026-04-22,16041,30,45115,57
2026-04-23,16237,37,45115,22
2026-04-24,16508,58,45115,5
2026-04-27,16298,76,45115,17
2026-04-28,16064,94,45115,1
2026-04-29,16024,61,45115,6
2026-04-30,16184,45,45115,1
2026-05-04,15931,45,45115,0
2026-05-05,16836,93,45115,11
2026-05-06,17896,88,45115,12
2026-05-07,19623,129,45115,31
2026-05-08,18040,72,45115,14
2026-05-11,17889,63,45115,11
2026-05-12,18324,65,45115,4
2026-05-13,18169,68,45115,1
2026-05-14,17935,118,45155,25
2026-05-15,17995,115,45155,38
2026-05-18,18383,262,45155,14
2026-05-19,16388,325,45155,59
2026-05-20,15982,542,45155,9
2026-05-21,16367,1393,45155,71
2026-05-22,16481,698,45155,41
2026-05-25,16782,572,45155,22
2026-05-26,15669,348,45155,6
2026-05-27,16174,324,45155,40
2026-05-28,16267,346,45155,32
2026-05-29,16681,337,45155,4
2026-06-01,17405,373,45155,27
2026-06-02,16667,209,45155,9
2026-06-03,16891,215,45155,9
2026-06-04,16947,209,45155,31
2026-06-05,18033,283,45155,44
2026-06-08,16240,154,45155,61
2026-06-09,16672,408,45155,48
2026-06-10,14776,207,45155,181
2026-06-11,14148,174,45155,19
2026-06-12,14433,193,45296,19
2026-06-15,14994,228,45296,29
2026-06-16,16258,486,45296,82
2026-06-17,15358,586,45296,169
2026-06-18,15593,565,45296,79
2026-06-22,15774,531,45296,27
2026-06-23,14471,357,45296,53
2026-06-24,14382,361,45296,16
2026-06-25,15169,337,45296,38
2026-06-26,14275,278,45296,17
2026-06-29,14094,192,45296,9
2026-06-30,14442,219,45296,0
2026-07-01,14752,204,45296,5
2026-07-02,14879,181,45296,22
2026-07-03,14891,124,45296,2
2026-07-06,15011,131,45296,3
2026-07-07,14968,147,45296,21
2026-07-08,15049,151,45296,6
2026-07-09,15013,158,45296,10
2026-07-13,14945,162,45296,29
2026-07-14,14700,163,45471,5
2026-07-15,14848,141,45471,2
2026-07-16,14844,141,45471,2
2026-07-17,14075,95,45471,9
2026-07-20,13124,77,45471,0
2026-07-21,13141,74,45471,2
2026-07-22,13367,75,45471,0
2026-07-23,13503,53,45471,6
2026-07-24,13752,51,45471,13
2026-07-27,13999,45,45471,9
2026-07-28,13792,19,45471,5
2026-07-29,13335,2,45471,0
2026-07-30,13085,0,45471,0
2026-07-31,12883,0,45471,0
2026-08-03,12935,0,45471,0
2026-08-04,12942,22,45471,152
2026-08-05,12703,28,45471,40
2026-08-06,12713,102,45471,11
2026-08-07,12512,92,45471,9
2026-08-10,12861,77,45471,5
2026-08-11,12866,96,45471,5
2026-08-12,12847,76,45471,4
2026-08-13,13125,66,45471,4
2026-08-14,13309,88,45502,5
2026-08-17,13493,74,45502,3
2026-08-18,12912,67,45502,6
2026-08-19,12709,62,45502,11
2026-08-20,12737,112,45502,2
2026-08-21,12923,77,45502,1
2026-08-24,13092,97,45502,0
2026-08-25,13076,98,45502,10
2026-08-26,13396,210,45502,19
2026-08-27,13518,252,45502,50
2026-08-28,13523,243,45502,23
2026-08-31,13757,302,45502,80
2026-09-01,13793,326,45502,41
