date,foreign,trust,dealer,total
2026-01-02,-371290,983788,723209,1335707
2026-01-05,212582,1341819,886168,2440569
2026-01-06,-2309091,301562,-110678,-2118207
2026-01-07,-472581,740300,116543,384262
2026-01-08,-1171649,17789,-525972,-1679832
2026-01-09,-909426,-234055,-26792,-1170273
2026-01-12,112436,-346876,-41118,-275558
2026-01-13,3786271,-634620,29344,3180995
2026-01-14,759943,40460,-76915,723488
2026-01-15,1512798,-597581,-118551,796666
2026-01-16,2626302,-256177,-94990,2275135
2026-01-19,-1182075,-186666,-105415,-1474156
2026-01-20,327202,119966,-24197,422971
2026-01-21,35911,-862642,29268,-797463
2026-01-22,1160151,-81116,20869,1099904
2026-01-23,9517263,-1391742,769068,8894589
2026-01-26,1199608,981606,-39503,2141711
2026-01-27,1401707,380586,-53210,1729083
2026-01-28,-1015552,585288,30927,-399337
2026-01-29,1842337,-86382,-30571,1725384
2026-01-30,-542348,403588,-174389,-313149
2026-02-02,-2088347,259168,-268599,-2097778
2026-02-03,1084653,857207,307871,2249731
2026-02-04,-532366,222237,295512,-14617
2026-02-05,687921,760633,60203,1508757
2026-02-06,-3749896,259533,-356982,-3847345
2026-02-09,4159183,317573,228612,4705368
2026-02-10,-653954,548256,-86569,-192267
2026-02-11,368977,6000,-178709,196268
2026-02-23,-4503108,88410,-131354,-4546052
2026-02-24,1607441,-114136,54754,1548059
2026-02-25,3067569,-42421,-184814,2840334
2026-02-26,757762,309820,106774,1174356
2026-03-02,-813157,194749,-144881,-763289
2026-03-03,-3590467,-8052,-161292,-3759811
2026-03-04,-3064271,333978,-130628,-2860921
2026-03-05,-1555825,-8752,-217088,-1781665
2026-03-06,-955293,-65233,54692,-965834
2026-03-09,-2272447,494607,105605,-1672235
2026-03-10,-593085,-108674,-85852,-787611
2026-03-11,-948153,-96533,327907,-716779
2026-03-12,-729961,-283256,52380,-960837
2026-03-13,-3478757,-194297,-86245,-3759299
2026-03-16,-685342,-262256,70213,-877385
2026-03-17,-543862,-112637,45531,-610968
2026-03-18,-920633,-155860,59922,-1016571
2026-03-19,-3005217,-221900,-79742,-3306859
2026-03-20,1100107,-222805,17354,894656
2026-03-23,-1675318,14217,-11936,-1673037
2026-03-24,144755,-129246,-105622,-90113
2026-03-25,-843348,-167976,72759,-938565
2026-03-26,-2165766,-338826,7930,-2496662
2026-03-27,545089,-784763,231014,-8660
2026-03-30,-1259054,96186,-2371,-1165239
2026-03-31,313333,-855753,365173,-177247
2026-04-01,-3537117,-62973,135768,-3464322
2026-04-02,-824336,-27277,11239,-840374
2026-04-07,-829177,-686370,125644,-1389903
2026-04-08,-80822,-55480,198720,62418
2026-04-09,-727951,-177842,-79154,-984947
2026-04-10,-1441359,-276294,1819,-1715834
2026-04-13,439446,-525442,10697,-75299
2026-04-14,121190,143063,141961,406214
2026-04-15,4490766,264196,334408,5089370
2026-04-16,1179971,1386202,681145,3247318
2026-04-17,5340296,1283627,148017,6771940
2026-04-20,-45468,169785,-29460,94857
2026-04-21,4321143,1052328,269186,5642657
2026-04-22,-567785,2528018,227466,2187699
2026-04-23,746657,595074,232356,1574087
2026-04-24,828910,1769064,118635,2716609
2026-04-27,143632,565832,162361,871825
2026-04-28,1191234,1214517,-43623,2362128
2026-04-29,-2002739,1374180,-65978,-694537
2026-04-30,1447445,74934,-101228,1421151
2026-05-04,-822715,-120757,40950,-902522
2026-05-05,2021487,47113,12842,2081442
2026-05-06,4224818,593864,-374936,4443746
2026-05-07,-879472,-62159,91679,-849952
2026-05-08,-500994,185364,213384,-102246
2026-05-11,-371539,18496,-175070,-528113
2026-05-12,-1730262,-98649,28330,-1800581
2026-05-13,-692274,-128538,109390,-711422
2026-05-14,-263281,-159312,-52723,-475316
2026-05-15,334720,-347713,-267964,-280957
2026-05-18,-482320,-124123,36274,-570169
2026-05-19,-1083595,-489620,-312011,-1885226
2026-05-20,-1688254,-25998,156480,-1557772
2026-05-21,-430821,-400000,281600,-549221
2026-05-22,-1570354,1536561,452033,418240
2026-05-25,-1174508,-961000,169131,-1966377
2026-05-26,1367297,-598432,207280,976145
2026-05-27,2997835,-1279609,127377,1845603
2026-05-28,-856431,-623680,-71972,-1552083
2026-05-29,-2324807,-1020510,-130284,-3475601
2026-06-01,3786804,-461186,-176782,3148836
2026-06-02,-661060,-745772,-391864,-1798696
2026-06-03,707096,-908215,63123,-137996
2026-06-04,317166,-330951,-66713,-80498
2026-06-05,414722,-108257,-357424,-50959
2026-06-08,-2498078,536440,-271427,-2233065
2026-06-09,-1209109,826684,-162197,-544622
2026-06-10,-2148907,418134,132336,-1598437
2026-06-11,-1438095,215967,133258,-1088870
2026-06-12,-232058,249245,6739,23926
2026-06-15,1044845,536226,384141,1965212
2026-06-16,1460604,65205,-31218,1494591
2026-06-17,-1051822,-365849,-19461,-1437132
2026-06-18,1655668,-2387910,18411,-713831
2026-06-22,3651046,-1912579,202758,1941225
2026-06-23,1374951,-1129266,78406,324091
2026-06-24,-2640933,-1471300,-39026,-4151259
2026-06-25,1362548,-1688793,-16913,-343158
2026-06-26,-5239048,-941719,-1327262,-7508029
2026-06-29,1125600,-615665,242090,752025
2026-06-30,814245,-678596,130139,265788
2026-07-01,494255,-153249,29946,370952
2026-07-02,-1113284,86989,100487,-925808
2026-07-03,-3366326,-69617,164396,-3271547
2026-07-06,1009464,-613274,-59026,337164
