date,trade_value,trade_volume,transactions
2026-09-01,1090449046456,5209282128,4224598
2026-09-02,902871310394,4210060966,3953117
2026-09-03,930561832932,5468343588,4521064
2026-09-04,802641585637,4042303493,3350608
2026-09-07,909693478847,4732073853,3971306
2026-09-08,854765269127,4525730246,3832849
2026-09-09,762135234946,4494280166,3421183
2026-09-10,700836040110,3906488637,3205917
2026-09-11,682093807088,3956684542,3389754
2026-09-14,601076010181,3469865257,2989352
2026-09-15,574002842055,3294128873,2831212
2026-09-16,620167469587,3428760801,2635660
2026-09-17,799561655480,4625791310,3361020
2026-09-18,1060401174750,5860392347,3610593
2026-09-21,793280629865,4564346502,3465502
2026-09-22,988837967485,6020634217,4297388
2026-09-23,833027796353,4938090189,3596474
2026-09-24,718880491672,3609044470,3037959
