key,date,type,value
2024-12-31_EPS,2024-12-31,EPS,1.74
2024-12-31_GrossProfit,2024-12-31,GrossProfit,98531000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,58881000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,74914000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,23617000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,73923000.0
2024-12-31_Revenue,2024-12-31,Revenue,318701000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,50306000.0
2025-06-30_EPS,2025-06-30,EPS,0.81
2025-06-30_GrossProfit,2025-06-30,GrossProfit,99014000.0
2025-06-30_IncomeAfterTaxes,2025-06-30,IncomeAfterTaxes,28576000.0
2025-06-30_OperatingExpenses,2025-06-30,OperatingExpenses,31404000.0
2025-06-30_OperatingIncome,2025-06-30,OperatingIncome,67610000.0
2025-06-30_PreTaxIncome,2025-06-30,PreTaxIncome,35318000.0
2025-06-30_Revenue,2025-06-30,Revenue,201804000.0
2025-06-30_TotalNonoperatingIncomeAndExpense,2025-06-30,TotalNonoperatingIncomeAndExpense,-32292000.0
2025-12-31_EPS,2025-12-31,EPS,1.42
2025-12-31_GrossProfit,2025-12-31,GrossProfit,53870000.0
2025-12-31_IncomeAfterTaxes,2025-12-31,IncomeAfterTaxes,21753000.0
2025-12-31_OperatingExpenses,2025-12-31,OperatingExpenses,44427000.0
2025-12-31_OperatingIncome,2025-12-31,OperatingIncome,9443000.0
2025-12-31_PreTaxIncome,2025-12-31,PreTaxIncome,27191000.0
2025-12-31_Revenue,2025-12-31,Revenue,165811000.0
2025-12-31_TotalNonoperatingIncomeAndExpense,2025-12-31,TotalNonoperatingIncomeAndExpense,17748000.0
2026-06-30_EPS,2026-06-30,EPS,0.48
2026-06-30_GrossProfit,2026-06-30,GrossProfit,64117000.0
2026-06-30_IncomeAfterTaxes,2026-06-30,IncomeAfterTaxes,19202000.0
2026-06-30_OperatingExpenses,2026-06-30,OperatingExpenses,43150000.0
2026-06-30_OperatingIncome,2026-06-30,OperatingIncome,20967000.0
2026-06-30_PreTaxIncome,2026-06-30,PreTaxIncome,24004000.0
2026-06-30_Revenue,2026-06-30,Revenue,153582000.0
2026-06-30_TotalNonoperatingIncomeAndExpense,2026-06-30,TotalNonoperatingIncomeAndExpense,3037000.0
