date,type,value
2024-03-31,OrdinaryShare,3833101000.0
2024-06-30,OrdinaryShare,3833101000.0
2024-09-30,OrdinaryShare,3833101000.0
2024-12-31,OrdinaryShare,3875535000.0
2025-03-31,OrdinaryShare,3876951000.0
2025-06-30,OrdinaryShare,3881671000.0
2025-09-30,OrdinaryShare,3881796000.0
2025-12-31,OrdinaryShare,3907128000.0
2026-03-31,OrdinaryShare,3921788000.0
2026-06-30,OrdinaryShare,3925430000.0
