key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,1.44
2024-03-31_GrossProfit,2024-03-31,GrossProfit,213192000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,128583000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,115352000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,97840000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,151114000.0
2024-03-31_Revenue,2024-03-31,Revenue,797922000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,53274000.0
2024-06-30_EPS,2024-06-30,EPS,1.84
2024-06-30_GrossProfit,2024-06-30,GrossProfit,334470000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,165720000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,134497000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,199973000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,221184000.0
2024-06-30_Revenue,2024-06-30,Revenue,1000082000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,21211000.0
2024-09-30_EPS,2024-09-30,EPS,2.27
2024-09-30_GrossProfit,2024-09-30,GrossProfit,404302000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,206996000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,144315000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,259987000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,260442000.0
2024-09-30_Revenue,2024-09-30,Revenue,1209670000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,455000.0
2024-12-31_EPS,2024-12-31,EPS,1.0
2024-12-31_GrossProfit,2024-12-31,GrossProfit,242886000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,91745000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,154129000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,88757000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,117169000.0
2024-12-31_Revenue,2024-12-31,Revenue,995766000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,28412000.0
2025-03-31_EPS,2025-03-31,EPS,1.46
2025-03-31_GrossProfit,2025-03-31,GrossProfit,304442000.0
2025-03-31_IncomeAfterTaxes,2025-03-31,IncomeAfterTaxes,133257000.0
2025-03-31_OperatingExpenses,2025-03-31,OperatingExpenses,153278000.0
2025-03-31_OperatingIncome,2025-03-31,OperatingIncome,151164000.0
2025-03-31_PreTaxIncome,2025-03-31,PreTaxIncome,164185000.0
2025-03-31_Revenue,2025-03-31,Revenue,1013867000.0
2025-03-31_TotalNonoperatingIncomeAndExpense,2025-03-31,TotalNonoperatingIncomeAndExpense,13021000.0
2025-06-30_EPS,2025-06-30,EPS,1.34
2025-06-30_GrossProfit,2025-06-30,GrossProfit,436769000.0
2025-06-30_IncomeAfterTaxes,2025-06-30,IncomeAfterTaxes,121851000.0
2025-06-30_OperatingExpenses,2025-06-30,OperatingExpenses,157298000.0
2025-06-30_OperatingIncome,2025-06-30,OperatingIncome,279471000.0
2025-06-30_PreTaxIncome,2025-06-30,PreTaxIncome,184496000.0
2025-06-30_Revenue,2025-06-30,Revenue,1488008000.0
2025-06-30_TotalNonoperatingIncomeAndExpense,2025-06-30,TotalNonoperatingIncomeAndExpense,-94975000.0
2025-09-30_EPS,2025-09-30,EPS,2.83
2025-09-30_GrossProfit,2025-09-30,GrossProfit,442165000.0
2025-09-30_IncomeAfterTaxes,2025-09-30,IncomeAfterTaxes,258471000.0
2025-09-30_OperatingExpenses,2025-09-30,OperatingExpenses,192734000.0
2025-09-30_OperatingIncome,2025-09-30,OperatingIncome,249431000.0
2025-09-30_PreTaxIncome,2025-09-30,PreTaxIncome,305702000.0
2025-09-30_Revenue,2025-09-30,Revenue,1786017000.0
2025-09-30_TotalNonoperatingIncomeAndExpense,2025-09-30,TotalNonoperatingIncomeAndExpense,56271000.0
