set,regime,N,rule,cagr,mdd,calmar,ca,ma,cb,mb,slot,trades,cagr_p10,cagr_p90,win
G,False,10,H60,0.23898961386674733,-0.3995469397261885,0.605177660952001,0.2324648821684996,-0.343625629117453,0.23993305744304938,-0.38671857244735935,0.8840753424657535,350.0,0.1741181758306332,0.3190088598324844,False
G,False,10,H120,0.22018792815582033,-0.40156853144850735,0.5480998338669824,0.21979542418481057,-0.3598710371001768,0.2043154794237494,-0.3891712894309982,0.9186106346483704,180.0,0.14354236665569625,0.27914224034449797,False
G,False,10,LD,0.222429650536352,-0.3463676028282018,0.6500736555659297,0.1857076114134486,-0.32230768425091705,0.24128740200875465,-0.30350839554319103,0.9083796494228302,228.0,0.15985686246978878,0.2929930168467094,False
G,False,20,H60,0.2371598264456496,-0.37011902105977645,0.6499101158878313,0.24005564950974723,-0.3342237358573359,0.23486331684325212,-0.3551758244585028,0.8840753424657535,700.0,0.19346005830364166,0.29626258372597086,False
G,False,20,H120,0.23267205178908146,-0.37050941831492845,0.6134170433513256,0.24923661996735536,-0.3395140203801804,0.21445910913845811,-0.3588872212587629,0.9186106346483704,360.0,0.18603412705025402,0.27400825720409455,False
G,False,20,LD,0.22748519786890686,-0.3172889868155181,0.7117615056496647,0.19131740651422102,-0.30068815807017696,0.2551035516437664,-0.2883077818729538,0.9076421547669944,455.0,0.1845529289370631,0.2743112587176799,False
G,True,10,H60,0.23667586771170757,-0.3611059994547552,0.6518904815622165,0.1859418175473717,-0.3604698123355352,0.2612412991592703,-0.2591892953227458,0.7324486301369864,290.0,0.1735144926540089,0.30095679543122844,False
G,True,10,H120,0.21945153244443472,-0.4323570515969541,0.5202724338823053,0.15370893980775813,-0.4323570515969541,0.27307285727029074,-0.3005770252480907,0.8165951972555746,160.0,0.15471989344516754,0.3003822658605778,False
G,True,10,LD,0.17185938333121786,-0.38495179887003794,0.44676842422698737,0.1045878242584033,-0.38441430388246267,0.21719623299924473,-0.2485633697814989,0.7948909790508765,194.0,0.1107585359011816,0.23691371911266215,False
G,True,20,H60,0.2438869385162835,-0.34682813578192195,0.7127458100939679,0.20138678392339737,-0.34682813578192195,0.26791482038888936,-0.24106934216168802,0.73125,579.0,0.2018927685072794,0.28540652128550686,False
G,True,20,H120,0.23234667365820183,-0.407551901232134,0.5660792866113085,0.15438022374071092,-0.407551901232134,0.28386220047093136,-0.2633397748490942,0.8165951972555746,320.0,0.19581444298722733,0.27230287408881243,False
G,True,20,LD,0.18054483936743015,-0.37591377960778793,0.483328207192544,0.11515583429981746,-0.37591377960778793,0.222091134619114,-0.21940011872834347,0.793875587858059,388.0,0.1375377812984069,0.22382503653425206,False
AND,False,10,H60,0.247878707869429,-0.44870454212300537,0.5560757420775573,0.3400287795578667,-0.3926932248642842,0.1834801250334509,-0.44870454212300537,0.9308251389482685,369.0,0.21619497392696704,0.29309337085045356,False
AND,False,10,H120,0.3410261425410227,-0.4387995097400984,0.7716974714050499,0.41943667891398606,-0.2677494377284742,0.2820670156192884,-0.4387995097400984,0.9518391787852866,187.0,0.3090255351376063,0.37103239269555127,False
AND,False,10,LD,0.23678917747683437,-0.383454121713519,0.6154220882938515,0.2955015421824908,-0.30289184274770503,0.19455827523113423,-0.383454121713519,0.9531423685335614,291.0,0.2017582405802449,0.27285949749949456,False
AND,False,20,H60,0.33527422068754154,-0.34535442214792134,0.9738579508384453,0.34434428668214134,-0.3228528695975824,0.32665584527642744,-0.34535442214792134,0.8841812740487388,701.0,0.3075943524608762,0.3643413528472127,False
AND,False,20,H120,0.3207733003604645,-0.4732496232629604,0.6787379746901352,0.33605341223969976,-0.2270397234215511,0.3060251535989037,-0.4732496232629604,0.9315012831479897,366.0,0.29498732591024157,0.3445284916956233,False
AND,False,20,LD,0.21006829323127763,-0.4103462631837426,0.5111366068635308,0.2328179698742704,-0.3084191693784417,0.19199646486746547,-0.4103462631837426,0.9298845660538692,557.0,0.1891448160904984,0.23115843298030717,False
AND,True,10,H60,0.27738576905183154,-0.3995362801081304,0.7031556175351981,0.31609992333570835,-0.30136007473285753,0.2419381728497394,-0.3995362801081304,0.7769559640872168,308.0,0.2440252139415632,0.3071740384883761,False
AND,True,10,H120,0.4667599854326109,-0.43631276247226564,1.0747258825561339,0.35878873296987746,-0.32642301749827246,0.532348824585043,-0.43631276247226564,0.8449101796407186,166.0,0.4420298181981662,0.4977377341786409,False
AND,True,10,LD,0.25941656391934886,-0.3276589866651112,0.7898944474018612,0.29560225646071425,-0.28701141118733126,0.2282548633715782,-0.3276589866651112,0.8193458743052586,250.0,0.2307449234211075,0.28933696925878466,False
AND,True,20,H60,0.34249373246838655,-0.34698100422577904,0.9875042385080895,0.2007413937463831,-0.34698100422577904,0.44728702265353293,-0.27489720893111613,0.7214621633176571,572.0,0.3223395019193265,0.3616072491434991,False
AND,True,20,H120,0.34979975047662093,-0.42067641916383275,0.8345587319475738,0.22302538554891305,-0.3126616849567375,0.4362111110813507,-0.42067641916383275,0.8068006843455945,317.0,0.33270865981515796,0.371116209273212,False
AND,True,20,LD,0.23074380701824093,-0.3646509232926671,0.632639518831424,0.18640705004028701,-0.35932517306539286,0.2562025869030433,-0.35911773149605675,0.7837216759298846,480.5,0.2117294150388865,0.24864824623299997,False
