r,arm,cagr,mdd,turn_n,turn_sum,cost_sum,w_mean,eq_sha,trough_i
4,W_fix,0.24202537781045197,-0.3616597146563498,113.0,4.0582806013001935,0.023740941517606126,0.5,3697a72920825cc26270930e3efe46dbf8efcb8fb2de4fdad7303528eb84063e,1975.0
4,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
4,W1,0.23111076030382316,-0.4581959255260565,0.0,0.0,0.0,1.0,80b83347cd3203e5c766758eda7268cc70f79badf7958c059dffac8d5fae3a90,1975.0
5,R_eq,0.27178257786497206,-0.3344827036216996,113.0,8.454100425153035,0.049456487487145255,0.41527047412430845,0afa622f1a26e2d24dc50d7c31ffdca564f60a6137251ed739e22c308b26aa4b,747.0
5,R_tv,0.29611405761723986,-0.36910097853543383,106.0,20.934603184569408,0.12246742862973105,0.6931022497746715,b1572ab24517a9ab6330ad7fd77d8e03eac108223a601f036f20e1a5fdc85ea8,747.0
5,R_rp,0.2717825778649805,-0.33448270362165905,113.0,8.454100425156419,0.04945648748716506,0.41527047412429874,b12d3af779ef61ca62d94b563520ad21e5d9d46aec8be9fdadda462e71bf64ab,747.0
5,W_fix,0.26970358886262,-0.34894834571407624,113.0,4.680614326052569,0.027381593807407532,0.5,51c187d7f8631576e7f3e486eb843b366bd5c0f19d9df529d9603243fcc49810,747.0
5,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
5,W1,0.28359845514955295,-0.4206631808096972,0.0,0.0,0.0,1.0,a84b0075c0c36054e59ea7e02aef4467e752412ea57505942258ed8ec253b467,747.0
6,R_eq,0.30799844435717594,-0.34098863665232126,113.0,9.516732452807654,0.055672884848924784,0.4131245144131438,21b744cf0b8e9e5f9b57df1830adcf52d24aa702a158fca2816ea8880faa1c82,1975.0
6,R_tv,0.3555222627817174,-0.40818975642586114,96.0,25.799664824350554,0.15092803922245074,0.6897800009769381,8f44ab2f23d2c1d24f13287aa917977209cc753eae9986afc44b2dc2c8e26077,1975.0
6,R_rp,0.30799844435720347,-0.3409886366523564,113.0,9.51673245280921,0.05567288484893389,0.41312451441312664,a199fe369e2d43134a0554f410bd18bd27da61af4510dca3003e116fac57df13,1975.0
6,W_fix,0.3146964532190777,-0.3382563826830309,113.0,5.009992520746166,0.02930845624636507,0.5,2e113a71aab1c605c3fc7945b6bc288f30e61b72ba50cf965fe9dec35c34ca7f,1975.0
6,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
6,W1,0.37661348181908894,-0.4163920295297883,0.0,0.0,0.0,1.0,d1d6a73752d709a62b96b7bc2ed821d9036b45d87ce97c43864a2d7265c70ffe,400.0
7,R_eq,0.23829080032630356,-0.3102149772708561,113.0,7.021728393624807,0.04107711110270512,0.42197650797958236,55b5401b148429b78bd5deb4aceb83436b96cd5defee0ffa933e702a7b6fb82a,1386.0
7,R_tv,0.23311691881738827,-0.3615156405829521,105.0,14.35054397672476,0.08395068226383984,0.7090402675777718,3dfa1765edcbabfce96822b97e8a786e02bd71b2ef56ad7641c5bc5d3d62bb8e,1975.0
7,R_rp,0.23829080032626426,-0.3102149772708514,113.0,7.021728393631259,0.041077111102742855,0.4219765079795537,9f8e7c4d8881de4f8eea1b7001d1475272752e783904623a2bcdd186961511b0,1386.0
7,W_fix,0.23559425829828062,-0.3150009073063259,113.0,3.6293017856050103,0.02123141544578931,0.5,475a38bc764f26b6e9a9b0f5282dd593093497af9304a5faf641bb8d2bb9e31c,1386.0
7,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
7,W1,0.21960340020440272,-0.3964017536053008,0.0,0.0,0.0,1.0,411a93947c3b0de5c0af024ee9b610ddbf690d24c0441bd1e3cb0bf5080eb83a,1975.0
8,R_eq,0.23873658678626675,-0.3317578535124361,113.0,7.106670866129453,0.041574024566857305,0.42811887304720564,ea4b84ed073cca1f227c6c29c32a3927ef2274bb01fd4dda2f8d7f900b593253,747.0
8,R_tv,0.23585734491764354,-0.38523215834758273,104.0,15.620867581732838,0.0913820753531371,0.735896560192979,5078a561c1fa6344c1f1eb851a3387de344ce34fdff94d53cc64f20f190a23af,1975.0
8,R_rp,0.23873658678630139,-0.3317578535124569,113.0,7.106670866122078,0.041574024566814166,0.4281188730472354,4d49ac6eff65d7f440b8383c502ad6dbfa752966052c5af42bd627c32fd0524a,747.0
8,W_fix,0.23068292315382255,-0.3407726768865072,113.0,3.7699255859041756,0.022054064677539426,0.5,9ff33f26f3d1ef70320b9dd48572f08f5c6ec8789d10b808560fff2f606f7d7b,747.0
8,W0,0.24020209886370614,-0.3395700527611012,0.0,0.0,0.0,0.0,401d3f8598aaba7198d25dc3f74378cffbb9090d2e7557ae540a7356cc826d46,1386.0
8,W1,0.20820537788180538,-0.41167677822724635,0.0,0.0,0.0,1.0,cac317514cfdaee0225e7e62235d8b1a02dc63f859a46ee54cc20f951717412c,749.0
