H,年化中位,回落中位,比值,年化波動中位,標籤（對0050）,深淺註,年化p10,年化p90,回落p10,回落p90,對H120_年化中位差pp,對H120_回落中位差pp,對H120_比值差,同顆種子_年化高於H120,同顆種子_回落淺於H120,同顆種子_兩項皆好,同顆種子_兩項皆差,trades中位,種子數
90,0.2945970445087488,-0.44723957850662877,0.6587007471307292,0.28008559021299395,合格,回落比 0050 深 10.77 點、報酬多 10.18 點,0.25423907763172443,0.3451889023999067,-0.4822895530083026,-0.4119032137080228,-4.869914976444578,-5.781274699532368,-0.22284147465433712,36,26,7,145,209.0,200
100,0.15931235429004997,-0.5591630986085974,0.2849121386702332,0.26944492861072017,不合格,,0.1274163864133126,0.1933552840735427,-0.5898511266414824,-0.5218126605561824,-18.39838399831446,-16.973626709729228,-0.5966300831148332,0,0,0,200,188.0,200
110,0.21569886446024855,-0.46833006713486414,0.46057018243531683,0.27411734454482695,另列,,0.18938589156052923,0.24314908539972704,-0.4999036662412053,-0.4238389681575964,-12.759732981294603,-7.890323562355905,-0.4209720393497495,0,13,0,187,171.0,200
120,0.3432961942731946,-0.3894268315113051,0.8815422217850664,0.276132353493016,合格,回落比 0050 深 4.99 點、報酬多 15.05 點,0.3185089756788092,0.3733494027333511,-0.44103476018866106,-0.36195043806648153,0.0,0.0,0.0,0,0,0,0,156.0,200
130,0.35682541891576824,-0.5208227332015185,0.6851187480284279,0.28007751440531903,合格,回落比 0050 深 18.13 點、報酬多 16.41 點,0.334750499337746,0.3814493365229687,-0.5304571090025502,-0.5104903882469659,1.3529224642573667,-13.139590169021343,-0.1964234737566385,133,0,0,67,142.0,200
140,0.22345788813887701,-0.5761001431115319,0.38788028576416445,0.2877716923743958,另列,,0.2020700338875072,0.2461308754057196,-0.5763085325612877,-0.5741297942060506,-11.983830613431756,-18.667331160022684,-0.4936619360209019,0,0,0,200,138.0,200
150,0.2568977805514848,-0.5769957493236313,0.44523340224365043,0.29638827920502403,另列,,0.2320589568700127,0.28952510071829185,-0.6076812281598515,-0.536119560111968,-8.639841372170975,-18.75689178123262,-0.4363088195414159,1,0,0,199,130.0,200
