H,窗內t1判開訊號,進模擬（xpos≥0）,剔除（出場超出資料尾或碰壞根）,其中出場超出資料尾
90,1594,1577,17,0
100,1594,1576,18,0
110,1594,1575,19,0
120,1594,1573,21,0
130,1594,1572,22,0
140,1594,1571,23,0
150,1594,1569,25,0
