H,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
90,18,win,0,1000,526,2772,209,3b79af060562e007,0.32970624760220857,-0.43724772037753684,0.28458472212783553,523,2682
90,18,win,1,1001,526,2772,209,ef21cdef278f8cea,0.22915592951639008,-0.47600823621314403,0.276732931117653,523,2682
90,18,win,2,1002,526,2772,209,e95dfac4fccece83,0.25960577438375054,-0.4070271841876905,0.275197095983572,523,2682
90,18,win,3,1003,526,2772,209,a2a3a805253493f8,0.340733798133215,-0.40638409574840906,0.28219807815038633,523,2682
90,18,win,4,1004,526,2772,209,06b9d72b8587abb4,0.3166000431527902,-0.45076090134358554,0.28708833019733554,523,2682
90,18,win,5,1005,526,2772,209,46710a53c56f72f8,0.3013876038217713,-0.49347863276583864,0.28267186393550203,523,2682
90,18,win,6,1006,526,2772,209,d9788a337c1b5a25,0.32270277465147457,-0.48228381118786606,0.2831752313723963,523,2682
90,18,win,7,1007,526,2772,209,1c323a97b080fa2c,0.2897349415009476,-0.47337172683608014,0.27959495368299825,523,2682
90,18,win,8,1008,526,2772,209,912784a7db4b9aa0,0.2493722275003516,-0.45331319969565076,0.2731458044517275,523,2682
90,18,win,9,1009,526,2772,209,687eddefc28810af,0.32353319481356535,-0.4823412293922317,0.2833782138268276,523,2682
90,18,win,10,1010,526,2772,209,5966d64e526239e4,0.24959942815211789,-0.47200048767398856,0.27758108098215317,523,2682
90,18,win,11,1011,526,2772,209,37d5de9a7efd399b,0.2879813063474512,-0.4377366954779959,0.27749591378296834,523,2682
90,18,win,12,1012,526,2772,209,160f4ec83c67b9f8,0.26108782680960174,-0.45322950378741034,0.27659006183245527,523,2682
90,18,win,13,1013,526,2772,209,512f087e3b5a8b5c,0.3447550141893112,-0.4702024613148792,0.28376723823826194,523,2682
90,18,win,14,1014,526,2772,209,b0e969a78d201c02,0.30132602057216107,-0.4855093263177454,0.2837721663601377,523,2682
90,18,win,15,1015,526,2772,209,bcc98a60958cefde,0.3373876380242311,-0.4587086468190138,0.28353404298271656,523,2682
90,18,win,16,1016,526,2772,209,7ab120a4d3065a7a,0.30595551201006077,-0.4844316153361953,0.28492908824770463,523,2682
90,18,win,17,1017,526,2772,209,b8ce8192bc64bda6,0.28102826710976614,-0.42178174162264614,0.27346536769994273,523,2682
90,18,win,18,1018,526,2772,209,43e866395bc17539,0.2817672898125625,-0.46172157685452897,0.27584247600966394,523,2682
90,18,win,19,1019,526,2772,209,dfa4794853536f89,0.23920958685143567,-0.4865726613684822,0.2789183172377217,523,2682
90,18,win,20,1020,526,2772,209,04c274e8d3e52352,0.3602357103388405,-0.4683265033903249,0.2868589538345489,523,2682
