date,twse,tpex,emerging,total,note
2026-09-02,1371,980,0,2351,ok
2015-01-01,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-01-01)
2015-01-02,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-01-02)
2015-01-05,903,666,0,1569,ok
2015-01-06,900,672,0,1572,ok
2015-01-07,904,669,0,1573,ok
2015-01-08,902,669,0,1571,ok
2015-01-09,901,674,0,1575,ok
2015-01-12,904,674,0,1578,ok
2015-01-13,902,674,0,1576,ok
2015-01-14,902,667,0,1569,ok
2015-01-15,902,667,0,1569,ok
2015-01-16,902,665,0,1567,ok
2015-01-19,898,668,0,1566,ok
2015-01-20,903,666,0,1569,ok
2015-01-21,900,672,0,1572,ok
2015-01-22,903,670,0,1573,ok
2015-01-23,903,668,0,1571,ok
2015-01-26,904,663,0,1567,ok
2015-01-27,905,668,0,1573,ok
2015-01-28,900,671,0,1571,ok
2015-01-29,906,672,0,1578,ok
2015-01-30,900,672,0,1572,ok
2015-02-02,900,663,0,1563,ok
2015-02-03,903,670,0,1573,ok
2015-02-04,905,672,0,1577,ok
2015-02-05,904,671,0,1575,ok
2015-02-06,903,668,0,1571,ok
2015-02-09,904,667,0,1571,ok
2015-02-10,905,671,0,1576,ok
2015-02-11,901,675,0,1576,ok
2015-02-12,898,669,0,1567,ok
2015-02-13,907,671,0,1578,ok
2015-02-16,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-02-16)
2015-02-17,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-02-17)
2015-02-18,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-02-18)
2015-02-19,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-02-19)
2015-02-20,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-02-20)
2015-02-23,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-02-23)
2015-02-24,907,672,0,1579,ok
2015-02-25,906,673,0,1579,ok
2015-02-26,905,667,0,1572,ok
2015-02-27,0,0,0,0,twse:休市;tpex:失敗(回應的日期是 20260902，不是 2015-02-27)
2015-03-02,904,665,0,1569,ok
2015-03-03,905,668,0,1573,ok
2015-03-04,900,666,0,1566,ok
