date,twse,tpex,emerging,total,note
2025-06-18,1286,942,0,2228,ok
2025-06-19,1280,942,0,2222,ok
2025-06-20,1278,944,0,2222,ok
2025-06-21,0,0,0,0,twse:休市;tpex:休市
2025-06-23,1281,933,0,2214,ok
2025-06-24,1287,947,0,2234,ok
2025-06-25,1273,946,0,2219,ok
2025-06-26,1284,939,0,2223,ok
2025-06-27,1286,932,0,2218,ok
2025-06-28,0,0,0,0,twse:休市;tpex:休市
2025-06-30,1286,931,0,2217,ok
2025-07-01,1287,937,0,2224,ok
2025-07-02,1274,938,0,2212,ok
2025-07-03,1281,947,0,2228,ok
2025-07-04,1281,931,0,2212,ok
2025-07-05,0,0,0,0,twse:休市;tpex:休市
2025-07-07,1270,925,0,2195,ok
2025-07-08,1277,925,0,2202,ok
2025-07-09,1274,930,0,2204,ok
2025-07-10,1276,936,0,2212,ok
2025-07-11,1281,937,0,2218,ok
2025-07-12,0,0,0,0,twse:休市;tpex:休市
2025-07-14,1273,928,0,2201,ok
2025-07-15,1278,941,0,2219,ok
2025-07-16,1275,949,0,2224,ok
2025-07-17,1282,950,0,2232,ok
2025-07-18,1283,946,0,2229,ok
2025-07-19,0,0,0,0,twse:休市;tpex:休市
2025-07-21,1279,937,0,2216,ok
2025-07-22,1286,941,0,2227,ok
2025-07-23,1284,943,0,2227,ok
2025-07-24,1289,938,0,2227,ok
2025-07-25,1283,941,0,2224,ok
2025-07-26,0,0,0,0,twse:休市;tpex:休市
2025-07-28,1282,934,0,2216,ok
2025-07-29,1289,932,0,2221,ok
2025-07-30,1279,934,0,2213,ok
2025-07-31,1289,931,0,2220,ok
2025-08-01,1290,939,0,2229,ok
2025-08-02,0,0,0,0,twse:休市;tpex:休市
2025-08-04,1284,936,0,2220,ok
2025-08-05,1289,949,0,2238,ok
2025-08-06,1294,942,0,2236,ok
2025-08-07,1293,947,0,2240,ok
2025-08-08,1292,945,0,2237,ok
2025-08-09,0,0,0,0,twse:休市;tpex:休市
2025-08-11,1289,944,0,2233,ok
2025-08-12,1282,950,0,2232,ok
2025-08-13,1291,954,0,2245,ok
2025-08-14,1292,954,0,2246,ok
2025-08-15,1289,956,0,2245,ok
2025-08-16,0,0,0,0,twse:休市;tpex:休市
2025-08-18,1290,950,0,2240,ok
2025-08-19,1289,955,0,2244,ok
2025-08-20,1291,945,0,2236,ok
2025-08-21,1294,959,0,2253,ok
2025-08-22,1285,946,0,2231,ok
2025-08-23,0,0,0,0,twse:休市;tpex:休市
2025-08-25,1295,957,0,2252,ok
2025-08-26,1293,959,0,2252,ok
2025-08-27,1296,957,0,2253,ok
2025-08-28,1287,954,0,2241,ok
2025-08-29,1294,952,0,2246,ok
2025-08-30,0,0,0,0,twse:休市;tpex:休市
2025-09-01,1289,953,0,2242,ok
2025-09-02,1289,943,0,2232,ok
2025-09-03,1295,949,0,2244,ok
2025-09-04,1291,951,0,2242,ok
2025-09-05,1289,948,0,2237,ok
2025-09-06,0,0,0,0,twse:休市;tpex:休市
2025-09-08,1291,950,0,2241,ok
2025-09-09,1298,950,0,2248,ok
2025-09-10,1297,951,0,2248,ok
2025-09-11,1296,952,0,2248,ok
2025-09-12,1295,956,0,2251,ok
2025-09-13,0,0,0,0,twse:休市;tpex:休市
2025-09-15,1299,944,0,2243,ok
2025-09-16,1300,946,0,2246,ok
2025-09-17,1299,947,0,2246,ok
2025-09-18,1300,950,0,2250,ok
2025-09-19,1300,950,0,2250,ok
2025-09-20,0,0,0,0,twse:休市;tpex:休市
2025-09-22,1293,952,0,2245,ok
2025-09-23,1301,956,0,2257,ok
2025-09-24,1299,944,0,2243,ok
2025-09-25,1295,942,0,2237,ok
2025-09-26,1296,945,0,2241,ok
2025-09-27,0,0,0,0,twse:休市;tpex:休市
2025-09-29,0,0,0,0,twse:休市;tpex:休市
2025-09-30,1290,945,0,2235,ok
2025-10-01,1293,949,0,2242,ok
2025-10-02,1292,950,0,2242,ok
2025-10-03,1297,953,0,2250,ok
2025-10-04,0,0,0,0,twse:休市;tpex:休市
2025-10-06,0,0,0,0,twse:休市;tpex:休市
2025-10-07,1303,952,0,2255,ok
2025-10-08,1298,947,0,2245,ok
2025-10-09,1299,954,0,2253,ok
2025-10-10,0,0,0,0,twse:休市;tpex:休市
2025-10-11,0,0,0,0,twse:休市;tpex:休市
2025-10-13,1303,947,0,2250,ok
2025-10-14,1306,951,0,2257,ok
2025-10-15,1303,947,0,2250,ok
2025-10-16,1302,955,0,2257,ok
2025-10-17,1303,945,0,2248,ok
2025-10-18,0,0,0,0,twse:休市;tpex:休市
2025-10-20,1305,953,0,2258,ok
2025-10-21,1306,958,0,2264,ok
2025-10-22,1306,947,0,2253,ok
2025-10-23,1304,950,0,2254,ok
2025-10-24,0,0,0,0,twse:休市;tpex:休市
2025-10-25,0,0,0,0,twse:休市;tpex:休市
2025-10-27,1310,952,0,2262,ok
2025-10-28,1307,956,0,2263,ok
2025-10-29,1305,955,0,2260,ok
2025-10-30,1309,948,0,2257,ok
2025-10-31,1310,954,0,2264,ok
2025-11-01,0,0,0,0,twse:休市;tpex:休市
2025-11-03,1307,948,0,2255,ok
2025-11-04,1301,944,0,2245,ok
2025-11-05,1310,942,0,2252,ok
2025-11-06,1306,952,0,2258,ok
2025-11-07,1300,944,0,2244,ok
2025-11-08,0,0,0,0,twse:休市;tpex:休市
2025-11-10,1299,944,0,2243,ok
2025-11-11,1309,953,0,2262,ok
2025-11-12,1307,948,0,2255,ok
2025-11-13,1306,954,0,2260,ok
2025-11-14,1306,952,0,2258,ok
2025-11-15,0,0,0,0,twse:休市;tpex:休市
2025-11-17,1307,960,0,2267,ok
2025-11-18,1307,954,0,2261,ok
2025-11-19,1309,951,0,2260,ok
2025-11-20,1303,953,0,2256,ok
2025-11-21,1303,942,0,2245,ok
2025-11-22,0,0,0,0,twse:休市;tpex:休市
2025-11-24,1309,949,0,2258,ok
2025-11-25,1308,953,0,2261,ok
2025-11-26,1314,961,0,2275,ok
2025-11-27,1306,949,0,2255,ok
2025-11-28,1308,953,0,2261,ok
2025-11-29,0,0,0,0,twse:休市;tpex:休市
2025-12-01,1308,951,0,2259,ok
2025-12-02,1316,953,0,2269,ok
2025-12-03,1311,950,0,2261,ok
2025-12-04,1308,948,0,2256,ok
2025-12-05,1308,947,0,2255,ok
2025-12-06,0,0,0,0,twse:休市;tpex:休市
2025-12-08,1314,947,0,2261,ok
2025-12-09,1311,950,0,2261,ok
2025-12-10,1307,959,0,2266,ok
2025-12-11,1313,957,0,2270,ok
2025-12-12,1310,953,0,2263,ok
2025-12-13,0,0,0,0,twse:休市;tpex:休市
2025-12-15,1309,948,0,2257,ok
2025-12-16,1316,957,0,2273,ok
2025-12-17,1310,958,0,2268,ok
2025-12-18,1307,953,0,2260,ok
2025-12-19,1311,959,0,2270,ok
2025-12-20,0,0,0,0,twse:休市;tpex:休市
2025-12-22,1314,959,0,2273,ok
2025-12-23,1311,964,0,2275,ok
2025-12-24,1310,961,0,2271,ok
2025-12-25,0,0,0,0,twse:休市;tpex:休市
2025-12-26,1313,958,0,2271,ok
2025-12-27,0,0,0,0,twse:休市;tpex:休市
2025-12-29,1315,966,0,2281,ok
2025-12-30,1315,962,0,2277,ok
2025-12-31,1321,970,0,2291,ok
