r,cagr_rebal_cost,mdd_rebal_cost,cagr_rebal_free,mdd_rebal_free,cagr_norebal,mdd_norebal,turn_sum,cost_sum
0,0.2784919596054656,-0.32795599640652756,0.2797702077190751,-0.32786642147861683,0.27227998016307553,-0.33318954937362005,5.205129118638069,0.0304500053440327
1,0.2923777105543368,-0.3103605070882722,0.29355933396172196,-0.3098460787497844,0.2921412521144333,-0.32642129933627023,5.309163803802974,0.0310586082522474
2,0.3144317303988462,-0.3417588064812252,0.3158228296691461,-0.34129350608652687,0.3194144375859693,-0.3696075196782039,6.2832122859368695,0.03675679187273068
3,0.24243609013612932,-0.3801804644485945,0.24368647702152701,-0.3797692070020076,0.23416165243467524,-0.4042938378571904,5.052552077975527,0.029557429656156833
4,0.24202537781045197,-0.3616597146563498,0.2431107750163397,-0.36122861822201335,0.23572699163457345,-0.3707965258744244,4.0582806013001935,0.023740941517606126
5,0.26970358886262,-0.34894834571407624,0.2709231572778572,-0.3488753041873816,0.2634685068259992,-0.35094417975739706,4.680614326052569,0.027381593807407532
6,0.3146964532190777,-0.3382563826830309,0.3158665157030278,-0.3379620146202389,0.32288192694931217,-0.36393069907081266,5.009992520746166,0.02930845624636507
7,0.23559425829828062,-0.3150009073063259,0.23662834789490383,-0.3142917802929856,0.2302663989386009,-0.32451554598054816,3.6293017856050103,0.02123141544578931
8,0.23068292315382255,-0.3407726768865072,0.23179189676526968,-0.34065493720090473,0.22508403597246418,-0.3466456691143729,3.7699255859041756,0.022054064677539426
9,0.2770626632451696,-0.34126046074632127,0.2783105142829956,-0.34085451012598944,0.2716558792425323,-0.34699860632512736,4.8639787755169435,0.028454275836774116
10,0.28399676263301377,-0.32146230837925527,0.28520061444101463,-0.32120810293081914,0.2822972883203896,-0.3405294881043181,5.208981275154079,0.03047254045965136
11,0.2770677330986471,-0.332242798865857,0.278456486867513,-0.33178767933375125,0.26922966081828714,-0.35640653889623125,6.122357347362494,0.03581579048207059
