r,n_hold,same7,same5,sha_R_eq,sha_R_tv,sha_R_rp,sha_W_fix,sha_W_shuf,sha_W0,sha_W1
16,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,2f9e85d30c3744917643bb3849709014fb6af38cb238b585e765e589c9e043c0,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
17,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,99d6c1dd7727c64099fd3e04d81f9508bf4c1317f058ee8f1d63b2ae8d503e59,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
18,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,db412f41b209db278fff61184d5e7205ec4860c6b9ed698e27d55eb6c534a358,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
19,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,6027a7800b329031b7d3d5bfa2e2d304bbb01b162533c468d82ab4787ec5dbf3,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
20,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,90a713c209f9184b95b123af17dff56bd1624716d65415e5b37b845c88b12bfc,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
21,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,2f43f68711fb6167989f34a0b5c5bf32771170f266ff423bee3a590f236fd4df,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
22,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,0d21ed2257ed20e163322e5f678086e1da57ebf6b78936ed31bd73c16c4ff894,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
23,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,ebdebec6f23fef745e0907f1edfd4a29ea0e39d786755f5bdb2f01e51d54afe7,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
24,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,9d7620d999e292e9a5a821d21848c69252d495fb825dcc4ac60ae447351274b4,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
25,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,6720e218f825ee63ade9f74e108e34a57d41c4754af7b2cdfc2b1699570a685c,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
26,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,8f3958ad78cde720593c010b9b941051010cc1310824c6a4866871d65bc95b04,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
27,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,b4c0c93dcecd72b6a8dbb60d1fc14be72bf163073d0b593a9666e46dc2865140,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
28,8,False,False,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,7c2d63f5530dbe44870169698f6b2320b76ca1befc27b0bcc02701499a808ce9,ed41281ebb2c4b1d3e31dad9c97b54fe2045f4d5f6f539a65ebec6030c491e9e,a751e26f15215776ce36bf8b3c8d4d11a75bf4711cad13d81cbf05e3f1b2c4f2,1ee93c7c4b597c18a8f60305a595ac7bd93dd3364a2f85cab0413a2b14936576
