r,mdd,高點,谷底,與#13區間有交集,與0050區間有交集
0,-0.3779174551837645,2024-07-17,2025-04-09,False,False
1,-0.4450722379745732,2024-07-17,2025-04-09,False,False
2,-0.3407715731344233,2024-07-17,2025-04-09,False,False
3,-0.3716907206603616,2024-07-17,2025-04-09,False,False
4,-0.40915949898760773,2024-07-17,2025-04-09,False,False
5,-0.37728968072404745,2024-07-17,2025-04-09,False,False
6,-0.3759275163057537,2024-09-25,2025-04-09,False,False
7,-0.4418143661252927,2024-08-29,2025-04-09,False,False
8,-0.37328401936767086,2019-09-04,2020-03-23,True,False
9,-0.3610793738076328,2020-01-17,2020-03-23,True,False
10,-0.4187621134439925,2024-07-17,2025-04-09,False,False
11,-0.3770291882845813,2024-07-17,2025-04-09,False,False
12,-0.37246413734371175,2024-07-17,2025-04-09,False,False
13,-0.38426392662825415,2018-04-03,2020-03-23,True,False
14,-0.36659606860010296,2024-07-17,2025-04-09,False,False
15,-0.3906959783862838,2024-08-29,2025-04-09,False,False
16,-0.39447113866900463,2024-07-17,2025-04-09,False,False
17,-0.3720318449370644,2024-07-17,2025-04-09,False,False
18,-0.3920102707555435,2024-07-17,2025-04-09,False,False
19,-0.36862670600084213,2024-07-17,2025-04-09,False,False
20,-0.4326246765086177,2024-08-29,2025-04-09,False,False
21,-0.3897324419657151,2024-08-29,2025-04-09,False,False
22,-0.39500040320697294,2024-07-17,2025-04-09,False,False
23,-0.40461017483688644,2024-07-17,2025-04-09,False,False
24,-0.36120696575918076,2024-07-17,2025-04-09,False,False
25,-0.3732840193531701,2019-09-04,2020-03-23,True,False
26,-0.38339115521215794,2024-07-17,2025-04-09,False,False
27,-0.35170238804867004,2024-09-25,2025-04-09,False,False
28,-0.35813496492450825,2024-07-17,2025-04-09,False,False
29,-0.38338340954816774,2018-04-03,2020-03-23,True,False
30,-0.408672521971965,2024-07-17,2025-04-09,False,False
31,-0.33944967995568565,2024-07-17,2025-04-09,False,False
32,-0.38249029219862807,2024-08-29,2025-04-09,False,False
33,-0.4450432551553225,2024-07-17,2025-04-09,False,False
34,-0.44346407307781976,2024-07-17,2025-04-09,False,False
35,-0.3712148557025452,2024-08-29,2025-04-09,False,False
36,-0.4329756263125232,2024-08-29,2025-04-09,False,False
37,-0.38493051480189433,2018-04-03,2020-03-23,True,False
38,-0.3738334760124836,2024-07-17,2025-04-09,False,False
39,-0.42163057486857625,2024-08-29,2025-04-09,False,False
40,-0.3731041245996696,2024-07-17,2025-04-09,False,False
41,-0.3919284451111631,2024-07-17,2025-04-09,False,False
42,-0.40990382813418025,2024-08-29,2025-04-09,False,False
43,-0.3868914312498698,2024-07-17,2025-04-09,False,False
44,-0.4535599757619948,2024-07-17,2025-04-09,False,False
